AgencyID,PostalCode,AddressLine2,NumberCars,FirstName,OwnOrRentFlag,Income,MaritalStatus,LastName,MiddleInitial,AddressLine1,State,Phone,Employer,NumberCreditCards,Gender,City,Country
PEL0,T6b 1i1,,,Netti,O,368776.0,W,PELLAND,,21847 olympia street,MA,1-712-522-6088,Brink's,,f,Fairbanks,United States of America
LED1,77281,APT. 624,5.0,TRUDY,U,177967.0,U,LEDUC,,245 congress court,PA,1-626-426-4298,,6.0,F,Quebec,United States of America
lat2,91355,,2.0,ireland,O,321772.0,S,latif,,6517 frailing west,Alberta,1-524-787-8784,,6.0,,Henderson,United States of America
RUD3,36615,,2.0,Misti,O,25449.0,W,RUDDICK,,11449 blalock park,AR,1-741-997-1688,Air Products & Chemicals,3.0,,Salem,Canada
JAY4,t6a 1i3,Apt. 619,0.0,sarena,O,166567.0,M,JAYAMANNE,M,18354 dodd court,OR,1-002-194-1991,Oshkosh,4.0,f,Toledo,Canada
tod5,A2b 1v3,,1.0,Paulette,R,43631.0,M,todo,Z,14117 roxboro street,VA,1-441-371-7651,,10.0,M,Corpus Christi,United States of America
Kan6,49513,,4.0,AMALITA,O,466230.0,,Kanno,R,24697 FLORENCE WEST,OH,1-957-940-5980,VeraSun Energy,1.0,m,Salt Lake City,Canada
Din7,M5d 1v6,,2.0,Ernesto,U,420243.0,M,Dinkel,Z,6488 applewood drive,Prince Edward Island,1-768-633-4096,IDT,7.0,,Brownsville,United States of America
Thi8,V6c 1q1,,3.0,Toby,O,141862.0,U,Thibodeaux,,17404 gale court,NV,1-107-689-2155,Adams Resources & Energy,10.0,,Escondido,United States of America
May9,99716,,0.0,evangelia,O,402011.0,M,Mayo,,15913 alexis street,Ontario,1-173-594-6096,MGIC Investment,,,Los Angeles,United States of America
mah10,A2b 1w1,,2.0,umakanth,O,79928.0,M,mahendra,U,18313 5th lane,TX,1-561-520-0611,Iasis Healthcare,9.0,,West Covina,Canada
Siz11,M5F 1W1,,1.0,terrie,R,109496.0,M,Sizto,,13653 collier avenue,NE,1-730-406-9727,AMR,0.0,,San Buenaventura,United States of America
cra12,95118,,1.0,Mary-pat,U,267901.0,U,crawley,,15306 pike park,AR,,Embarq,0.0,,Lexington,United States of America
dac13,H2f 1v7,,3.0,Catherin,R,487273.0,U,dacal,,1540 crestmere north,MI,1-207-867-4589,Advanced Micro Devices,8.0,m,Hay River,United States of America
HIV14,19217,,3.0,annissa,O,34013.0,M,HIVELY,W,10790 bonita crescent,MA,1-478-629-9641,Cenveo,2.0,,Toronto,United States of America
Pes15,21228,Apt. 290,0.0,Amour,O,473462.0,S,Peschke,,24679 AIRPORT CRESCENT,TN,1-026-208-8595,Kelly Services,6.0,,Denver,United States of America
CHI16,85097,,5.0,jenica,O,499493.0,M,CHILDERHOSE,,7627 douglas road,TN,1-432-681-4853,Viacom,4.0,,St. Paul,Canada
Din17,V6j 1q8,,5.0,KATTIE,R,266928.0,M,Dinnin,,6106 ashland east,OK,,Macy's,0.0,,Bellevue,United States of America
De 18,43207,,2.0,Roselle,O,72444.0,M,De witte,M,1111 norden street,Ontario,1-357-207-6320,Gardner Denver,6.0,,Detroit,United States of America
Mck19,V6t 1q8,,3.0,arlyne,R,77290.0,U,Mckeegan,,2798 1st east,KY,1-462-774-1277,Family Dollar Stores,8.0,m,Omaha,United States of America
