Sta,Cou,A,NuCa,PosCo,CrRat,OwORF,In,FirNa,NumChi,AddrLi2,AgID,NumCreCar,C,NeWor,Ph,LN,MiIni,Gen,AddLi1,MariSta,Em
MO,United States of America,7.0,3.0,Guudshirvcu,580.0,U,94490.0,wbwsqgtaa,,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,Iok7501,,Baltimore,321776.0,1-637-119-9996,Iokwiqojocjanndatkdzgymym,n,,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,U,FM Global
TX,Canada,48.0,4.0,wyggjewbe,683.0,R,7037.0,QGJWCPAPZMWHYHZTNOYSSOQBI,4.0,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,tia7502,2.0,Kitchener,2292324.0,1-560-405-0048,tiabxgseasiibxakctfzhfwotp,,M,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,S,MGIC Investment
CT,,14.0,1.0,YMZRQICUTHT,411.0,O,419269.0,BHGXDDPUMBESLQMNEPREPTZNNKM,5.0,Cdrxeolwrrxmwmhgexvcstvzz,AOI7503,2.0,Saint John,969707.0,1-261-306-5079,AOIWIWTIHIXOJ,u,,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,M,Ross Stores
UT,United States of America,29.0,4.0,Bcjuycmcen,818.0,U,76681.0,Xgnvppcxgfnmawlupgfa,5.0,WKSBVOFGJHQGAEKUYRZHHPH,PJQ7504,9.0,Berkeley,3899461.0,1-642-299-6655,PJQSPMBUHYQKBOZ,,m,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,W,
RI,United States of America,69.0,2.0,Nujxguyehf,370.0,R,209116.0,Tfiozpstcftslqtwkgngiiwo,4.0,skxijfqpzshmts,SDV7505,7.0,Missoula,3749223.0,,SDVLJWXENNGWCQMIW,,,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,U,Alliance One International
DE,,47.0,0.0,Neigswk,833.0,O,212203.0,fbcahlrhhjoslfzqvvwwvhk,0.0,ZETOHHRKIBHCQCKZODIXJJSXCFY,Hga7506,6.0,Salinas,3658531.0,1-388-257-4273,Hgakmykzeunwkiaxayulpwyxrcuev,F,F,Ajpkrmtlcbdzr,U,Sally Beauty Holdings
NM,Canada,0.0,5.0,WNCEOQPLW,536.0,U,42018.0,Dcgkohfcwyoaxckalqnkrzwq,5.0,LJXAXKUJXQBGWBHJJAAM,Beo7507,2.0,San Jose,1738460.0,,Beotomyndkiqryllkvpavllytov,D,M,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,M,Wisconsin Energy
WV,United States of America,46.0,0.0,Cskdwtkf,775.0,R,90446.0,Vmnmcsinflxxmmifydckncc,0.0,Jmlgjkjbqhrudrkqrm,Qum7508,0.0,Cleveland,3307296.0,1-632-118-1891,Qumxrssnd,,,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,S,Carpenter Technology
NH,United States of America,6.0,1.0,tcxswloetdt,765.0,R,16274.0,Vrkbkkxkddtximspigmlbwzt,1.0,Qqcilgblxyikgr,Hud7509,3.0,Huntington,1816419.0,1-853-806-4986,Hudlpfwjagzbnznyhamjkhbf,v,,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,M,Liberty Mutual Insurance Group
WY,Canada,22.0,5.0,Fkpemasoukih,555.0,O,22215.0,RMWCTFTLSVTMCBI,2.0,Ahtohqjfzfarn,jba7510,6.0,Paterson,2599250.0,1-220-687-2027,jbabemsfwdyeihxq,,m,Ycltsquohmuugxihqyluhkoy,M,Black & Decker
