prospect_AgeID,prospect_NuCrCar,prospect_NumCh,prospect_OwORF,prospect_NWo,prospect_LaNa,prospect_FiN,prospect_A,prospect_Ph,prospect_NumCa,prospect_PosC,prospect_CrRat,prospect_St,prospect_Ci,prospect_Ge,prospect_Coun,prospect_In,prospect_MarSt,prospect_Em
Iok7501,,,U,321776.0,Iokwiqojocjanndatkdzgymym,wbwsqgtaa,7.0,1-637-119-9996,3.0,Guudshirvcu,580.0,MO,Baltimore,,United States of America,94490.0,U,FM Global
tia7502,2.0,4.0,R,2292324.0,tiabxgseasiibxakctfzhfwotp,QGJWCPAPZMWHYHZTNOYSSOQBI,48.0,1-560-405-0048,4.0,wyggjewbe,683.0,TX,Kitchener,M,Canada,7037.0,S,MGIC Investment
AOI7503,2.0,5.0,O,969707.0,AOIWIWTIHIXOJ,BHGXDDPUMBESLQMNEPREPTZNNKM,14.0,1-261-306-5079,1.0,YMZRQICUTHT,411.0,CT,Saint John,,,419269.0,M,Ross Stores
PJQ7504,9.0,5.0,U,3899461.0,PJQSPMBUHYQKBOZ,Xgnvppcxgfnmawlupgfa,29.0,1-642-299-6655,4.0,Bcjuycmcen,818.0,UT,Berkeley,m,United States of America,76681.0,W,
SDV7505,7.0,4.0,R,3749223.0,SDVLJWXENNGWCQMIW,Tfiozpstcftslqtwkgngiiwo,69.0,,2.0,Nujxguyehf,370.0,RI,Missoula,,United States of America,209116.0,U,Alliance One International
Hga7506,6.0,0.0,O,3658531.0,Hgakmykzeunwkiaxayulpwyxrcuev,fbcahlrhhjoslfzqvvwwvhk,47.0,1-388-257-4273,0.0,Neigswk,833.0,DE,Salinas,F,,212203.0,U,Sally Beauty Holdings
Beo7507,2.0,5.0,U,1738460.0,Beotomyndkiqryllkvpavllytov,Dcgkohfcwyoaxckalqnkrzwq,0.0,,5.0,WNCEOQPLW,536.0,NM,San Jose,M,Canada,42018.0,M,Wisconsin Energy
Qum7508,0.0,0.0,R,3307296.0,Qumxrssnd,Vmnmcsinflxxmmifydckncc,46.0,1-632-118-1891,0.0,Cskdwtkf,775.0,WV,Cleveland,,United States of America,90446.0,S,Carpenter Technology
Hud7509,3.0,1.0,R,1816419.0,Hudlpfwjagzbnznyhamjkhbf,Vrkbkkxkddtximspigmlbwzt,6.0,1-853-806-4986,1.0,tcxswloetdt,765.0,NH,Huntington,,United States of America,16274.0,M,Liberty Mutual Insurance Group
jba7510,6.0,2.0,O,2599250.0,jbabemsfwdyeihxq,RMWCTFTLSVTMCBI,22.0,1-220-687-2027,5.0,Fkpemasoukih,555.0,WY,Paterson,m,Canada,22215.0,M,Black & Decker
dgc7511,3.0,1.0,O,490443.0,dgcnbxfhc,Zaijioc,72.0,,5.0,NCEVKLQEEWTA,,Saskatchewan,Greensboro,m,United States of America,210038.0,M,Interstate Bakeries
lql7512,9.0,5.0,O,3348923.0,lqlslgqsvyfxqnzuwbfg,Mdwdjpdfmbqjaygkfqzqx,40.0,1-268-630-3843,4.0,DODDIDDHXS,318.0,NE,Concord,,Canada,307402.0,M,eBay
Wsk7513,4.0,1.0,R,331799.0,Wskjvrujdwku,Ccbccgvldfvoqtzestvkwunn,8.0,1-915-548-9541,4.0,Oqnzttrldq,613.0,AR,Colorado Springs,m,United States of America,,D,Boise
Ffs7514,4.0,1.0,R,1167013.0,Ffshsiomkzjonhxjhunfsao,nyakrhdyxravdnhgbtol,10.0,1-536-880-0961,4.0,Lwbawk,786.0,IL,Mobile,,,432425.0,U,MDU Resources Group
Kvv7515,10.0,3.0,O,3960216.0,Kvvverfkpazpzzkrqniixrhnw,NDNBTVCLKSC,24.0,1-494-335-6022,0.0,Ppsrzjdtg,,VA,Thousand Oaks,,United States of America,122041.0,U,Freescale Semiconductor
mpz7516,5.0,4.0,O,242246.0,mpzqnwnrmaozfsstcqtrc,Zmstbluqkipzaojfsomtbdddguq,18.0,1-814-158-3550,1.0,,623.0,ID,Rochester,f,United States of America,302205.0,M,Superior Energy Services
Jhc7517,1.0,1.0,O,1217660.0,Jhcbaxyzijphmmvpampdgvgisnab,dpqgvuaoijmkxsesvililpxcrwqe,79.0,1-420-580-0795,1.0,,845.0,TX,Garden Grove,F,United States of America,367555.0,S,Monsanto
dbq7518,7.0,5.0,U,1229655.0,dbqcukoddoiwg,IHUGYGSRDWILVOFBAKUR,36.0,1-924-305-1666,4.0,Rxdsunq,645.0,New Brunswick,Tampa,M,United States of America,106025.0,M,Newfield Exploration
Xch7519,1.0,2.0,O,1157831.0,Xchoxlbkffuvox,aefotdcronamhkzsfpvifmobgchmsp,21.0,1-450-082-2122,2.0,JXHVEEOU,495.0,Alberta,Fullerton,m,Canada,106690.0,W,Loews
oir7520,8.0,2.0,O,,oirfujtvl,jdeyqkerjerjpht,4.0,1-573-009-1404,2.0,XHJQCDPOO,371.0,PA,Washington,m,Canada,29373.0,M,Apache
Fqb7521,1.0,3.0,R,,Fqbovz,Lwihnxoihqqrvjydsijd,72.0,1-603-897-9894,2.0,rapkjpmvp,462.0,Nova Scotia,Norfolk,M,United States of America,168189.0,S,Robert Half International
qex7522,7.0,,U,3467922.0,qextfjyytqwbmdrlykbfnhvqrmota,nmnervucuk,1.0,1-947-161-6502,,Slskxm,375.0,RI,Sydney,,United States of America,264756.0,S,Viacom
