MarSt,AdLi2,NuC,LN,AddrL1,PoC,Ph,Gen,CrRat,Ag,Em,Sta,In,NumCreCa,NeWor,Ci,AgID,NuCh,Cou,MiIn,FiN,OOReF
U,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,3.0,Iokwiqojocjanndatkdzgymym,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,Guudshirvcu,1-637-119-9996,,580.0,7.0,FM Global,MO,94490.0,,321776.0,Baltimore,Iok7501,,United States of America,n,wbwsqgtaa,U
S,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,4.0,tiabxgseasiibxakctfzhfwotp,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,wyggjewbe,1-560-405-0048,M,683.0,48.0,MGIC Investment,TX,7037.0,2.0,2292324.0,Kitchener,tia7502,4.0,Canada,,QGJWCPAPZMWHYHZTNOYSSOQBI,R
M,Cdrxeolwrrxmwmhgexvcstvzz,1.0,AOIWIWTIHIXOJ,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,YMZRQICUTHT,1-261-306-5079,,411.0,14.0,Ross Stores,CT,419269.0,2.0,969707.0,Saint John,AOI7503,5.0,,u,BHGXDDPUMBESLQMNEPREPTZNNKM,O
W,WKSBVOFGJHQGAEKUYRZHHPH,4.0,PJQSPMBUHYQKBOZ,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,Bcjuycmcen,1-642-299-6655,m,818.0,29.0,,UT,76681.0,9.0,3899461.0,Berkeley,PJQ7504,5.0,United States of America,,Xgnvppcxgfnmawlupgfa,U
U,skxijfqpzshmts,2.0,SDVLJWXENNGWCQMIW,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,Nujxguyehf,,,370.0,69.0,Alliance One International,RI,209116.0,7.0,3749223.0,Missoula,SDV7505,4.0,United States of America,,Tfiozpstcftslqtwkgngiiwo,R
U,ZETOHHRKIBHCQCKZODIXJJSXCFY,0.0,Hgakmykzeunwkiaxayulpwyxrcuev,Ajpkrmtlcbdzr,Neigswk,1-388-257-4273,F,833.0,47.0,Sally Beauty Holdings,DE,212203.0,6.0,3658531.0,Salinas,Hga7506,0.0,,F,fbcahlrhhjoslfzqvvwwvhk,O
M,LJXAXKUJXQBGWBHJJAAM,5.0,Beotomyndkiqryllkvpavllytov,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,WNCEOQPLW,,M,536.0,0.0,Wisconsin Energy,NM,42018.0,2.0,1738460.0,San Jose,Beo7507,5.0,Canada,D,Dcgkohfcwyoaxckalqnkrzwq,U
S,Jmlgjkjbqhrudrkqrm,0.0,Qumxrssnd,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,Cskdwtkf,1-632-118-1891,,775.0,46.0,Carpenter Technology,WV,90446.0,0.0,3307296.0,Cleveland,Qum7508,0.0,United States of America,,Vmnmcsinflxxmmifydckncc,R
M,Qqcilgblxyikgr,1.0,Hudlpfwjagzbnznyhamjkhbf,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,tcxswloetdt,1-853-806-4986,,765.0,6.0,Liberty Mutual Insurance Group,NH,16274.0,3.0,1816419.0,Huntington,Hud7509,1.0,United States of America,v,Vrkbkkxkddtximspigmlbwzt,R
M,Ahtohqjfzfarn,5.0,jbabemsfwdyeihxq,Ycltsquohmuugxihqyluhkoy,Fkpemasoukih,1-220-687-2027,m,555.0,22.0,Black & Decker,WY,22215.0,6.0,2599250.0,Paterson,jba7510,2.0,Canada,,RMWCTFTLSVTMCBI,O
