NumberChildren,Income,Phone,NumberCars,OwnOrRentFlag,PostalCode,AgencyID,MiddleInitial,City,Employer,FirstName,Gender,AddressLine1,State,MaritalStatus,NetWorth,LastName,Age,CreditRating,NumberCreditCards,Country,AddressLine2
3.0,368776.0,1-712-522-6088,,O,T6b 1i1,PEL0,,Fairbanks,Brink's,Netti,f,21847 olympia street,MA,W,1058868.0,PELLAND,20.0,760.0,,United States of America,
1.0,177967.0,1-626-426-4298,5.0,U,77281,LED1,,Quebec,,TRUDY,F,245 congress court,PA,U,1988185.0,LEDUC,3.0,555.0,6.0,United States of America,APT. 624
1.0,321772.0,1-524-787-8784,2.0,O,91355,lat2,,Henderson,,ireland,,6517 frailing west,Alberta,S,3673128.0,latif,,566.0,6.0,United States of America,
1.0,25449.0,1-741-997-1688,2.0,O,36615,RUD3,,Salem,Air Products & Chemicals,Misti,,11449 blalock park,AR,W,2005895.0,RUDDICK,77.0,,3.0,Canada,
3.0,166567.0,1-002-194-1991,0.0,O,t6a 1i3,JAY4,M,Toledo,Oshkosh,sarena,f,18354 dodd court,OR,M,624736.0,JAYAMANNE,21.0,815.0,4.0,Canada,Apt. 619
4.0,43631.0,1-441-371-7651,1.0,R,A2b 1v3,tod5,Z,Corpus Christi,,Paulette,M,14117 roxboro street,VA,M,3064615.0,todo,77.0,333.0,10.0,United States of America,
0.0,466230.0,1-957-940-5980,4.0,O,49513,Kan6,R,Salt Lake City,VeraSun Energy,AMALITA,m,24697 FLORENCE WEST,OH,,3489129.0,Kanno,23.0,528.0,1.0,Canada,
2.0,420243.0,1-768-633-4096,2.0,U,M5d 1v6,Din7,Z,Brownsville,IDT,Ernesto,,6488 applewood drive,Prince Edward Island,M,3430744.0,Dinkel,9.0,680.0,7.0,United States of America,
,141862.0,1-107-689-2155,3.0,O,V6c 1q1,Thi8,,Escondido,Adams Resources & Energy,Toby,,17404 gale court,NV,U,1743614.0,Thibodeaux,63.0,761.0,10.0,United States of America,
2.0,402011.0,1-173-594-6096,0.0,O,99716,May9,,Los Angeles,MGIC Investment,evangelia,,15913 alexis street,Ontario,M,216299.0,Mayo,32.0,416.0,,United States of America,
2.0,79928.0,1-561-520-0611,2.0,O,A2b 1w1,mah10,U,West Covina,Iasis Healthcare,umakanth,,18313 5th lane,TX,M,1528641.0,mahendra,96.0,493.0,9.0,Canada,
0.0,109496.0,1-730-406-9727,1.0,R,M5F 1W1,Siz11,,San Buenaventura,AMR,terrie,,13653 collier avenue,NE,M,3752907.0,Sizto,46.0,564.0,0.0,United States of America,
4.0,267901.0,,1.0,U,95118,cra12,,Lexington,Embarq,Mary-pat,,15306 pike park,AR,U,582378.0,crawley,6.0,817.0,0.0,United States of America,
5.0,487273.0,1-207-867-4589,3.0,R,H2f 1v7,dac13,,Hay River,Advanced Micro Devices,Catherin,m,1540 crestmere north,MI,U,3458824.0,dacal,39.0,653.0,8.0,United States of America,
4.0,34013.0,1-478-629-9641,3.0,O,19217,HIV14,W,Toronto,Cenveo,annissa,,10790 bonita crescent,MA,M,469408.0,HIVELY,73.0,587.0,2.0,United States of America,
2.0,473462.0,1-026-208-8595,0.0,O,21228,Pes15,,Denver,Kelly Services,Amour,,24679 AIRPORT CRESCENT,TN,S,1504480.0,Peschke,26.0,472.0,6.0,United States of America,Apt. 290
4.0,499493.0,1-432-681-4853,5.0,O,85097,CHI16,,St. Paul,Viacom,jenica,,7627 douglas road,TN,M,2763009.0,CHILDERHOSE,54.0,817.0,4.0,Canada,
4.0,266928.0,,5.0,R,V6j 1q8,Din17,,Bellevue,Macy's,KATTIE,,6106 ashland east,OK,M,2787199.0,Dinnin,87.0,441.0,0.0,United States of America,
3.0,72444.0,1-357-207-6320,2.0,O,43207,De 18,M,Detroit,Gardner Denver,Roselle,,1111 norden street,Ontario,M,2789368.0,De witte,85.0,848.0,6.0,United States of America,
3.0,77290.0,1-462-774-1277,3.0,R,V6t 1q8,Mck19,,Omaha,Family Dollar Stores,arlyne,m,2798 1st east,KY,U,2784776.0,Mckeegan,86.0,843.0,8.0,United States of America,
0.0,395066.0,1-702-382-2898,2.0,R,94467,WIN20,P,Costa Mesa,,Rong-chin,M,11358 elle lee street,PA,U,288747.0,WINTERS,59.0,,,United States of America,
3.0,119283.0,1-909-554-7120,5.0,O,94321,BIT21,,Berkeley,Sun Microsystems,Darlleen,,21074 MALLORY LOWER,MD,U,876575.0,BITTMAN,94.0,300.0,0.0,United States of America,
1.0,330991.0,1-752-296-7940,1.0,O,C2a 4w7,luz22,V,St. Louis,Costco Wholesale,Radoslav,f,16124 weyland park,TX,U,2041224.0,luzarraga,,795.0,8.0,United States of America,
0.0,,1-995-554-5056,4.0,U,35808,don23,S,Colorado Springs,Illinois Tool Works,Aryn,,23822 marvin crescent,IN,,2231509.0,donovan,5.0,367.0,5.0,United States of America,
5.0,252031.0,1-090-303-3807,1.0,O,M5f 1v6,Gia24,T,Fontana,Southern Union,Allisan,,2203 valita boulevard,MD,M,3206409.0,Giallo,23.0,507.0,1.0,United States of America,
1.0,101800.0,1-492-968-0932,3.0,O,99539,SPR25,,St. Catharines,Moog,Ammamaria,M,11538 COLLINWOOD AVENUE,KY,M,3850037.0,SPRUELL,61.0,362.0,9.0,United States of America,
1.0,436977.0,1-960-227-2020,0.0,O,95055,SKA26,,Hayward,Old Republic International,Mari,F,7818 EAST STREET,CA,D,528440.0,SKALSKI,,527.0,7.0,United States of America,
,495334.0,1-431-122-8597,0.0,O,93686,Gar27,,Palmdale,,Anica,m,10013 shaw road,FL,S,597140.0,Gargul,51.0,354.0,0.0,United States of America,
1.0,274685.0,1-822-836-7200,1.0,O,75218,Dor28,,Phoenix,Great Plains Energy,Melba,,6802 AMES STREET,Newfoundland,M,146931.0,Dore,97.0,511.0,1.0,United States of America,
2.0,320820.0,1-530-117-0497,2.0,,91174,DIO29,X,Gary,Broadcom,Tracee,,22501 SUMMIT RUE,TX,,353495.0,DIOGO,52.0,412.0,7.0,United States of America,
0.0,195835.0,1-051-257-2719,4.0,O,49515,Mer30,,Beaumont,Discover Financial Services,CANADIAN,m,291 frances rue,WA,S,295647.0,Merrick,98.0,583.0,1.0,Canada,
3.0,108085.0,1-171-989-1363,5.0,O,16506,Atc31,R,Nashua,UAL,Oue,,16264 sanders east,MN,U,408941.0,Atchison,47.0,710.0,5.0,United States of America,
1.0,260185.0,1-042-705-3246,2.0,O,94383,Pla32,X,San Jose,Charles Schwab,wallie,m,16068 cantey way,WY,M,362523.0,Plamondon,47.0,380.0,9.0,United States of America,
0.0,258323.0,1-098-328-2026,0.0,R,T6d 1b3,SEL33,E,Nashua,Coach,Andromache,F,21170 EDLOE BOULEVARD,NY,M,2102359.0,SELCHOW,9.0,796.0,2.0,United States of America,
3.0,79476.0,1-209-754-5635,1.0,U,25339,sha34,Z,Fort Smith,DaVita,THOR,f,885 CROSBY LANE,SC,M,3480265.0,shane,85.0,818.0,2.0,United States of America,
3.0,102156.0,1-498-781-3456,5.0,U,V6o 1v4,MER35,,Lancaster,Marshall & Ilsley Corp.,SALAH,,12235 jay street,MS,M,3648900.0,MERWIN,81.0,766.0,3.0,United States of America,
3.0,221481.0,1-615-241-0440,2.0,O,01852,con36,,Colorado Springs,Cablevision Systems,HOR-LAM,,20340 LOMBARD CRESCENT,UT,M,1161790.0,conrad,0.0,359.0,2.0,United States of America,
5.0,41836.0,1-995-449-5200,1.0,R,78230,ons37,,Washington,Barnes & Noble,Vania,M,22074 dexter upper,PA,S,2050587.0,onsiteteam,28.0,401.0,2.0,United States of America,
