prospect_AgeID,prospect_MidInit,prospect_PoCo,prospect_NuCreCa,prospect_MariSta,prospect_Em,prospect_Ph,prospect_In,prospect_NuC,prospect_NumCh,prospect_A,prospect_CreRa,prospect_OORF,prospect_NeWor
Iok7501,n,Guudshirvcu,,U,FM Global,1-637-119-9996,94490.0,3.0,,7.0,580.0,U,321776.0
tia7502,,wyggjewbe,2.0,S,MGIC Investment,1-560-405-0048,7037.0,4.0,4.0,48.0,683.0,R,2292324.0
AOI7503,u,YMZRQICUTHT,2.0,M,Ross Stores,1-261-306-5079,419269.0,1.0,5.0,14.0,411.0,O,969707.0
PJQ7504,,Bcjuycmcen,9.0,W,,1-642-299-6655,76681.0,4.0,5.0,29.0,818.0,U,3899461.0
SDV7505,,Nujxguyehf,7.0,U,Alliance One International,,209116.0,2.0,4.0,69.0,370.0,R,3749223.0
Hga7506,F,Neigswk,6.0,U,Sally Beauty Holdings,1-388-257-4273,212203.0,0.0,0.0,47.0,833.0,O,3658531.0
Beo7507,D,WNCEOQPLW,2.0,M,Wisconsin Energy,,42018.0,5.0,5.0,0.0,536.0,U,1738460.0
Qum7508,,Cskdwtkf,0.0,S,Carpenter Technology,1-632-118-1891,90446.0,0.0,0.0,46.0,775.0,R,3307296.0
Hud7509,v,tcxswloetdt,3.0,M,Liberty Mutual Insurance Group,1-853-806-4986,16274.0,1.0,1.0,6.0,765.0,R,1816419.0
jba7510,,Fkpemasoukih,6.0,M,Black & Decker,1-220-687-2027,22215.0,5.0,2.0,22.0,555.0,O,2599250.0
dgc7511,,NCEVKLQEEWTA,3.0,M,Interstate Bakeries,,210038.0,5.0,1.0,72.0,,O,490443.0
lql7512,,DODDIDDHXS,9.0,M,eBay,1-268-630-3843,307402.0,4.0,5.0,40.0,318.0,O,3348923.0
Wsk7513,,Oqnzttrldq,4.0,D,Boise,1-915-548-9541,,4.0,1.0,8.0,613.0,R,331799.0
Ffs7514,v,Lwbawk,4.0,U,MDU Resources Group,1-536-880-0961,432425.0,4.0,1.0,10.0,786.0,R,1167013.0
Kvv7515,F,Ppsrzjdtg,10.0,U,Freescale Semiconductor,1-494-335-6022,122041.0,0.0,3.0,24.0,,O,3960216.0
mpz7516,G,,5.0,M,Superior Energy Services,1-814-158-3550,302205.0,1.0,4.0,18.0,623.0,O,242246.0
Jhc7517,s,,1.0,S,Monsanto,1-420-580-0795,367555.0,1.0,1.0,79.0,845.0,O,1217660.0
dbq7518,l,Rxdsunq,7.0,M,Newfield Exploration,1-924-305-1666,106025.0,4.0,5.0,36.0,645.0,U,1229655.0
Xch7519,,JXHVEEOU,1.0,W,Loews,1-450-082-2122,106690.0,2.0,2.0,21.0,495.0,O,1157831.0
oir7520,Z,XHJQCDPOO,8.0,M,Apache,1-573-009-1404,29373.0,2.0,2.0,4.0,371.0,O,
Fqb7521,O,rapkjpmvp,1.0,S,Robert Half International,1-603-897-9894,168189.0,2.0,3.0,72.0,462.0,R,
qex7522,,Slskxm,7.0,S,Viacom,1-947-161-6502,264756.0,,,1.0,375.0,U,3467922.0
Hpi7523,,FXHXLG,10.0,S,Robert Half International,1-586-826-9847,44480.0,1.0,2.0,98.0,516.0,U,46859.0
Fjd7524,,ovlziicdezok,,,CSX,1-217-243-2668,87207.0,1.0,5.0,35.0,703.0,R,2937668.0
Cgt7525,,jsxcpvao,7.0,W,Country Financial Services,1-857-211-5728,238434.0,4.0,2.0,99.0,734.0,O,2388613.0
Lwx7526,,Ykerbceq,4.0,M,Procter & Gamble,1-089-966-6281,,0.0,2.0,49.0,469.0,U,3116283.0
epy7527,,VVMSNWEBT,2.0,S,Ingles Markets,,391354.0,3.0,0.0,72.0,595.0,O,2671950.0
Aff7528,M,bibueqwbejem,1.0,U,Forest Laboratories,1-231-342-6874,419165.0,3.0,0.0,41.0,410.0,O,3899593.0
mfc7529,S,gehpynlk,10.0,W,Dentsply International,,396509.0,3.0,2.0,54.0,475.0,O,2537332.0
Slf7530,S,Piwlxtg,2.0,,RadioShack,1-602-637-1838,145161.0,0.0,2.0,11.0,,R,733236.0
Cxu7531,,Ujlshmosjkid,3.0,W,Century Aluminum,1-003-982-8627,263206.0,2.0,5.0,0.0,519.0,O,
GZO7532,F,cwburwnupuj,5.0,D,,1-136-358-6852,190371.0,3.0,3.0,27.0,841.0,U,3397276.0
DRW7533,A,CNEZMHTKIAEV,6.0,U,FPL Group,1-123-528-2965,203968.0,3.0,1.0,95.0,540.0,O,2444257.0
set7534,N,kixvppuqtd,10.0,U,Lockheed Martin,1-136-565-2501,428323.0,1.0,3.0,35.0,540.0,R,71520.0
Pyo7535,,jrhynxfi,6.0,M,Sanmina-SCI,1-317-986-1984,159980.0,4.0,1.0,96.0,,O,1911091.0
FSH7536,,dnhtjyu,6.0,W,Iron Mountain,1-265-603-1262,266852.0,0.0,0.0,96.0,424.0,O,988775.0
Tdx7537,,YKOVOTYB,2.0,M,OfficeMax,,206973.0,5.0,5.0,49.0,623.0,R,3919363.0
Sbn7538,O,WNNMWJ,4.0,S,AMR,1-156-668-6882,258221.0,5.0,1.0,,792.0,O,428918.0
Piq7539,C,Oktkljv,6.0,S,Kohl's,1-164-648-3203,428508.0,4.0,4.0,27.0,718.0,O,58134.0
IXD7540,,,6.0,M,Cigna,1-839-795-1027,,4.0,0.0,98.0,401.0,O,3703767.0
wsn7541,,GXFLSISZUY,2.0,M,West,1-958-412-4252,58953.0,4.0,5.0,,557.0,R,433859.0
