gncd,crdtrtng,g,nmbrchldrn,mddlntl,frstnm,phn,ncm,nmbrcrs,mrtlstts,wnrrntflg,mplr,nmbrcrdtcrds,ntwrth
Iok7501,580.0,7.0,,n,wbwsqgtaa,1-637-119-9996,94490.0,3.0,U,U,FM Global,,321776.0
tia7502,683.0,48.0,4.0,,QGJWCPAPZMWHYHZTNOYSSOQBI,1-560-405-0048,7037.0,4.0,S,R,MGIC Investment,2.0,2292324.0
AOI7503,411.0,14.0,5.0,u,BHGXDDPUMBESLQMNEPREPTZNNKM,1-261-306-5079,419269.0,1.0,M,O,Ross Stores,2.0,969707.0
PJQ7504,818.0,29.0,5.0,,Xgnvppcxgfnmawlupgfa,1-642-299-6655,76681.0,4.0,W,U,,9.0,3899461.0
SDV7505,370.0,69.0,4.0,,Tfiozpstcftslqtwkgngiiwo,,209116.0,2.0,U,R,Alliance One International,7.0,3749223.0
Hga7506,833.0,47.0,0.0,F,fbcahlrhhjoslfzqvvwwvhk,1-388-257-4273,212203.0,0.0,U,O,Sally Beauty Holdings,6.0,3658531.0
Beo7507,536.0,0.0,5.0,D,Dcgkohfcwyoaxckalqnkrzwq,,42018.0,5.0,M,U,Wisconsin Energy,2.0,1738460.0
Qum7508,775.0,46.0,0.0,,Vmnmcsinflxxmmifydckncc,1-632-118-1891,90446.0,0.0,S,R,Carpenter Technology,0.0,3307296.0
Hud7509,765.0,6.0,1.0,v,Vrkbkkxkddtximspigmlbwzt,1-853-806-4986,16274.0,1.0,M,R,Liberty Mutual Insurance Group,3.0,1816419.0
jba7510,555.0,22.0,2.0,,RMWCTFTLSVTMCBI,1-220-687-2027,22215.0,5.0,M,O,Black & Decker,6.0,2599250.0
dgc7511,,72.0,1.0,,Zaijioc,,210038.0,5.0,M,O,Interstate Bakeries,3.0,490443.0
lql7512,318.0,40.0,5.0,,Mdwdjpdfmbqjaygkfqzqx,1-268-630-3843,307402.0,4.0,M,O,eBay,9.0,3348923.0
Wsk7513,613.0,8.0,1.0,,Ccbccgvldfvoqtzestvkwunn,1-915-548-9541,,4.0,D,R,Boise,4.0,331799.0
Ffs7514,786.0,10.0,1.0,v,nyakrhdyxravdnhgbtol,1-536-880-0961,432425.0,4.0,U,R,MDU Resources Group,4.0,1167013.0
Kvv7515,,24.0,3.0,F,NDNBTVCLKSC,1-494-335-6022,122041.0,0.0,U,O,Freescale Semiconductor,10.0,3960216.0
mpz7516,623.0,18.0,4.0,G,Zmstbluqkipzaojfsomtbdddguq,1-814-158-3550,302205.0,1.0,M,O,Superior Energy Services,5.0,242246.0
Jhc7517,845.0,79.0,1.0,s,dpqgvuaoijmkxsesvililpxcrwqe,1-420-580-0795,367555.0,1.0,S,O,Monsanto,1.0,1217660.0
dbq7518,645.0,36.0,5.0,l,IHUGYGSRDWILVOFBAKUR,1-924-305-1666,106025.0,4.0,M,U,Newfield Exploration,7.0,1229655.0
Xch7519,495.0,21.0,2.0,,aefotdcronamhkzsfpvifmobgchmsp,1-450-082-2122,106690.0,2.0,W,O,Loews,1.0,1157831.0
oir7520,371.0,4.0,2.0,Z,jdeyqkerjerjpht,1-573-009-1404,29373.0,2.0,M,O,Apache,8.0,
Fqb7521,462.0,72.0,3.0,O,Lwihnxoihqqrvjydsijd,1-603-897-9894,168189.0,2.0,S,R,Robert Half International,1.0,
qex7522,375.0,1.0,,,nmnervucuk,1-947-161-6502,264756.0,,S,U,Viacom,7.0,3467922.0
Hpi7523,516.0,98.0,2.0,,hgjkxxbf,1-586-826-9847,44480.0,1.0,S,U,Robert Half International,10.0,46859.0
Fjd7524,703.0,35.0,5.0,,Zangtryzlhmxo,1-217-243-2668,87207.0,1.0,,R,CSX,,2937668.0
Cgt7525,734.0,99.0,2.0,,FFJGEQD,1-857-211-5728,238434.0,4.0,W,O,Country Financial Services,7.0,2388613.0
Lwx7526,469.0,49.0,2.0,,Pdcxrihnl,1-089-966-6281,,0.0,M,U,Procter & Gamble,4.0,3116283.0
epy7527,595.0,72.0,0.0,,Zckhcacwaelzutaodqalxyjrkh,,391354.0,3.0,S,O,Ingles Markets,2.0,2671950.0
Aff7528,410.0,41.0,0.0,M,sqrosgqnpifxjx,1-231-342-6874,419165.0,3.0,U,O,Forest Laboratories,1.0,3899593.0
mfc7529,475.0,54.0,2.0,S,Erqzkkllazeobgthnmgsbtj,,396509.0,3.0,W,O,Dentsply International,10.0,2537332.0
Slf7530,,11.0,2.0,S,Lcziayaozecoqqluasolkmmcldm,1-602-637-1838,145161.0,0.0,,R,RadioShack,2.0,733236.0
Cxu7531,519.0,0.0,5.0,,Gcnczmuxviqaxtsdzmzhtro,1-003-982-8627,263206.0,2.0,W,O,Century Aluminum,3.0,
GZO7532,841.0,27.0,3.0,F,Rsoobsqytvjycob,1-136-358-6852,190371.0,3.0,D,U,,5.0,3397276.0
DRW7533,540.0,95.0,1.0,A,Pjvadgt,1-123-528-2965,203968.0,3.0,U,O,FPL Group,6.0,2444257.0
set7534,540.0,35.0,3.0,N,GUBKOKITTSKVYM,1-136-565-2501,428323.0,1.0,U,R,Lockheed Martin,10.0,71520.0
Pyo7535,,96.0,1.0,,NDIVVVBOQBDHPTNVKBVCBEIUSNBIZU,1-317-986-1984,159980.0,4.0,M,O,Sanmina-SCI,6.0,1911091.0
FSH7536,424.0,96.0,0.0,,Kuteauo,1-265-603-1262,266852.0,0.0,W,O,Iron Mountain,6.0,988775.0
Tdx7537,623.0,49.0,5.0,,Hkfofpndygljbeo,,206973.0,5.0,M,R,OfficeMax,2.0,3919363.0
Sbn7538,792.0,,1.0,O,Kengxgsu,1-156-668-6882,258221.0,5.0,S,O,AMR,4.0,428918.0
Piq7539,718.0,27.0,4.0,C,Plywuoa,1-164-648-3203,428508.0,4.0,S,O,Kohl's,6.0,58134.0
IXD7540,401.0,98.0,0.0,,zfcwsxpjzyqelkxg,1-839-795-1027,,4.0,M,O,Cigna,6.0,3703767.0
wsn7541,557.0,,5.0,,Yxvczhqjwgnhowiu,1-958-412-4252,58953.0,4.0,M,R,West,2.0,433859.0
Jkp7542,393.0,56.0,5.0,A,Grkknjyfgbhtyrhxzeaoeoyirwfa,1-392-335-1020,409682.0,5.0,W,O,Monsanto,7.0,3002044.0
CCF7543,557.0,94.0,4.0,,Vfrdst,1-912-050-7605,340191.0,2.0,M,,Reliant Energy,10.0,1124168.0
ylj7544,465.0,98.0,5.0,,Hqcswumjvwbemosmy,1-075-551-9919,238216.0,4.0,U,O,Idearc,5.0,2081541.0
ZBB7545,,8.0,1.0,V,Ectbhkmbvwkwdbn,1-013-611-2674,113171.0,0.0,M,O,Neiman Marcus,6.0,1897076.0
fqe7546,485.0,90.0,,,Bdbgqpllbnrmiirpct,1-656-865-7544,234797.0,5.0,W,,O'Reilly Automotive,10.0,235172.0
Wpw7547,303.0,34.0,2.0,,Ftszluaxcsoxdfbmdd,1-879-870-7379,225322.0,4.0,M,,Cliffs Natural Resources,2.0,639573.0
vpz7548,846.0,25.0,2.0,,Qrdnpjquwnixfocqhsrlkcxmelwijl,1-366-625-9813,192689.0,1.0,W,O,Health Management Associates,4.0,2667082.0
Yfz7549,621.0,50.0,4.0,,Kkiolpmrgzmnjanqc,1-359-462-7089,348685.0,5.0,,O,Chevron,1.0,2598634.0
dou7550,331.0,85.0,4.0,,unzegilpp,,401229.0,3.0,D,O,Exide Technologies,,1074671.0
FDJ7551,401.0,60.0,4.0,,xetqkitwlh,1-153-396-8333,38597.0,5.0,M,R,Convergys,9.0,2272997.0
ufu7552,644.0,95.0,2.0,,TWRRGULRYKYUWZYBQQFMIFFKVK,1-144-623-1308,,2.0,S,R,Dominion Resources,0.0,702000.0
bbg7553,769.0,8.0,1.0,H,Yqfljvgkfucafpjpamdtcppiipc,1-269-220-8046,161204.0,4.0,M,R,Sentry Insurance Group,5.0,1289800.0
Znk7554,481.0,31.0,4.0,v,mjeasoritwctufyojamzbeeoo,1-052-524-0130,202650.0,3.0,M,O,Cintas,2.0,1007390.0
CGQ7555,732.0,51.0,2.0,T,Udxaujgiratgthwkvdibgvwfo,1-335-871-6660,,1.0,U,O,Medtronic,7.0,124290.0
add7556,802.0,24.0,4.0,,GHFUKZPOKMXWZF,1-637-394-8083,492433.0,4.0,M,O,Pride International,2.0,1820002.0
Anw7557,329.0,78.0,4.0,J,ybtkiifyhbgchnuctnhnqspk,1-706-795-4208,344858.0,2.0,M,O,A. Schulman,5.0,2200347.0
Hvt7558,839.0,56.0,0.0,,Fhkymmgjsbmpduuffgavhfcxm,1-622-347-5699,197290.0,5.0,W,R,Oneok,0.0,3669569.0
Yqj7559,539.0,50.0,,d,DEZDTMSMWKALBRPALCFIME,1-042-017-9368,283654.0,2.0,U,,Danaher,,2140537.0
Ztn7560,561.0,52.0,5.0,,phoxfeiqoldgmnojmzunmargkla,1-829-935-5979,317423.0,4.0,M,R,Del Monte Foods,4.0,3258909.0
bni7561,814.0,14.0,5.0,,Upuabfflh,1-076-726-5283,399126.0,4.0,W,O,American Electric Power,2.0,1825422.0
swx7562,305.0,29.0,0.0,,owagfolbfwjzeg,,398180.0,5.0,M,R,TJX,7.0,1845263.0
DSA7563,457.0,50.0,4.0,P,Qdmppehqxloc,1-284-129-5920,,2.0,S,O,Philip Morris International,4.0,1463114.0
BXZ7564,349.0,67.0,1.0,,jqbetxkci,1-128-308-8886,485429.0,4.0,U,O,Cincinnati Financial,8.0,2354683.0
pcz7565,590.0,22.0,0.0,,Wsmywgbvwspgdwhmdxsqjwqb,1-145-469-5971,118018.0,2.0,M,O,Stryker,0.0,436677.0
Zqa7566,533.0,20.0,4.0,,ocgwi,1-727-684-7767,309693.0,5.0,U,O,Kansas City Southern,0.0,2383335.0
Htl7567,686.0,75.0,0.0,z,Pcotdnngmurhkcd,1-776-201-2472,90718.0,4.0,W,O,IDT,9.0,2574739.0
afw7568,582.0,60.0,0.0,L,bvcosqzcleknjzvkygbawlc,1-767-942-1278,280645.0,2.0,U,O,Vornado Realty Trust,10.0,1596838.0
Wna7569,807.0,,4.0,,ECLENELTSXGTNWOP,1-723-062-7266,231559.0,,S,O,Dollar General,0.0,591965.0
Mlh7570,819.0,48.0,5.0,,Xdwexmrjat,,36898.0,3.0,S,O,Safeway,3.0,3071440.0
Gor7571,311.0,91.0,0.0,,xjwnvwdryqpcehelwzfhkkiuus,1-145-314-0862,396786.0,2.0,M,R,Apache,5.0,2683081.0
ENX7572,734.0,98.0,5.0,,RNBABCYAFMQPBOHXNUXMXNU,1-735-104-7772,344365.0,2.0,U,O,Lowe's,3.0,3850483.0
fgr7573,432.0,51.0,1.0,,Eyrtrqkljywvbcice,,1205.0,4.0,W,O,Lithia Motors,1.0,1870617.0
Ysh7574,394.0,22.0,0.0,a,Opybrukftspofebjmspkjsgtobzsp,1-518-116-1411,276666.0,5.0,S,O,CH2M Hill,3.0,1249534.0
Mos7575,658.0,57.0,0.0,I,PVCKVZHJOWNWKSVIJIGLYWKGUKNXW,1-696-359-4829,497953.0,0.0,U,O,Tellabs,1.0,3789880.0
czu7576,348.0,38.0,2.0,,kpofwgtomgijnm,1-352-678-5471,156048.0,1.0,M,O,Phillips-Van Heusen,3.0,3874445.0
Ghr7577,598.0,68.0,5.0,Z,Biflzgcqpqpbahquomftmjffohpwuy,1-906-600-9749,63617.0,1.0,M,O,Wells Fargo,8.0,437353.0
Rwk7578,505.0,93.0,2.0,,ybdlwlwxispyswbiegrbsqqtywxr,1-093-018-2851,244849.0,2.0,U,O,Vornado Realty Trust,9.0,2669917.0
Uwi7579,839.0,48.0,3.0,,Capzcewdt,1-302-096-9321,123585.0,4.0,S,R,New York Times,7.0,1466537.0
VXZ7580,672.0,96.0,1.0,,XKBLVBCCYKMIXABVTOTVPZCJRII,1-915-044-3154,391134.0,1.0,S,U,Adobe Systems,2.0,991860.0
Ayk7581,696.0,58.0,5.0,p,wmknfemsztimaphftadowlmbnp,1-040-274-3474,426759.0,5.0,M,O,Valmont Industries,3.0,
lho7582,448.0,63.0,3.0,,DHLVITRFJDXLTPAGMPMJ,1-678-397-2739,451737.0,5.0,W,O,UAL,5.0,1816368.0
rzi7583,549.0,18.0,1.0,,Jdpqutldftwykfyhukveiaimoyyk,1-679-345-9939,180822.0,2.0,S,O,AFLAC,9.0,565246.0
Wds7584,705.0,40.0,2.0,,Qiwemtdba,1-093-616-0613,205843.0,4.0,W,O,VeraSun Energy,0.0,1899339.0
Xsj7585,387.0,29.0,3.0,f,JQKEDISZ,1-546-131-8988,470985.0,4.0,M,O,Magellan Health Services,6.0,3873239.0
Lux7586,359.0,21.0,1.0,v,Gfuwa,1-477-186-7432,318225.0,2.0,U,,Emcor Group,7.0,767547.0
wxw7587,494.0,41.0,2.0,,CTTUYHUUMMDTX,1-965-848-6954,326044.0,2.0,M,O,Peabody Energy,9.0,1027999.0
pfz7588,345.0,56.0,1.0,e,Wvtqm,1-622-866-0937,,1.0,M,,State Farm Insurance Cos.,10.0,3428495.0
hlx7589,402.0,33.0,0.0,,xuwgpsvzcpxtoerndtr,1-040-217-2014,187282.0,2.0,M,O,Humana,10.0,1827180.0
nyb7590,579.0,96.0,0.0,,Hnnzpokbygacjjgybkskf,1-101-684-2373,,2.0,M,O,News Corp.,3.0,2070007.0
Ltt7591,569.0,35.0,0.0,O,qsnivsknktiwjpqwnrlgftnmsrxkjc,1-386-426-5849,,2.0,,O,Torchmark,2.0,
gsz7592,745.0,40.0,4.0,,pygsfvfpeofkdcugfvxdsqgmcgebfp,1-598-816-0126,306946.0,0.0,W,O,Rock-Tenn,9.0,3596263.0
Kwp7593,320.0,10.0,,,Zgxsuo,1-770-379-7700,99663.0,0.0,D,U,AGCO,1.0,3719999.0
AGM7594,591.0,59.0,4.0,D,ganifmdaqbltccwbqijtkypcetuq,,482013.0,2.0,M,R,,4.0,3058439.0
Ocn7595,,70.0,0.0,u,IYCOMORWDFSEKN,1-628-245-6238,180476.0,1.0,M,U,United Stationers,10.0,2592932.0
Cmw7596,417.0,69.0,5.0,,vdvdlfz,1-813-787-2611,285682.0,4.0,M,,McCormick,5.0,1471273.0
Dit7597,338.0,96.0,5.0,V,Sbwymtnwzhffkwjczlsnvrtcv,1-362-897-1162,455032.0,0.0,M,R,National Life Group,8.0,
Rmm7598,340.0,9.0,,S,qjjwbffbgxilxyarhjwdvo,1-952-919-4878,356141.0,3.0,S,O,Hasbro,9.0,2410816.0
ekj7599,738.0,39.0,3.0,,JIXUQX,1-145-214-8009,165667.0,3.0,U,U,Tupperware Brands,5.0,1059543.0
wcq7600,597.0,31.0,2.0,A,Eqrxuc,1-328-944-9786,459767.0,0.0,S,O,Covance,7.0,379282.0
Klc7601,603.0,64.0,2.0,,PDAXUXBMPOVTKJUR,1-899-864-9421,106459.0,2.0,M,R,Interactive Brokers Group,4.0,3271265.0
Jrd7602,662.0,38.0,1.0,,Adftxl,1-877-997-8896,51021.0,,D,U,SkyWest,5.0,1530364.0
GDQ7603,838.0,47.0,4.0,,Gaksvvggpbleteofow,1-750-900-0823,494931.0,2.0,W,R,Best Buy,0.0,3731860.0
fnm7604,791.0,,2.0,,Ijstknxzfzsvqmy,,429859.0,5.0,M,O,Sears Holdings,9.0,2488858.0
Ymu7605,692.0,76.0,4.0,e,jvhwyzbcwdrrqmlbvpjwbohhemm,1-347-704-7823,,1.0,S,O,Frontier Oil,7.0,2301347.0
Pxj7606,673.0,60.0,3.0,R,nhhjbqktsr,1-228-976-2888,464086.0,0.0,W,O,Automatic Data Processing,8.0,1736571.0
Rsd7607,331.0,73.0,,M,Lmhtjwddyqbzlxgv,,207651.0,3.0,U,O,,7.0,2399483.0
Qqh7608,744.0,37.0,,,BXFLGQTJSJDQAUCXXJXWHTQU,1-760-429-1328,260418.0,4.0,U,O,Comerica,2.0,2982744.0
udq7609,446.0,50.0,1.0,Q,Tlaihggmhfiuezhjgps,1-253-879-8833,,5.0,M,U,Baldor Electric,6.0,1611011.0
Ghl7610,,0.0,4.0,M,DSRXJZKFJTIVXLBAX,1-401-256-3483,316963.0,0.0,M,O,Commercial Metals,0.0,2999167.0
mtk7611,,,,,Annsrbdzywmpqvigpn,1-175-910-8245,84046.0,5.0,W,O,,,
QIY7612,723.0,,3.0,,Mrawpcvb,1-565-191-3419,368990.0,0.0,M,O,Molina Healthcare,9.0,3307491.0
Ohz7613,348.0,81.0,0.0,,yociu,1-921-688-5401,124382.0,2.0,S,O,Plains All American Pipeline,2.0,2057260.0
djg7614,666.0,52.0,0.0,,DQNVNWPYSMLDGXJVBUHUKDLRSLN,1-925-155-0170,9263.0,2.0,M,O,Agilent Technologies,,53179.0
Iad7615,,68.0,4.0,,wfnjfn,1-185-691-2951,334181.0,2.0,M,U,AutoZone,3.0,690086.0
EMG7616,844.0,,1.0,H,WWWEN,1-067-518-3854,314001.0,0.0,M,R,,8.0,2025465.0
Hjn7617,766.0,36.0,4.0,,Krjcfgq,1-188-554-1671,168309.0,1.0,M,O,Universal Health Services,8.0,695307.0
CYP7618,521.0,31.0,4.0,D,Fxmpengjsaf,1-168-215-2223,322765.0,2.0,M,O,Time Warner,10.0,3238398.0
KPN7619,306.0,55.0,5.0,h,Eobtk,1-228-022-3056,311253.0,1.0,W,O,Sealed Air,7.0,1213578.0
Vbi7620,411.0,66.0,5.0,x,Abahrdfcbtscoblhaovnjkbx,1-926-766-1124,140296.0,5.0,W,R,Sprint Nextel,9.0,103708.0
ehb7621,,22.0,5.0,,bhephgijqbu,1-538-797-1948,439984.0,1.0,M,O,,3.0,1086081.0
TMQ7622,702.0,51.0,0.0,C,KECNVVPGTOXHIGOUAWLHU,1-627-234-0841,454011.0,5.0,U,O,Quiksilver,8.0,1349626.0
Lsb7623,842.0,26.0,5.0,y,xppmtvztaifqynlbmofxonnus,1-876-492-0782,191541.0,1.0,S,R,Valspar,1.0,1083092.0
Dpz7624,528.0,100.0,1.0,u,kzntoukktuqqfuyeo,1-436-946-7319,,2.0,U,R,Timken,0.0,1662799.0
Zuj7625,300.0,13.0,3.0,,TDRLAQZARCGRAMDDMCWP,1-281-780-2897,,3.0,W,R,,5.0,3548540.0
Jqk7626,752.0,11.0,1.0,,shbaeyxyrjfietruntrdeyqkc,1-421-286-4139,269215.0,2.0,S,O,Occidental Petroleum,7.0,881414.0
ijb7627,303.0,62.0,4.0,,Zururxrihusergiba,1-908-354-2709,193126.0,0.0,M,O,,0.0,1712200.0
NMO7628,418.0,13.0,5.0,U,QZLCPVRKZMTENMREVZT,1-466-560-2530,462618.0,3.0,M,O,Massey Energy,10.0,847446.0
Tef7629,667.0,23.0,3.0,,dvbflygvxrizbclmqwoajkvnzoufc,1-578-686-8082,212026.0,3.0,W,O,Weyerhaeuser,4.0,344294.0
Sdj7630,441.0,51.0,4.0,Z,mtnubdnrdoivcuqmapqhtvzkixw,1-166-077-1436,371024.0,1.0,D,U,National Fuel Gas,7.0,1534879.0
Pbr7631,471.0,2.0,2.0,,Nzljqsbgutsixlosfedpmlzl,1-535-320-1881,235810.0,3.0,U,O,Pep Boys,0.0,3897101.0
Ice7632,701.0,,,,Ealrdsynhtadihmsl,1-633-495-6478,347270.0,2.0,W,O,Neiman Marcus,9.0,3064442.0
ZWG7633,323.0,82.0,2.0,,xfjdwfentojva,1-398-680-0278,399212.0,5.0,D,R,BlackRock,1.0,2016524.0
Evw7634,846.0,94.0,5.0,,Zvowaelneuhpxzphpvtgvfz,1-185-976-7770,439561.0,4.0,M,O,McGraw-Hill,10.0,37745.0
Lhl7635,850.0,16.0,4.0,c,fmdcjzjekrwrirumyvfuqnnkxzr,1-490-238-8219,29980.0,3.0,M,O,Family Dollar Stores,8.0,503752.0
LYB7636,,43.0,5.0,N,Ohetzpmilrphnhnasiisaypdl,1-891-741-2112,28693.0,2.0,M,U,Teleflex,,2115180.0
Ijb7637,564.0,76.0,2.0,x,VAUWGMVOILXNGKB,1-849-918-0984,106794.0,1.0,M,O,,3.0,839222.0
Zhf7638,558.0,0.0,5.0,,Tnwgmuvaaqmxskkyqnvrmnmul,1-426-168-3142,340598.0,3.0,S,O,Imation,4.0,1851334.0
PYU7639,417.0,33.0,,r,mtovrkjvtfkennjujgpegknnck,1-757-910-8931,490597.0,1.0,U,O,PPL,0.0,1348251.0
Iku7640,487.0,62.0,2.0,F,Lwxdv,1-468-325-0119,499685.0,2.0,U,O,Smithfield Foods,6.0,2722392.0
HBZ7641,639.0,8.0,0.0,,Ftvuzjdzocqmcoxvrbqcna,1-383-310-7894,62285.0,2.0,M,O,Macy's,9.0,1785161.0
Pco7642,625.0,4.0,5.0,,Hnbgeuii,1-353-727-2029,320885.0,5.0,U,O,Torchmark,3.0,2823578.0
Ybv7643,,39.0,3.0,,Fykbowmpxpbb,1-028-849-5461,184669.0,5.0,D,O,Herman Miller,1.0,2123972.0
Rim7644,,90.0,0.0,F,Ruagwhiorgizpmbphjerywjrr,1-480-785-4021,126989.0,0.0,S,R,Kindred Healthcare,3.0,112782.0
gnf7645,460.0,7.0,4.0,,teldp,1-443-132-4138,48144.0,1.0,M,,Arch Coal,3.0,248311.0
Wxp7646,793.0,95.0,4.0,C,Tmhxnpfgyifx,1-143-020-1234,377787.0,5.0,,O,Whirlpool,8.0,3719851.0
Dxh7647,821.0,59.0,5.0,N,Fpchjcvsrkakkqqsojokdrg,1-475-304-3486,323782.0,5.0,U,O,Arrow Electronics,8.0,1920385.0
Aqo7648,,13.0,2.0,,Heiehcgec,1-677-882-6792,31880.0,3.0,S,O,Rock-Tenn,6.0,576903.0
fen7649,643.0,58.0,3.0,s,sgapkfrztiyyayezulvi,1-151-067-7411,390190.0,5.0,D,O,R.H. Donnelley,8.0,1855037.0
CMQ7650,817.0,67.0,1.0,,Nohjtayoycptngwoitqzhmuf,1-645-553-4591,413821.0,4.0,U,O,Pall,2.0,2954046.0
Yhb7651,702.0,68.0,2.0,,QIGFYQTIPFYCR,1-670-793-5351,301451.0,1.0,,O,Burlington Coat Factory,10.0,952096.0
mbw7652,409.0,17.0,0.0,L,evwjgjrsttnkbmhmmrswodkvwdqo,1-049-843-6473,5888.0,1.0,D,O,Forest Laboratories,2.0,3382998.0
xas7653,617.0,44.0,2.0,Y,SMOQFUQUOWABMRDKJPFC,1-739-185-6579,254404.0,2.0,,O,Moody's,6.0,3772196.0
MKM7654,,16.0,0.0,,Jzwgkirmjeznhbniytvkxnhhar,1-215-295-5893,290984.0,3.0,M,O,Fidelity National Financial,5.0,3180080.0
Jgi7655,756.0,27.0,5.0,,IMPCDEPQTVPBRBNJNLWAPSYUW,,441847.0,5.0,M,O,Amphenol,,3971412.0
Mwv7656,484.0,59.0,4.0,,Ewwyolurheysjpusipgrmydspux,1-515-341-8405,373240.0,2.0,D,R,Int. Business Machines,5.0,1488210.0
YOY7657,589.0,8.0,4.0,,Indhpnqswpoplupdlejxhjm,1-249-978-7278,461444.0,1.0,S,O,Int. Flavors & Fragrances,9.0,2621373.0
Gja7658,380.0,98.0,4.0,,Dahur,1-471-716-6210,255072.0,1.0,S,O,Gilead Sciences,0.0,1021949.0
rcx7659,541.0,35.0,1.0,E,JLZXMAOFICNNT,,255019.0,1.0,S,R,United Rentals,10.0,2444319.0
IPA7660,474.0,57.0,,V,Rvrfuknkgeyb,1-982-617-1421,330718.0,1.0,M,,Convergys,7.0,362567.0
