AgID,Ci,MiIn,NumCrCar,AddL2,A,CrRat,LaNa,MarSt,Ge,Ph,OORFl,Coun,AddL1,NuChi,Inc,NuC,Em,NeWor
Iok7501,Baltimore,n,,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,7.0,580.0,Iokwiqojocjanndatkdzgymym,U,,1-637-119-9996,U,United States of America,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,,94490.0,3.0,FM Global,321776.0
tia7502,Kitchener,,2.0,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,48.0,683.0,tiabxgseasiibxakctfzhfwotp,S,M,1-560-405-0048,R,Canada,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,4.0,7037.0,4.0,MGIC Investment,2292324.0
AOI7503,Saint John,u,2.0,Cdrxeolwrrxmwmhgexvcstvzz,14.0,411.0,AOIWIWTIHIXOJ,M,,1-261-306-5079,O,,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,5.0,419269.0,1.0,Ross Stores,969707.0
PJQ7504,Berkeley,,9.0,WKSBVOFGJHQGAEKUYRZHHPH,29.0,818.0,PJQSPMBUHYQKBOZ,W,m,1-642-299-6655,U,United States of America,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,5.0,76681.0,4.0,,3899461.0
SDV7505,Missoula,,7.0,skxijfqpzshmts,69.0,370.0,SDVLJWXENNGWCQMIW,U,,,R,United States of America,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,4.0,209116.0,2.0,Alliance One International,3749223.0
Hga7506,Salinas,F,6.0,ZETOHHRKIBHCQCKZODIXJJSXCFY,47.0,833.0,Hgakmykzeunwkiaxayulpwyxrcuev,U,F,1-388-257-4273,O,,Ajpkrmtlcbdzr,0.0,212203.0,0.0,Sally Beauty Holdings,3658531.0
Beo7507,San Jose,D,2.0,LJXAXKUJXQBGWBHJJAAM,0.0,536.0,Beotomyndkiqryllkvpavllytov,M,M,,U,Canada,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,5.0,42018.0,5.0,Wisconsin Energy,1738460.0
Qum7508,Cleveland,,0.0,Jmlgjkjbqhrudrkqrm,46.0,775.0,Qumxrssnd,S,,1-632-118-1891,R,United States of America,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,0.0,90446.0,0.0,Carpenter Technology,3307296.0
Hud7509,Huntington,v,3.0,Qqcilgblxyikgr,6.0,765.0,Hudlpfwjagzbnznyhamjkhbf,M,,1-853-806-4986,R,United States of America,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,1.0,16274.0,1.0,Liberty Mutual Insurance Group,1816419.0
jba7510,Paterson,,6.0,Ahtohqjfzfarn,22.0,555.0,jbabemsfwdyeihxq,M,m,1-220-687-2027,O,Canada,Ycltsquohmuugxihqyluhkoy,2.0,22215.0,5.0,Black & Decker,2599250.0
