AgencyID,Phone,LastName,Country,FirstName,NetWorth,MiddleInitial,Age,Employer,PostalCode,Gender,NumberCars,NumberChildren,MaritalStatus,CreditRating,OwnOrRentFlag,NumberCreditCards
PEL0,1-712-522-6088,PELLAND,United States of America,Netti,1058868.0,,20.0,Brink's,T6b 1i1,f,,3.0,W,760.0,O,
LED1,1-626-426-4298,LEDUC,United States of America,TRUDY,1988185.0,,3.0,,77281,F,5.0,1.0,U,555.0,U,6.0
lat2,1-524-787-8784,latif,United States of America,ireland,3673128.0,,,,91355,,2.0,1.0,S,566.0,O,6.0
RUD3,1-741-997-1688,RUDDICK,Canada,Misti,2005895.0,,77.0,Air Products & Chemicals,36615,,2.0,1.0,W,,O,3.0
JAY4,1-002-194-1991,JAYAMANNE,Canada,sarena,624736.0,M,21.0,Oshkosh,t6a 1i3,f,0.0,3.0,M,815.0,O,4.0
tod5,1-441-371-7651,todo,United States of America,Paulette,3064615.0,Z,77.0,,A2b 1v3,M,1.0,4.0,M,333.0,R,10.0
Kan6,1-957-940-5980,Kanno,Canada,AMALITA,3489129.0,R,23.0,VeraSun Energy,49513,m,4.0,0.0,,528.0,O,1.0
Din7,1-768-633-4096,Dinkel,United States of America,Ernesto,3430744.0,Z,9.0,IDT,M5d 1v6,,2.0,2.0,M,680.0,U,7.0
Thi8,1-107-689-2155,Thibodeaux,United States of America,Toby,1743614.0,,63.0,Adams Resources & Energy,V6c 1q1,,3.0,,U,761.0,O,10.0
May9,1-173-594-6096,Mayo,United States of America,evangelia,216299.0,,32.0,MGIC Investment,99716,,0.0,2.0,M,416.0,O,
mah10,1-561-520-0611,mahendra,Canada,umakanth,1528641.0,U,96.0,Iasis Healthcare,A2b 1w1,,2.0,2.0,M,493.0,O,9.0
Siz11,1-730-406-9727,Sizto,United States of America,terrie,3752907.0,,46.0,AMR,M5F 1W1,,1.0,0.0,M,564.0,R,0.0
cra12,,crawley,United States of America,Mary-pat,582378.0,,6.0,Embarq,95118,,1.0,4.0,U,817.0,U,0.0
dac13,1-207-867-4589,dacal,United States of America,Catherin,3458824.0,,39.0,Advanced Micro Devices,H2f 1v7,m,3.0,5.0,U,653.0,R,8.0
HIV14,1-478-629-9641,HIVELY,United States of America,annissa,469408.0,W,73.0,Cenveo,19217,,3.0,4.0,M,587.0,O,2.0
Pes15,1-026-208-8595,Peschke,United States of America,Amour,1504480.0,,26.0,Kelly Services,21228,,0.0,2.0,S,472.0,O,6.0
CHI16,1-432-681-4853,CHILDERHOSE,Canada,jenica,2763009.0,,54.0,Viacom,85097,,5.0,4.0,M,817.0,O,4.0
Din17,,Dinnin,United States of America,KATTIE,2787199.0,,87.0,Macy's,V6j 1q8,,5.0,4.0,M,441.0,R,0.0
De 18,1-357-207-6320,De witte,United States of America,Roselle,2789368.0,M,85.0,Gardner Denver,43207,,2.0,3.0,M,848.0,O,6.0
Mck19,1-462-774-1277,Mckeegan,United States of America,arlyne,2784776.0,,86.0,Family Dollar Stores,V6t 1q8,m,3.0,3.0,U,843.0,R,8.0
WIN20,1-702-382-2898,WINTERS,United States of America,Rong-chin,288747.0,P,59.0,,94467,M,2.0,0.0,U,,R,
BIT21,1-909-554-7120,BITTMAN,United States of America,Darlleen,876575.0,,94.0,Sun Microsystems,94321,,5.0,3.0,U,300.0,O,0.0
luz22,1-752-296-7940,luzarraga,United States of America,Radoslav,2041224.0,V,,Costco Wholesale,C2a 4w7,f,1.0,1.0,U,795.0,O,8.0
don23,1-995-554-5056,donovan,United States of America,Aryn,2231509.0,S,5.0,Illinois Tool Works,35808,,4.0,0.0,,367.0,U,5.0
Gia24,1-090-303-3807,Giallo,United States of America,Allisan,3206409.0,T,23.0,Southern Union,M5f 1v6,,1.0,5.0,M,507.0,O,1.0
SPR25,1-492-968-0932,SPRUELL,United States of America,Ammamaria,3850037.0,,61.0,Moog,99539,M,3.0,1.0,M,362.0,O,9.0
SKA26,1-960-227-2020,SKALSKI,United States of America,Mari,528440.0,,,Old Republic International,95055,F,0.0,1.0,D,527.0,O,7.0
Gar27,1-431-122-8597,Gargul,United States of America,Anica,597140.0,,51.0,,93686,m,0.0,,S,354.0,O,0.0
Dor28,1-822-836-7200,Dore,United States of America,Melba,146931.0,,97.0,Great Plains Energy,75218,,1.0,1.0,M,511.0,O,1.0
DIO29,1-530-117-0497,DIOGO,United States of America,Tracee,353495.0,X,52.0,Broadcom,91174,,2.0,2.0,,412.0,,7.0
Mer30,1-051-257-2719,Merrick,Canada,CANADIAN,295647.0,,98.0,Discover Financial Services,49515,m,4.0,0.0,S,583.0,O,1.0
Atc31,1-171-989-1363,Atchison,United States of America,Oue,408941.0,R,47.0,UAL,16506,,5.0,3.0,U,710.0,O,5.0
Pla32,1-042-705-3246,Plamondon,United States of America,wallie,362523.0,X,47.0,Charles Schwab,94383,m,2.0,1.0,M,380.0,O,9.0
SEL33,1-098-328-2026,SELCHOW,United States of America,Andromache,2102359.0,E,9.0,Coach,T6d 1b3,F,0.0,0.0,M,796.0,R,2.0
sha34,1-209-754-5635,shane,United States of America,THOR,3480265.0,Z,85.0,DaVita,25339,f,1.0,3.0,M,818.0,U,2.0
MER35,1-498-781-3456,MERWIN,United States of America,SALAH,3648900.0,,81.0,Marshall & Ilsley Corp.,V6o 1v4,,5.0,3.0,M,766.0,U,3.0
con36,1-615-241-0440,conrad,United States of America,HOR-LAM,1161790.0,,0.0,Cablevision Systems,01852,,2.0,3.0,M,359.0,O,2.0
ons37,1-995-449-5200,onsiteteam,United States of America,Vania,2050587.0,,28.0,Barnes & Noble,78230,M,1.0,5.0,S,401.0,R,2.0
Sum38,1-295-673-4452,Summerlin,Canada,Niel,3579198.0,,65.0,EMC,93770,M,1.0,1.0,U,609.0,O,0.0
gro39,1-914-675-2986,grooms,United States of America,ziad,889494.0,F,20.0,Fluor,m4l 1n4,,3.0,0.0,S,630.0,O,2.0
dil40,,dilkie,United States of America,Claude,2205682.0,I,55.0,Dollar General,22335,,3.0,1.0,M,671.0,O,9.0
DOL41,1-825-739-0336,DOLSON,United States of America,AVTAR,1140117.0,,76.0,Lear,V6C 1T4,,0.0,2.0,U,715.0,O,10.0
Pos42,1-956-713-3802,Posthumus,United States of America,Donny,1421319.0,,1.0,J.P. Morgan Chase & Co.,M6t 1h3,,4.0,1.0,M,707.0,O,9.0
Mac43,1-814-932-1579,Machika,United States of America,Cocos,3525204.0,,3.0,Affinia Group Intermediate,95263,,4.0,2.0,M,329.0,O,0.0
che44,1-135-443-7282,chenoweth,United States of America,ruud,468976.0,,100.0,,v5b 1p5,,0.0,3.0,D,601.0,R,8.0
hol45,1-720-975-0667,holbrooks,United States of America,Belvia,1685443.0,,81.0,Goldman Sachs Group,32318,,5.0,1.0,W,623.0,O,2.0
pfi46,1-871-598-3505,pfieffer,United States of America,ATHAR,337564.0,,76.0,E*Trade Financial,93872,f,4.0,4.0,S,376.0,O,2.0
elk47,1-607-222-4809,elkington,Canada,Cherey,84777.0,Y,51.0,Pfizer,92824,,1.0,3.0,W,560.0,O,0.0
Lab48,1-965-046-0642,Labenek,United States of America,RAZ,3146477.0,,,Safeway,e4a 1r2,F,1.0,5.0,,693.0,O,4.0
laf49,1-155-441-3579,laferriere,United States of America,kishore,495277.0,Y,58.0,Simon Property Group,H7G 1V4,,1.0,2.0,S,346.0,U,0.0
Nor50,,Norment,United States of America,Nelleke,746904.0,I,52.0,Trinity Industries,85039,,0.0,3.0,M,342.0,O,0.0
hag51,1-544-132-7237,hagar,Canada,sibby,1219620.0,,91.0,Solutia,v6m 1q3,,2.0,0.0,M,563.0,R,8.0
Bet52,1-821-089-2089,Betcher,United States of America,ericha,1718910.0,,17.0,,X7j 1r1,m,2.0,3.0,M,391.0,O,4.0
Van53,1-135-391-9787,Van der,United States of America,Janson,,,6.0,A.O. Smith,B8b 1z5,m,4.0,4.0,S,381.0,O,8.0
O'L54,1-776-182-6215,O'LEARY,United States of America,Dorotea,2636424.0,,89.0,AptarGroup,t5d 1v4,F,0.0,3.0,S,539.0,U,9.0
and55,1-079-780-7761,anderson,United States of America,Denice,1326305.0,,99.0,Coca-Cola,V6t 1r2,m,5.0,4.0,M,497.0,O,0.0
