gncd,nmbrchldrn,crdtrtng,wnrrntflg,nmbrcrdtcrds,ddrssln1,pstlcd,ncm,frstnm,mplr,gndr,nmbrcrs,stt,g,mrtlstts,ct,cntr,phn,ntwrth
Iok7501,,580.0,U,,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,Guudshirvcu,94490.0,wbwsqgtaa,FM Global,,3.0,MO,7.0,U,Baltimore,United States of America,1-637-119-9996,321776.0
tia7502,4.0,683.0,R,2.0,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,wyggjewbe,7037.0,QGJWCPAPZMWHYHZTNOYSSOQBI,MGIC Investment,M,4.0,TX,48.0,S,Kitchener,Canada,1-560-405-0048,2292324.0
AOI7503,5.0,411.0,O,2.0,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,YMZRQICUTHT,419269.0,BHGXDDPUMBESLQMNEPREPTZNNKM,Ross Stores,,1.0,CT,14.0,M,Saint John,,1-261-306-5079,969707.0
PJQ7504,5.0,818.0,U,9.0,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,Bcjuycmcen,76681.0,Xgnvppcxgfnmawlupgfa,,m,4.0,UT,29.0,W,Berkeley,United States of America,1-642-299-6655,3899461.0
SDV7505,4.0,370.0,R,7.0,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,Nujxguyehf,209116.0,Tfiozpstcftslqtwkgngiiwo,Alliance One International,,2.0,RI,69.0,U,Missoula,United States of America,,3749223.0
Hga7506,0.0,833.0,O,6.0,Ajpkrmtlcbdzr,Neigswk,212203.0,fbcahlrhhjoslfzqvvwwvhk,Sally Beauty Holdings,F,0.0,DE,47.0,U,Salinas,,1-388-257-4273,3658531.0
Beo7507,5.0,536.0,U,2.0,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,WNCEOQPLW,42018.0,Dcgkohfcwyoaxckalqnkrzwq,Wisconsin Energy,M,5.0,NM,0.0,M,San Jose,Canada,,1738460.0
Qum7508,0.0,775.0,R,0.0,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,Cskdwtkf,90446.0,Vmnmcsinflxxmmifydckncc,Carpenter Technology,,0.0,WV,46.0,S,Cleveland,United States of America,1-632-118-1891,3307296.0
Hud7509,1.0,765.0,R,3.0,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,tcxswloetdt,16274.0,Vrkbkkxkddtximspigmlbwzt,Liberty Mutual Insurance Group,,1.0,NH,6.0,M,Huntington,United States of America,1-853-806-4986,1816419.0
jba7510,2.0,555.0,O,6.0,Ycltsquohmuugxihqyluhkoy,Fkpemasoukih,22215.0,RMWCTFTLSVTMCBI,Black & Decker,m,5.0,WY,22.0,M,Paterson,Canada,1-220-687-2027,2599250.0
dgc7511,1.0,,O,3.0,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,NCEVKLQEEWTA,210038.0,Zaijioc,Interstate Bakeries,m,5.0,Saskatchewan,72.0,M,Greensboro,United States of America,,490443.0
lql7512,5.0,318.0,O,9.0,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,DODDIDDHXS,307402.0,Mdwdjpdfmbqjaygkfqzqx,eBay,,4.0,NE,40.0,M,Concord,Canada,1-268-630-3843,3348923.0
Wsk7513,1.0,613.0,R,4.0,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,Oqnzttrldq,,Ccbccgvldfvoqtzestvkwunn,Boise,m,4.0,AR,8.0,D,Colorado Springs,United States of America,1-915-548-9541,331799.0
Ffs7514,1.0,786.0,R,4.0,,Lwbawk,432425.0,nyakrhdyxravdnhgbtol,MDU Resources Group,,4.0,IL,10.0,U,Mobile,,1-536-880-0961,1167013.0
Kvv7515,3.0,,O,10.0,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,Ppsrzjdtg,122041.0,NDNBTVCLKSC,Freescale Semiconductor,,0.0,VA,24.0,U,Thousand Oaks,United States of America,1-494-335-6022,3960216.0
mpz7516,4.0,623.0,O,5.0,,,302205.0,Zmstbluqkipzaojfsomtbdddguq,Superior Energy Services,f,1.0,ID,18.0,M,Rochester,United States of America,1-814-158-3550,242246.0
Jhc7517,1.0,845.0,O,1.0,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,,367555.0,dpqgvuaoijmkxsesvililpxcrwqe,Monsanto,F,1.0,TX,79.0,S,Garden Grove,United States of America,1-420-580-0795,1217660.0
dbq7518,5.0,645.0,U,7.0,rpikmvtgwsrsoehxgmxwypaueiaheabrf,Rxdsunq,106025.0,IHUGYGSRDWILVOFBAKUR,Newfield Exploration,M,4.0,New Brunswick,36.0,M,Tampa,United States of America,1-924-305-1666,1229655.0
Xch7519,2.0,495.0,O,1.0,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,JXHVEEOU,106690.0,aefotdcronamhkzsfpvifmobgchmsp,Loews,m,2.0,Alberta,21.0,W,Fullerton,Canada,1-450-082-2122,1157831.0
oir7520,2.0,371.0,O,8.0,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,XHJQCDPOO,29373.0,jdeyqkerjerjpht,Apache,m,2.0,PA,4.0,M,Washington,Canada,1-573-009-1404,
Fqb7521,3.0,462.0,R,1.0,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,rapkjpmvp,168189.0,Lwihnxoihqqrvjydsijd,Robert Half International,M,2.0,Nova Scotia,72.0,S,Norfolk,United States of America,1-603-897-9894,
qex7522,,375.0,U,7.0,Dmyivtczopuqajpnjqvvgbhxynvduub,Slskxm,264756.0,nmnervucuk,Viacom,,,RI,1.0,S,Sydney,United States of America,1-947-161-6502,3467922.0
Hpi7523,2.0,516.0,U,10.0,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,FXHXLG,44480.0,hgjkxxbf,Robert Half International,,1.0,OR,98.0,S,Winnipeg,Canada,1-586-826-9847,46859.0
Fjd7524,5.0,703.0,R,,Esuycdxsjfbrqbtluspxsehk,ovlziicdezok,87207.0,Zangtryzlhmxo,CSX,,1.0,CA,35.0,,Wilmington,Canada,1-217-243-2668,2937668.0
Cgt7525,2.0,734.0,O,7.0,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,jsxcpvao,238434.0,FFJGEQD,Country Financial Services,,4.0,MO,99.0,W,El Monte,United States of America,1-857-211-5728,2388613.0
