indirizzo_id,indirizzo,indirizzo2,distretto,città_id,codice_postale,telefono
255,1966 Tonghae Street,,Anhalt Sachsen,198,36481.0,567359279425
179,431 Xi´angtan Avenue,,Kerala,18,4854.0,230250973122
497,1013 Tabuk Boulevard,,West Bengali,261,96203.0,158399646978
491,1789 Saint-Denis Parkway,,Coahuila de Zaragoza,4,8268.0,936806643983
209,1679 Antofagasta Street,,Alto Paran,122,86599.0,905903574913
219,1229 Valencia Parkway,,Haskovo,498,99124.0,352679173732
380,1519 Santiago de los Caballeros Loop,,East Kasai,348,22025.0,409315295763
139,943 Johannesburg Avenue,,Maharashtra,417,5892.0,90921003005
526,617 Klerksdorp Place,,Khanh Hoa,366,94707.0,574973479129
137,261 Saint Louis Way,,Coahuila de Zaragoza,541,83401.0,321944036800
532,1427 Tabuk Place,,Florida,101,31342.0,214756839122
416,1445 Carmen Parkway,,West Java,117,70809.0,598912394463
438,596 Huixquilucan Place,,Nampula,351,65892.0,342709348083
71,1586 Guarujá Place,,Hunan,579,5135.0,947233365992
247,1483 Pathankot Street,,Tucumn,454,37288.0,686015532180
86,927 Bahía Blanca Parkway,,Krim,479,9495.0,821972242086
160,1367 Yantai Manor,,Ondo & Ekiti,381,21294.0,889538496300
391,1793 Meixian Place,,Hmelnytskyi,258,33535.0,619966287415
267,816 Cayenne Parkway,,Manab,414,93629.0,282874611748
582,1568 Celaya Parkway,,Kaohsiung,168,34750.0,278669994384
569,1342 Abha Boulevard,,Bukarest,95,10714.0,997453607116
540,949 Allende Lane,,Uttar Pradesh,24,67521.0,122981120653
434,1404 Taguig Drive,,Okayama,547,87212.0,572068624538
216,660 Jedda Boulevard,,Washington,65,25053.0,168758068397
530,1003 Qinhuangdao Street,,West Java,419,25972.0,35533115997
274,920 Kumbakonam Loop,,California,446,75090.0,685010736240
169,154 Tallahassee Loop,,Xinxiang,199,62250.0,935508855935
605,1325 Fukuyama Street,,Heilongjiang,537,27107.0,288241215394
565,1741 Hoshiarpur Boulevard,,al-Sharqiya,79,22372.0,855066328617
305,41 El Alto Parkway,,Maharashtra,398,56883.0,51917807050
76,89 Allappuzha (Alleppey) Manor,,National Capital Reg,517,75444.0,255800440636
332,663 Bahía Blanca Parkway,,Adana,5,33463.0,834418779292
224,1842 Luziânia Boulevard,,Zanzibar West,593,94420.0,706878974831
250,829 Grand Prairie Way,,Paraná,328,6461.0,741070712873
428,1727 Matamoros Place,,Sawhaj,465,78813.0,129673677866
110,1867 San Juan Bautista Tuxtepec Avenue,,Ivanovo,225,78311.0,547003310357
337,1838 Tabriz Lane,,Dhaka,143,1195.0,38988715447
159,185 Novi Sad Place,,Bern,72,41778.0,904253967161
141,1749 Daxian Place,,Gelderland,29,11044.0,963369996279
206,642 Nador Drive,,Maharashtra,77,3924.0,369050085652
575,1052 Pathankot Avenue,,Sichuan,299,77397.0,128499386727
509,786 Matsue Way,,Illinois,245,37469.0,111177206479
242,1964 Gijón Manor,,Karnataka,473,14408.0,918119601885
102,669 Firozabad Loop,,Abu Dhabi,12,92265.0,412903167998
470,1088 Ibirité Place,,Jalisco,595,88502.0,49084281333
554,947 Tórshavn Place,,Central Luzon,528,841.0,50898428626
37,127 Purnea (Purnia) Manor,,Piemonte,17,79388.0,911872220378
171,1540 Wroclaw Drive,,Maharashtra,107,62686.0,182363341674
535,635 Brest Manor,,Andhra Pradesh,75,40899.0,80593242951
105,733 Mandaluyong Place,,Asir,2,77459.0,196568435814
262,771 Yaoundé Manor,,Sofala,64,86768.0,245477603573
