AgencyID,Age,Country,Phone,NetWorth,MiddleInitial,OwnOrRentFlag,Employer,NumberChildren,NumberCreditCards,City,LastName,FirstName,Gender,AddressLine1,AddressLine2
PEL0,8.0,Unit4dStq5esofAjerica,1 712 522 6088,425708.0,,O,Brimks,2.0,,vairbanks,PELLAND,Netti,f,21847 olympia street,
LED1,4.0,Uni5edShatdsofAmerifa,1 626 426 4298,2279684.0,,U,,2.0,6.0,Qkebec,LEDUC,TRUDY,F,245 congress court,APT. 624
lat2,,UnotwdStat4sofAmfrica,1 524 787 8784,227313.0,,O,,4.0,4.0,Hendfrson,latif,ireland,,6517 frailing west,
RUD3,17.0,Canadz,1 741 997 1688,1791131.0,,O,AirPfoeuctdChemicais,0.0,10.0,Salsm,RUDDICK,Misti,,11449 blalock park,
JAY4,40.0,Canara,1 002 194 1991,1993817.0,M,O,Oshkodh,4.0,8.0,T8ledo,JAYAMANNE,sarena,f,18354 dodd court,Apt. 619
tod5,10.0,UnitedStwyssofAmfrica,1 441 371 7651,1551004.0,Z,R,,2.0,6.0,ClrpusChris6i,todo,Paulette,M,14117 roxboro street,
Kan6,0.0,Cznada,1 957 940 5980,865914.0,R,O,V4raSunEjergy,0.0,12.0,SaitLakeCjty,Kanno,AMALITA,m,24697 FLORENCE WEST,
Din7,16.0,UnkredStatesoeAmerjca,1 768 633 4096,2658779.0,Z,U,IDT,3.0,15.0,Brownxviole,Dinkel,Ernesto,,6488 applewood drive,
Thi8,36.0,Unitedeta4esofAmerisz,1 107 689 2155,1656784.0,,O,AdamsR4sourcesEnwrtt,,5.0,Escondieo,Thibodeaux,Toby,,17404 gale court,
May9,60.0,ynltedStxtesofAmericq,1 173 594 6096,1124080.0,,O,MhIvInvestment,3.0,,posAmgeles,Mayo,evangelia,,15913 alexis street,
mah1o,26.0,Cwnada,1 561 520 0611,731681.0,U,O,kasisHeal6ncare,3.0,16.0,WswtCovina,mahendra,umakanth,,18313 5th lane,
S9z11,61.0,UnitedStxt2sotAmericq,1 730 406 9727,538359.0,,R,AMR,3.0,0.0,SxnBusmaventura,Sizto,terrie,,13653 collier avenue,
fra12,38.0,Unitedqtztesofsmdrica,,1053357.0,,U,Embatq,1.0,4.0,Lexkngton,crawley,Mary-pat,,15306 pike park,
dad13,62.0,UnitrdStatesofqmfrifa,1 207 867 4589,548998.0,,R,AdvwjcedMkcroDedices,1.0,13.0,HayRifer,dacal,Catherin,m,1540 crestmere north,
HIg14,32.0,UnitedS6ateslfAm4tica,1 478 629 9641,481654.0,W,O,xenveo,2.0,4.0,Torojto,HIVELY,annissa,,10790 bonita crescent,
Pes1r,23.0,UgihedSta6esofAmerifa,1 026 208 8595,824240.0,,O,KelpySergices,2.0,9.0,Denv4r,Peschke,Amour,,24679 AIRPORT CRESCENT,Apt. 290
CyI16,27.0,Camada,1 432 681 4853,217411.0,,O,diacom,1.0,10.0,etPaul,CHILDERHOSE,jenica,,7627 douglas road,
Dun17,55.0,UnitedStatssofAkedida,,1219751.0,,R,Macyz,1.0,3.0,Bellevke,Dinnin,KATTIE,,6106 ashland east,
De18,15.0,UmitefStatesofAhericw,1 357 207 6320,1658703.0,M,O,Gardnersenved,1.0,2.0,wetroit,De witte,Roselle,,1111 norden street,
Mck1p,4.0,in9tedStateslfAnerica,1 462 774 1277,1971637.0,,R,eamilyDollaeStorec,2.0,1.0,Omwha,Mckeegan,arlyne,m,2798 1st east,
WIN2o,35.0,UmitecStatecofAmerida,1 702 382 2898,906535.0,P,R,,1.0,,CoataMesa,WINTERS,Rong-chin,M,11358 elle lee street,
BITw1,60.0,UnitedStatesorxmerocz,1 909 554 7120,1121645.0,,O,SunMictoshs4ems,1.0,1.0,Berkeleg,BITTMAN,Darlleen,,21074 MALLORY LOWER,
luz21,,knitedStatfsofAmer9cz,1 752 296 7940,3321391.0,V,O,sos5co2holesale,4.0,2.0,StLo8is,luzarraga,Radoslav,f,16124 weyland park,
