address_id,postal_code,address,district,address2,phone,city_id
3,,23 Workhaven Lane,Alberta,,14033335568,300
4,,1411 Lillydale Drive,QLD,,6172235589,576
5,35200.0,1913 Hanoi Way,Nagasaki,,28303384290,463
6,17886.0,1121 Loja Avenue,California,,838635286649,449
7,83579.0,692 Joliet Street,Attika,,448477190408,38
8,53561.0,1566 Inegöl Manor,Mandalay,,705814003527,349
9,42399.0,53 Idfu Parkway,Nantou,,10655648674,361
10,18743.0,1795 Santiago de Compostela Way,Texas,,860452626434,295
11,93896.0,900 Santiago de Compostela Parkway,Central Serbia,,716571220373,280
12,77948.0,478 Joliet Way,Hamilton,,657282285970,200
13,45844.0,613 Korolev Drive,Masqat,,380657522649,329
14,53628.0,1531 Salé Drive,Esfahan,,648856936185,162
15,1027.0,1542 Tarlac Parkway,Kanagawa,,635297277345,440
16,10672.0,808 Bhopal Manor,Haryana,,465887807014,582
17,29610.0,270 Amroha Parkway,Osmaniye,,695479687538,384
18,16266.0,770 Bydgoszcz Avenue,California,,517338314235,120
19,72878.0,419 Iligan Lane,Madhya Pradesh,,990911107354,76
20,54308.0,360 Toulouse Parkway,England,,949312333307,495
21,81766.0,270 Toulon Boulevard,Kalmykia,,407752414682,156
22,43331.0,320 Brest Avenue,Kaduna,,747791594069,252
23,72192.0,1417 Lancaster Avenue,Northern Cape,,272572357893,267
24,21954.0,1688 Okara Way,Nothwest Border Prov,,144453869132,327
25,34418.0,262 A Coruña (La Coruña) Parkway,Dhaka,,892775750063,525
26,37551.0,28 Charlotte Amalie Street,Rabat-Sal-Zammour-Z,,161968374323,443
27,7716.0,1780 Hino Boulevard,Liepaja,,902731229323,303
28,99865.0,96 Tafuna Way,Córdoba,,934730187245,128
29,99780.0,934 San Felipe de Puerto Plata Street,Sind,,196495945706,472
30,58327.0,18 Duisburg Boulevard,,,998009777982,121
31,49521.0,217 Botshabelo Place,Southern Mindanao,,665356572025,138
32,65599.0,1425 Shikarpur Manor,Bihar,,678220867005,346
33,65750.0,786 Aurora Avenue,Yamaguchi,,18461860151,474
34,50199.0,1668 Anápolis Street,Taipei,,525255540978,316
35,30348.0,33 Gorontalo Way,West Bengali,,745994947458,257
36,65213.0,176 Mandaluyong Place,Uttar Pradesh,,627705991774,239
