prospect_gncd,prospect_mddlntl,prospect_nmbrchldrn,prospect_mrtlstts,prospect_gndr,prospect_frstnm,prospect_ncm,prospect_nmbrcrs,prospect_g,prospect_crdtrtng,prospect_wnrrntflg,prospect_mplr,prospect_nmbrcrdtcrds,prospect_ntwrth
PEL0,,3.0,W,f,Netti,368776.0,,20.0,760.0,O,Brink's,,1058868.0
LED1,,1.0,U,F,TRUDY,177967.0,5.0,3.0,555.0,U,,6.0,1988185.0
lat2,,1.0,S,,ireland,321772.0,2.0,,566.0,O,,6.0,3673128.0
RUD3,,1.0,W,,Misti,25449.0,2.0,77.0,,O,Air Products & Chemicals,3.0,2005895.0
JAY4,M,3.0,M,f,sarena,166567.0,0.0,21.0,815.0,O,Oshkosh,4.0,624736.0
tod5,Z,4.0,M,M,Paulette,43631.0,1.0,77.0,333.0,R,,10.0,3064615.0
Kan6,R,0.0,,m,AMALITA,466230.0,4.0,23.0,528.0,O,VeraSun Energy,1.0,3489129.0
Din7,Z,2.0,M,,Ernesto,420243.0,2.0,9.0,680.0,U,IDT,7.0,3430744.0
Thi8,,,U,,Toby,141862.0,3.0,63.0,761.0,O,Adams Resources & Energy,10.0,1743614.0
May9,,2.0,M,,evangelia,402011.0,0.0,32.0,416.0,O,MGIC Investment,,216299.0
mah10,U,2.0,M,,umakanth,79928.0,2.0,96.0,493.0,O,Iasis Healthcare,9.0,1528641.0
Siz11,,0.0,M,,terrie,109496.0,1.0,46.0,564.0,R,AMR,0.0,3752907.0
cra12,,4.0,U,,Mary-pat,267901.0,1.0,6.0,817.0,U,Embarq,0.0,582378.0
dac13,,5.0,U,m,Catherin,487273.0,3.0,39.0,653.0,R,Advanced Micro Devices,8.0,3458824.0
HIV14,W,4.0,M,,annissa,34013.0,3.0,73.0,587.0,O,Cenveo,2.0,469408.0
Pes15,,2.0,S,,Amour,473462.0,0.0,26.0,472.0,O,Kelly Services,6.0,1504480.0
CHI16,,4.0,M,,jenica,499493.0,5.0,54.0,817.0,O,Viacom,4.0,2763009.0
Din17,,4.0,M,,KATTIE,266928.0,5.0,87.0,441.0,R,Macy's,0.0,2787199.0
De 18,M,3.0,M,,Roselle,72444.0,2.0,85.0,848.0,O,Gardner Denver,6.0,2789368.0
