AgencyID,MaritalStatus,NumberChildren,Phone,State,Income,NetWorth,Gender,FirstName,CreditRating,Employer,City,MiddleInitial,PostalCode,Age,LastName,AddressLine1,AddressLine2
PEL0,W,3.0,1-712-522-6088,MA,368776.0,1058868.0,f,Netti,760.0,Brink's,Fairbanks,,T6b 1i1,20.0,PELLAND,21847 olympia street,
LED1,U,1.0,1-626-426-4298,PA,177967.0,1988185.0,F,TRUDY,555.0,,Quebec,,77281,3.0,LEDUC,245 congress court,APT. 624
lat2,S,1.0,1-524-787-8784,Alberta,321772.0,3673128.0,,ireland,566.0,,Henderson,,91355,,latif,6517 frailing west,
RUD3,W,1.0,1-741-997-1688,AR,25449.0,2005895.0,,Misti,,Air Products & Chemicals,Salem,,36615,77.0,RUDDICK,11449 blalock park,
JAY4,M,3.0,1-002-194-1991,OR,166567.0,624736.0,f,sarena,815.0,Oshkosh,Toledo,M,t6a 1i3,21.0,JAYAMANNE,18354 dodd court,Apt. 619
tod5,M,4.0,1-441-371-7651,VA,43631.0,3064615.0,M,Paulette,333.0,,Corpus Christi,Z,A2b 1v3,77.0,todo,14117 roxboro street,
Kan6,,0.0,1-957-940-5980,OH,466230.0,3489129.0,m,AMALITA,528.0,VeraSun Energy,Salt Lake City,R,49513,23.0,Kanno,24697 FLORENCE WEST,
Din7,M,2.0,1-768-633-4096,Prince Edward Island,420243.0,3430744.0,,Ernesto,680.0,IDT,Brownsville,Z,M5d 1v6,9.0,Dinkel,6488 applewood drive,
Thi8,U,,1-107-689-2155,NV,141862.0,1743614.0,,Toby,761.0,Adams Resources & Energy,Escondido,,V6c 1q1,63.0,Thibodeaux,17404 gale court,
May9,M,2.0,1-173-594-6096,Ontario,402011.0,216299.0,,evangelia,416.0,MGIC Investment,Los Angeles,,99716,32.0,Mayo,15913 alexis street,
mah10,M,2.0,1-561-520-0611,TX,79928.0,1528641.0,,umakanth,493.0,Iasis Healthcare,West Covina,U,A2b 1w1,96.0,mahendra,18313 5th lane,
Siz11,M,0.0,1-730-406-9727,NE,109496.0,3752907.0,,terrie,564.0,AMR,San Buenaventura,,M5F 1W1,46.0,Sizto,13653 collier avenue,
cra12,U,4.0,,AR,267901.0,582378.0,,Mary-pat,817.0,Embarq,Lexington,,95118,6.0,crawley,15306 pike park,
dac13,U,5.0,1-207-867-4589,MI,487273.0,3458824.0,m,Catherin,653.0,Advanced Micro Devices,Hay River,,H2f 1v7,39.0,dacal,1540 crestmere north,
HIV14,M,4.0,1-478-629-9641,MA,34013.0,469408.0,,annissa,587.0,Cenveo,Toronto,W,19217,73.0,HIVELY,10790 bonita crescent,
Pes15,S,2.0,1-026-208-8595,TN,473462.0,1504480.0,,Amour,472.0,Kelly Services,Denver,,21228,26.0,Peschke,24679 AIRPORT CRESCENT,Apt. 290
CHI16,M,4.0,1-432-681-4853,TN,499493.0,2763009.0,,jenica,817.0,Viacom,St. Paul,,85097,54.0,CHILDERHOSE,7627 douglas road,
Din17,M,4.0,,OK,266928.0,2787199.0,,KATTIE,441.0,Macy's,Bellevue,,V6j 1q8,87.0,Dinnin,6106 ashland east,
De 18,M,3.0,1-357-207-6320,Ontario,72444.0,2789368.0,,Roselle,848.0,Gardner Denver,Detroit,M,43207,85.0,De witte,1111 norden street,
Mck19,U,3.0,1-462-774-1277,KY,77290.0,2784776.0,m,arlyne,843.0,Family Dollar Stores,Omaha,,V6t 1q8,86.0,Mckeegan,2798 1st east,
WIN20,U,0.0,1-702-382-2898,PA,395066.0,288747.0,M,Rong-chin,,,Costa Mesa,P,94467,59.0,WINTERS,11358 elle lee street,
BIT21,U,3.0,1-909-554-7120,MD,119283.0,876575.0,,Darlleen,300.0,Sun Microsystems,Berkeley,,94321,94.0,BITTMAN,21074 MALLORY LOWER,
luz22,U,1.0,1-752-296-7940,TX,330991.0,2041224.0,f,Radoslav,795.0,Costco Wholesale,St. Louis,V,C2a 4w7,,luzarraga,16124 weyland park,
don23,,0.0,1-995-554-5056,IN,,2231509.0,,Aryn,367.0,Illinois Tool Works,Colorado Springs,S,35808,5.0,donovan,23822 marvin crescent,
Gia24,M,5.0,1-090-303-3807,MD,252031.0,3206409.0,,Allisan,507.0,Southern Union,Fontana,T,M5f 1v6,23.0,Giallo,2203 valita boulevard,
SPR25,M,1.0,1-492-968-0932,KY,101800.0,3850037.0,M,Ammamaria,362.0,Moog,St. Catharines,,99539,61.0,SPRUELL,11538 COLLINWOOD AVENUE,
SKA26,D,1.0,1-960-227-2020,CA,436977.0,528440.0,F,Mari,527.0,Old Republic International,Hayward,,95055,,SKALSKI,7818 EAST STREET,
Gar27,S,,1-431-122-8597,FL,495334.0,597140.0,m,Anica,354.0,,Palmdale,,93686,51.0,Gargul,10013 shaw road,
Dor28,M,1.0,1-822-836-7200,Newfoundland,274685.0,146931.0,,Melba,511.0,Great Plains Energy,Phoenix,,75218,97.0,Dore,6802 AMES STREET,
DIO29,,2.0,1-530-117-0497,TX,320820.0,353495.0,,Tracee,412.0,Broadcom,Gary,X,91174,52.0,DIOGO,22501 SUMMIT RUE,
Mer30,S,0.0,1-051-257-2719,WA,195835.0,295647.0,m,CANADIAN,583.0,Discover Financial Services,Beaumont,,49515,98.0,Merrick,291 frances rue,
Atc31,U,3.0,1-171-989-1363,MN,108085.0,408941.0,,Oue,710.0,UAL,Nashua,R,16506,47.0,Atchison,16264 sanders east,
Pla32,M,1.0,1-042-705-3246,WY,260185.0,362523.0,m,wallie,380.0,Charles Schwab,San Jose,X,94383,47.0,Plamondon,16068 cantey way,
SEL33,M,0.0,1-098-328-2026,NY,258323.0,2102359.0,F,Andromache,796.0,Coach,Nashua,E,T6d 1b3,9.0,SELCHOW,21170 EDLOE BOULEVARD,
sha34,M,3.0,1-209-754-5635,SC,79476.0,3480265.0,f,THOR,818.0,DaVita,Fort Smith,Z,25339,85.0,shane,885 CROSBY LANE,
MER35,M,3.0,1-498-781-3456,MS,102156.0,3648900.0,,SALAH,766.0,Marshall & Ilsley Corp.,Lancaster,,V6o 1v4,81.0,MERWIN,12235 jay street,
con36,M,3.0,1-615-241-0440,UT,221481.0,1161790.0,,HOR-LAM,359.0,Cablevision Systems,Colorado Springs,,01852,0.0,conrad,20340 LOMBARD CRESCENT,
ons37,S,5.0,1-995-449-5200,PA,41836.0,2050587.0,M,Vania,401.0,Barnes & Noble,Washington,,78230,28.0,onsiteteam,22074 dexter upper,
Sum38,U,1.0,1-295-673-4452,OK,72389.0,3579198.0,M,Niel,609.0,EMC,Lowell,,93770,65.0,Summerlin,1540 MURIE RUE,
gro39,S,0.0,1-914-675-2986,WY,66486.0,889494.0,,ziad,630.0,Fluor,Frederick,F,m4l 1n4,20.0,grooms,7075 glen loch drive,
dil40,M,1.0,,RI,200185.0,2205682.0,,Claude,671.0,Dollar General,Mesa,I,22335,55.0,dilkie,11237 balmoral way,Apt. 382
DOL41,U,2.0,1-825-739-0336,HI,289215.0,1140117.0,,AVTAR,715.0,Lear,Lakewood,,V6C 1T4,76.0,DOLSON,8316 GARDEN BROOK NORTH,
Pos42,M,1.0,1-956-713-3802,VA,322484.0,1421319.0,,Donny,707.0,J.P. Morgan Chase & Co.,Cleveland,,M6t 1h3,1.0,Posthumus,2240 clifton lower,
Mac43,M,2.0,1-814-932-1579,OK,83458.0,3525204.0,,Cocos,329.0,Affinia Group Intermediate,Grand Rapids,,95263,3.0,Machika,20907 NOTINGHAM LOWER,
che44,D,3.0,1-135-443-7282,Prince Edward Island,,468976.0,,ruud,601.0,,Peoria,,v5b 1p5,100.0,chenoweth,601 carroll lower,
hol45,W,1.0,1-720-975-0667,SD,492407.0,1685443.0,,Belvia,623.0,Goldman Sachs Group,Inglewood,,32318,81.0,holbrooks,18267 state drive,
