prospect_nmbrchldrn,prospect_pstlcd,prospect_gncd,prospect_ct,prospect_ncm,prospect_cntr,prospect_nmbrcrdtcrds,prospect_lstnm,prospect_ddrssln1,prospect_crdtrtng,prospect_wnrrntflg,prospect_nmbrcrs,prospect_frstnm,prospect_stt,prospect_mddlntl,prospect_ntwrth,prospect_g,prospect_phn,prospect_gndr,prospect_mrtlstts,prospect_ddrssln2,prospect_mplr
,Guudshirvcu,Iok7501,Baltimore,94490.0,United States of America,,Iokwiqojocjanndatkdzgymym,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,580.0,U,3.0,wbwsqgtaa,MO,n,321776.0,7.0,1-637-119-9996,,U,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,FM Global
4.0,wyggjewbe,tia7502,Kitchener,7037.0,Canada,2.0,tiabxgseasiibxakctfzhfwotp,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,683.0,R,4.0,QGJWCPAPZMWHYHZTNOYSSOQBI,TX,,2292324.0,48.0,1-560-405-0048,M,S,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,MGIC Investment
5.0,YMZRQICUTHT,AOI7503,Saint John,419269.0,,2.0,AOIWIWTIHIXOJ,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,411.0,O,1.0,BHGXDDPUMBESLQMNEPREPTZNNKM,CT,u,969707.0,14.0,1-261-306-5079,,M,Cdrxeolwrrxmwmhgexvcstvzz,Ross Stores
5.0,Bcjuycmcen,PJQ7504,Berkeley,76681.0,United States of America,9.0,PJQSPMBUHYQKBOZ,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,818.0,U,4.0,Xgnvppcxgfnmawlupgfa,UT,,3899461.0,29.0,1-642-299-6655,m,W,WKSBVOFGJHQGAEKUYRZHHPH,
4.0,Nujxguyehf,SDV7505,Missoula,209116.0,United States of America,7.0,SDVLJWXENNGWCQMIW,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,370.0,R,2.0,Tfiozpstcftslqtwkgngiiwo,RI,,3749223.0,69.0,,,U,skxijfqpzshmts,Alliance One International
0.0,Neigswk,Hga7506,Salinas,212203.0,,6.0,Hgakmykzeunwkiaxayulpwyxrcuev,Ajpkrmtlcbdzr,833.0,O,0.0,fbcahlrhhjoslfzqvvwwvhk,DE,F,3658531.0,47.0,1-388-257-4273,F,U,ZETOHHRKIBHCQCKZODIXJJSXCFY,Sally Beauty Holdings
5.0,WNCEOQPLW,Beo7507,San Jose,42018.0,Canada,2.0,Beotomyndkiqryllkvpavllytov,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,536.0,U,5.0,Dcgkohfcwyoaxckalqnkrzwq,NM,D,1738460.0,0.0,,M,M,LJXAXKUJXQBGWBHJJAAM,Wisconsin Energy
0.0,Cskdwtkf,Qum7508,Cleveland,90446.0,United States of America,0.0,Qumxrssnd,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,775.0,R,0.0,Vmnmcsinflxxmmifydckncc,WV,,3307296.0,46.0,1-632-118-1891,,S,Jmlgjkjbqhrudrkqrm,Carpenter Technology
1.0,tcxswloetdt,Hud7509,Huntington,16274.0,United States of America,3.0,Hudlpfwjagzbnznyhamjkhbf,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,765.0,R,1.0,Vrkbkkxkddtximspigmlbwzt,NH,v,1816419.0,6.0,1-853-806-4986,,M,Qqcilgblxyikgr,Liberty Mutual Insurance Group
2.0,Fkpemasoukih,jba7510,Paterson,22215.0,Canada,6.0,jbabemsfwdyeihxq,Ycltsquohmuugxihqyluhkoy,555.0,O,5.0,RMWCTFTLSVTMCBI,WY,,2599250.0,22.0,1-220-687-2027,m,M,Ahtohqjfzfarn,Black & Decker
1.0,NCEVKLQEEWTA,dgc7511,Greensboro,210038.0,United States of America,3.0,dgcnbxfhc,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,,O,5.0,Zaijioc,Saskatchewan,,490443.0,72.0,,m,M,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,Interstate Bakeries
5.0,DODDIDDHXS,lql7512,Concord,307402.0,Canada,9.0,lqlslgqsvyfxqnzuwbfg,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,318.0,O,4.0,Mdwdjpdfmbqjaygkfqzqx,NE,,3348923.0,40.0,1-268-630-3843,,M,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,eBay
1.0,Oqnzttrldq,Wsk7513,Colorado Springs,,United States of America,4.0,Wskjvrujdwku,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,613.0,R,4.0,Ccbccgvldfvoqtzestvkwunn,AR,,331799.0,8.0,1-915-548-9541,m,D,ucxdpiwilpxxhv,Boise
1.0,Lwbawk,Ffs7514,Mobile,432425.0,,4.0,Ffshsiomkzjonhxjhunfsao,,786.0,R,4.0,nyakrhdyxravdnhgbtol,IL,v,1167013.0,10.0,1-536-880-0961,,U,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,MDU Resources Group
3.0,Ppsrzjdtg,Kvv7515,Thousand Oaks,122041.0,United States of America,10.0,Kvvverfkpazpzzkrqniixrhnw,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,,O,0.0,NDNBTVCLKSC,VA,F,3960216.0,24.0,1-494-335-6022,,U,,Freescale Semiconductor
4.0,,mpz7516,Rochester,302205.0,United States of America,5.0,mpzqnwnrmaozfsstcqtrc,,623.0,O,1.0,Zmstbluqkipzaojfsomtbdddguq,ID,G,242246.0,18.0,1-814-158-3550,f,M,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,Superior Energy Services
1.0,,Jhc7517,Garden Grove,367555.0,United States of America,1.0,Jhcbaxyzijphmmvpampdgvgisnab,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,845.0,O,1.0,dpqgvuaoijmkxsesvililpxcrwqe,TX,s,1217660.0,79.0,1-420-580-0795,F,S,Havgczldcpfmwfzj,Monsanto
5.0,Rxdsunq,dbq7518,Tampa,106025.0,United States of America,7.0,dbqcukoddoiwg,rpikmvtgwsrsoehxgmxwypaueiaheabrf,645.0,U,4.0,IHUGYGSRDWILVOFBAKUR,New Brunswick,l,1229655.0,36.0,1-924-305-1666,M,M,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,Newfield Exploration
2.0,JXHVEEOU,Xch7519,Fullerton,106690.0,Canada,1.0,Xchoxlbkffuvox,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,495.0,O,2.0,aefotdcronamhkzsfpvifmobgchmsp,Alberta,,1157831.0,21.0,1-450-082-2122,m,W,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,Loews
2.0,XHJQCDPOO,oir7520,Washington,29373.0,Canada,8.0,oirfujtvl,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,371.0,O,2.0,jdeyqkerjerjpht,PA,Z,,4.0,1-573-009-1404,m,M,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,Apache
3.0,rapkjpmvp,Fqb7521,Norfolk,168189.0,United States of America,1.0,Fqbovz,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,462.0,R,2.0,Lwihnxoihqqrvjydsijd,Nova Scotia,O,,72.0,1-603-897-9894,M,S,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,Robert Half International
,Slskxm,qex7522,Sydney,264756.0,United States of America,7.0,qextfjyytqwbmdrlykbfnhvqrmota,Dmyivtczopuqajpnjqvvgbhxynvduub,375.0,U,,nmnervucuk,RI,,3467922.0,1.0,1-947-161-6502,,S,Rirmrpvlknyho,Viacom
2.0,FXHXLG,Hpi7523,Winnipeg,44480.0,Canada,10.0,Hpiedhvkedqqdxsoedt,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,516.0,U,1.0,hgjkxxbf,OR,,46859.0,98.0,1-586-826-9847,,S,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,Robert Half International
5.0,ovlziicdezok,Fjd7524,Wilmington,87207.0,Canada,,Fjdafgbcrml,Esuycdxsjfbrqbtluspxsehk,703.0,R,1.0,Zangtryzlhmxo,CA,,2937668.0,35.0,1-217-243-2668,,,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,CSX
2.0,jsxcpvao,Cgt7525,El Monte,238434.0,United States of America,7.0,Cgtcmbl,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,734.0,O,4.0,FFJGEQD,MO,,2388613.0,99.0,1-857-211-5728,,W,Rpzwirgfyiw,Country Financial Services
2.0,Ykerbceq,Lwx7526,Sterling Heights,,United States of America,4.0,Lwxudfgcqawccntqaucdaeym,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,469.0,U,0.0,Pdcxrihnl,Prince Edward Island,,3116283.0,49.0,1-089-966-6281,M,M,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,Procter & Gamble
