gncd,ddrssln1,stt,mddlntl,ntwrth,mrtlstts,ncm,frstnm,nmbrchldrn,mplr,nmbrcrs,cntr,phn,g,crdtrtng,wnrrntflg,nmbrcrdtcrds
Iok7501,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,MO,n,321776.0,U,94490.0,wbwsqgtaa,,FM Global,3.0,United States of America,1-637-119-9996,7.0,580.0,U,
tia7502,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,TX,,2292324.0,S,7037.0,QGJWCPAPZMWHYHZTNOYSSOQBI,4.0,MGIC Investment,4.0,Canada,1-560-405-0048,48.0,683.0,R,2.0
AOI7503,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,CT,u,969707.0,M,419269.0,BHGXDDPUMBESLQMNEPREPTZNNKM,5.0,Ross Stores,1.0,,1-261-306-5079,14.0,411.0,O,2.0
PJQ7504,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,UT,,3899461.0,W,76681.0,Xgnvppcxgfnmawlupgfa,5.0,,4.0,United States of America,1-642-299-6655,29.0,818.0,U,9.0
SDV7505,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,RI,,3749223.0,U,209116.0,Tfiozpstcftslqtwkgngiiwo,4.0,Alliance One International,2.0,United States of America,,69.0,370.0,R,7.0
Hga7506,Ajpkrmtlcbdzr,DE,F,3658531.0,U,212203.0,fbcahlrhhjoslfzqvvwwvhk,0.0,Sally Beauty Holdings,0.0,,1-388-257-4273,47.0,833.0,O,6.0
Beo7507,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,NM,D,1738460.0,M,42018.0,Dcgkohfcwyoaxckalqnkrzwq,5.0,Wisconsin Energy,5.0,Canada,,0.0,536.0,U,2.0
Qum7508,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,WV,,3307296.0,S,90446.0,Vmnmcsinflxxmmifydckncc,0.0,Carpenter Technology,0.0,United States of America,1-632-118-1891,46.0,775.0,R,0.0
Hud7509,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,NH,v,1816419.0,M,16274.0,Vrkbkkxkddtximspigmlbwzt,1.0,Liberty Mutual Insurance Group,1.0,United States of America,1-853-806-4986,6.0,765.0,R,3.0
jba7510,Ycltsquohmuugxihqyluhkoy,WY,,2599250.0,M,22215.0,RMWCTFTLSVTMCBI,2.0,Black & Decker,5.0,Canada,1-220-687-2027,22.0,555.0,O,6.0
dgc7511,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,Saskatchewan,,490443.0,M,210038.0,Zaijioc,1.0,Interstate Bakeries,5.0,United States of America,,72.0,,O,3.0
lql7512,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,NE,,3348923.0,M,307402.0,Mdwdjpdfmbqjaygkfqzqx,5.0,eBay,4.0,Canada,1-268-630-3843,40.0,318.0,O,9.0
Wsk7513,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,AR,,331799.0,D,,Ccbccgvldfvoqtzestvkwunn,1.0,Boise,4.0,United States of America,1-915-548-9541,8.0,613.0,R,4.0
Ffs7514,,IL,v,1167013.0,U,432425.0,nyakrhdyxravdnhgbtol,1.0,MDU Resources Group,4.0,,1-536-880-0961,10.0,786.0,R,4.0
Kvv7515,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,VA,F,3960216.0,U,122041.0,NDNBTVCLKSC,3.0,Freescale Semiconductor,0.0,United States of America,1-494-335-6022,24.0,,O,10.0
mpz7516,,ID,G,242246.0,M,302205.0,Zmstbluqkipzaojfsomtbdddguq,4.0,Superior Energy Services,1.0,United States of America,1-814-158-3550,18.0,623.0,O,5.0
Jhc7517,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,TX,s,1217660.0,S,367555.0,dpqgvuaoijmkxsesvililpxcrwqe,1.0,Monsanto,1.0,United States of America,1-420-580-0795,79.0,845.0,O,1.0
