AgencyID,NetWorth,FirstName,MiddleInitial,CreditRating,LastName,NumberCars,Employer,Phone,City,AddressLine1,AddressLine2,Country,Age,MaritalStatus,Gender,PostalCode,State
PEL0,1058868.0,Netti,,760.0,PELLAND,,Brink's,1-712-522-6088,Fairbanks,21847 olympia street,,United States of America,20.0,W,f,T6b 1i1,MA
LED1,1988185.0,TRUDY,,555.0,LEDUC,5.0,,1-626-426-4298,Quebec,245 congress court,APT. 624,United States of America,3.0,U,F,77281,PA
lat2,3673128.0,ireland,,566.0,latif,2.0,,1-524-787-8784,Henderson,6517 frailing west,,United States of America,,S,,91355,Alberta
RUD3,2005895.0,Misti,,,RUDDICK,2.0,Air Products & Chemicals,1-741-997-1688,Salem,11449 blalock park,,Canada,77.0,W,,36615,AR
JAY4,624736.0,sarena,M,815.0,JAYAMANNE,0.0,Oshkosh,1-002-194-1991,Toledo,18354 dodd court,Apt. 619,Canada,21.0,M,f,t6a 1i3,OR
tod5,3064615.0,Paulette,Z,333.0,todo,1.0,,1-441-371-7651,Corpus Christi,14117 roxboro street,,United States of America,77.0,M,M,A2b 1v3,VA
Kan6,3489129.0,AMALITA,R,528.0,Kanno,4.0,VeraSun Energy,1-957-940-5980,Salt Lake City,24697 FLORENCE WEST,,Canada,23.0,,m,49513,OH
Din7,3430744.0,Ernesto,Z,680.0,Dinkel,2.0,IDT,1-768-633-4096,Brownsville,6488 applewood drive,,United States of America,9.0,M,,M5d 1v6,Prince Edward Island
Thi8,1743614.0,Toby,,761.0,Thibodeaux,3.0,Adams Resources & Energy,1-107-689-2155,Escondido,17404 gale court,,United States of America,63.0,U,,V6c 1q1,NV
May9,216299.0,evangelia,,416.0,Mayo,0.0,MGIC Investment,1-173-594-6096,Los Angeles,15913 alexis street,,United States of America,32.0,M,,99716,Ontario
mah10,1528641.0,umakanth,U,493.0,mahendra,2.0,Iasis Healthcare,1-561-520-0611,West Covina,18313 5th lane,,Canada,96.0,M,,A2b 1w1,TX
Siz11,3752907.0,terrie,,564.0,Sizto,1.0,AMR,1-730-406-9727,San Buenaventura,13653 collier avenue,,United States of America,46.0,M,,M5F 1W1,NE
