prospect_gncd,prospect_ct,prospect_ddrssln2,prospect_crdtrtng,prospect_wnrrntflg,prospect_ncm,prospect_frstnm,prospect_nmbrchldrn,prospect_ntwrth,prospect_mddlntl,prospect_mplr,prospect_cntr,prospect_phn,prospect_nmbrcrs,prospect_mrtlstts,prospect_g,prospect_nmbrcrdtcrds
Iok7501,Baltimore,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,580.0,U,94490.0,wbwsqgtaa,,321776.0,n,FM Global,United States of America,1-637-119-9996,3.0,U,7.0,
tia7502,Kitchener,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,683.0,R,7037.0,QGJWCPAPZMWHYHZTNOYSSOQBI,4.0,2292324.0,,MGIC Investment,Canada,1-560-405-0048,4.0,S,48.0,2.0
AOI7503,Saint John,Cdrxeolwrrxmwmhgexvcstvzz,411.0,O,419269.0,BHGXDDPUMBESLQMNEPREPTZNNKM,5.0,969707.0,u,Ross Stores,,1-261-306-5079,1.0,M,14.0,2.0
PJQ7504,Berkeley,WKSBVOFGJHQGAEKUYRZHHPH,818.0,U,76681.0,Xgnvppcxgfnmawlupgfa,5.0,3899461.0,,,United States of America,1-642-299-6655,4.0,W,29.0,9.0
SDV7505,Missoula,skxijfqpzshmts,370.0,R,209116.0,Tfiozpstcftslqtwkgngiiwo,4.0,3749223.0,,Alliance One International,United States of America,,2.0,U,69.0,7.0
Hga7506,Salinas,ZETOHHRKIBHCQCKZODIXJJSXCFY,833.0,O,212203.0,fbcahlrhhjoslfzqvvwwvhk,0.0,3658531.0,F,Sally Beauty Holdings,,1-388-257-4273,0.0,U,47.0,6.0
Beo7507,San Jose,LJXAXKUJXQBGWBHJJAAM,536.0,U,42018.0,Dcgkohfcwyoaxckalqnkrzwq,5.0,1738460.0,D,Wisconsin Energy,Canada,,5.0,M,0.0,2.0
Qum7508,Cleveland,Jmlgjkjbqhrudrkqrm,775.0,R,90446.0,Vmnmcsinflxxmmifydckncc,0.0,3307296.0,,Carpenter Technology,United States of America,1-632-118-1891,0.0,S,46.0,0.0
Hud7509,Huntington,Qqcilgblxyikgr,765.0,R,16274.0,Vrkbkkxkddtximspigmlbwzt,1.0,1816419.0,v,Liberty Mutual Insurance Group,United States of America,1-853-806-4986,1.0,M,6.0,3.0
jba7510,Paterson,Ahtohqjfzfarn,555.0,O,22215.0,RMWCTFTLSVTMCBI,2.0,2599250.0,,Black & Decker,Canada,1-220-687-2027,5.0,M,22.0,6.0
dgc7511,Greensboro,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,,O,210038.0,Zaijioc,1.0,490443.0,,Interstate Bakeries,United States of America,,5.0,M,72.0,3.0
