AgencyID,LastName,State,Phone,Country,OwnOrRentFlag,FirstName,PostalCode,AddressLine1,NumberChildren,AddressLine2,MiddleInitial,Gender,City,Income,NumberCars
PEL0,lELLAND,MA,1 712 522 6088,knotedStatesobAmericq,O,Nettk,66b1i1,21847opymplasteeet,2.0,,,f,Fairbanks,368776.0,
LED1,LEDUs,PA,1 626 426 4298,Uniredqtatesoexmerica,U,6RUDY,77281,245comvr2sscourt,3.0,sPT624,,F,Quebec,177967.0,5.0
lat2,patif,Apberta,1 524 787 8784,Ugitedatz4esofAmerica,O,iteland,91355,6527fra7linrwest,1.0,,,,Henderson,321772.0,2.0
RUD3,RUDeICK,AR,1 741 997 1688,Canafa,O,Mksti,36615,1q449blaloskpzrk,2.0,,,,Salem,25449.0,2.0
JAY4,yAYAMANNE,OR,1 002 194 1991,Cansda,O,sxrena,tua1i3,w8354d8ddcourt,3.0,Apt61i,M,f,Toledo,166567.0,0.0
tod5,todo,VA,1 441 371 7651,UjitedStatewofzmerisa,R,Paulet6e,A2b1v4,q41q7roxbofostreet,1.0,,Z,M,Corpus Christi,43631.0,1.0
Kan6,Kango,OH,1 957 940 5980,Canaea,O,AMApITA,49513,2t697FLORdNCEqEST,5.0,,R,m,Salt Lake City,466230.0,4.0
Din7,Dinkwl,Pr9nseEdaardIsland,1 768 633 4096,Unit4dStatezocsmerica,U,Ernezto,M5dwv6,648oappi3wooddrive,4.0,,Z,,Brownsville,420243.0,2.0
Thi8,Thigoseaux,NV,1 107 689 2155,Uni6ewS4atesofAnerica,O,Toby,V6s1q1,17404halfcourt,,,,,Escondido,141862.0,3.0
May9,Mayo,Obtario,1 173 594 6096,UnitedStwtesofAjer8va,O,evaggelia,99716,158wealexisstreet,1.0,,,,Los Angeles,402011.0,0.0
mab10,mxhendra,TX,1 561 520 0611,Canasa,O,umakantb,A2b1d1,1832e5thlane,0.0,,U,,West Covina,79928.0,2.0
Sis11,Sizfo,NE,1 730 406 9727,Uniy2dStztesofAmer8ca,R,ter3ie,M5F1a1,13t5ecollieravenke,0.0,,,,San Buenaventura,109496.0,1.0
craq2,crawiey,AR,,UhigesStatesofAmerifa,U,Marjpat,95118,153o6pikepwrk,3.0,,,,Lexington,267901.0,1.0
das13,dxcal,MI,1 207 867 4589,UhitedSfat4sofAm2rica,R,Catherun,H2v1v7,1540cresymersmorth,2.0,,,m,Hay River,487273.0,3.0
HjV14,HuVELY,MA,1 478 629 9641,UnitexS4qtewofAmerica,O,annissx,19217,10800bon9tacrescent,0.0,,W,,Toronto,34013.0,3.0
