Employer,MaritalStatus,Income,LastName,Country,Gender,NetWorth,PostalCode,NumberCreditCards,NumberChildren,Age,AddressLine2,NumberCars,AddressLine1,Phone,CreditRating,City,FirstName,State,MiddleInitial,AgencyID,OwnOrRentFlag
Brink's,W,368776.0,PELLAND,United States of America,f,1058868.0,T6b 1i1,,3.0,20.0,,,21847 olympia street,1-712-522-6088,760.0,Fairbanks,Netti,MA,,PEL0,O
,U,177967.0,LEDUC,United States of America,F,1988185.0,77281,6.0,1.0,3.0,APT. 624,5.0,245 congress court,1-626-426-4298,555.0,Quebec,TRUDY,PA,,LED1,U
,S,321772.0,latif,United States of America,,3673128.0,91355,6.0,1.0,,,2.0,6517 frailing west,1-524-787-8784,566.0,Henderson,ireland,Alberta,,lat2,O
Air Products & Chemicals,W,25449.0,RUDDICK,Canada,,2005895.0,36615,3.0,1.0,77.0,,2.0,11449 blalock park,1-741-997-1688,,Salem,Misti,AR,,RUD3,O
Oshkosh,M,166567.0,JAYAMANNE,Canada,f,624736.0,t6a 1i3,4.0,3.0,21.0,Apt. 619,0.0,18354 dodd court,1-002-194-1991,815.0,Toledo,sarena,OR,M,JAY4,O
,M,43631.0,todo,United States of America,M,3064615.0,A2b 1v3,10.0,4.0,77.0,,1.0,14117 roxboro street,1-441-371-7651,333.0,Corpus Christi,Paulette,VA,Z,tod5,R
VeraSun Energy,,466230.0,Kanno,Canada,m,3489129.0,49513,1.0,0.0,23.0,,4.0,24697 FLORENCE WEST,1-957-940-5980,528.0,Salt Lake City,AMALITA,OH,R,Kan6,O
IDT,M,420243.0,Dinkel,United States of America,,3430744.0,M5d 1v6,7.0,2.0,9.0,,2.0,6488 applewood drive,1-768-633-4096,680.0,Brownsville,Ernesto,Prince Edward Island,Z,Din7,U
Adams Resources & Energy,U,141862.0,Thibodeaux,United States of America,,1743614.0,V6c 1q1,10.0,,63.0,,3.0,17404 gale court,1-107-689-2155,761.0,Escondido,Toby,NV,,Thi8,O
MGIC Investment,M,402011.0,Mayo,United States of America,,216299.0,99716,,2.0,32.0,,0.0,15913 alexis street,1-173-594-6096,416.0,Los Angeles,evangelia,Ontario,,May9,O
Iasis Healthcare,M,79928.0,mahendra,Canada,,1528641.0,A2b 1w1,9.0,2.0,96.0,,2.0,18313 5th lane,1-561-520-0611,493.0,West Covina,umakanth,TX,U,mah10,O
AMR,M,109496.0,Sizto,United States of America,,3752907.0,M5F 1W1,0.0,0.0,46.0,,1.0,13653 collier avenue,1-730-406-9727,564.0,San Buenaventura,terrie,NE,,Siz11,R
Embarq,U,267901.0,crawley,United States of America,,582378.0,95118,0.0,4.0,6.0,,1.0,15306 pike park,,817.0,Lexington,Mary-pat,AR,,cra12,U
Advanced Micro Devices,U,487273.0,dacal,United States of America,m,3458824.0,H2f 1v7,8.0,5.0,39.0,,3.0,1540 crestmere north,1-207-867-4589,653.0,Hay River,Catherin,MI,,dac13,R
Cenveo,M,34013.0,HIVELY,United States of America,,469408.0,19217,2.0,4.0,73.0,,3.0,10790 bonita crescent,1-478-629-9641,587.0,Toronto,annissa,MA,W,HIV14,O
Kelly Services,S,473462.0,Peschke,United States of America,,1504480.0,21228,6.0,2.0,26.0,Apt. 290,0.0,24679 AIRPORT CRESCENT,1-026-208-8595,472.0,Denver,Amour,TN,,Pes15,O
Viacom,M,499493.0,CHILDERHOSE,Canada,,2763009.0,85097,4.0,4.0,54.0,,5.0,7627 douglas road,1-432-681-4853,817.0,St. Paul,jenica,TN,,CHI16,O
Macy's,M,266928.0,Dinnin,United States of America,,2787199.0,V6j 1q8,0.0,4.0,87.0,,5.0,6106 ashland east,,441.0,Bellevue,KATTIE,OK,,Din17,R
Gardner Denver,M,72444.0,De witte,United States of America,,2789368.0,43207,6.0,3.0,85.0,,2.0,1111 norden street,1-357-207-6320,848.0,Detroit,Roselle,Ontario,M,De 18,O
Family Dollar Stores,U,77290.0,Mckeegan,United States of America,m,2784776.0,V6t 1q8,8.0,3.0,86.0,,3.0,2798 1st east,1-462-774-1277,843.0,Omaha,arlyne,KY,,Mck19,R
,U,395066.0,WINTERS,United States of America,M,288747.0,94467,,0.0,59.0,,2.0,11358 elle lee street,1-702-382-2898,,Costa Mesa,Rong-chin,PA,P,WIN20,R
Sun Microsystems,U,119283.0,BITTMAN,United States of America,,876575.0,94321,0.0,3.0,94.0,,5.0,21074 MALLORY LOWER,1-909-554-7120,300.0,Berkeley,Darlleen,MD,,BIT21,O
Costco Wholesale,U,330991.0,luzarraga,United States of America,f,2041224.0,C2a 4w7,8.0,1.0,,,1.0,16124 weyland park,1-752-296-7940,795.0,St. Louis,Radoslav,TX,V,luz22,O
Illinois Tool Works,,,donovan,United States of America,,2231509.0,35808,5.0,0.0,5.0,,4.0,23822 marvin crescent,1-995-554-5056,367.0,Colorado Springs,Aryn,IN,S,don23,U
Southern Union,M,252031.0,Giallo,United States of America,,3206409.0,M5f 1v6,1.0,5.0,23.0,,1.0,2203 valita boulevard,1-090-303-3807,507.0,Fontana,Allisan,MD,T,Gia24,O
Moog,M,101800.0,SPRUELL,United States of America,M,3850037.0,99539,9.0,1.0,61.0,,3.0,11538 COLLINWOOD AVENUE,1-492-968-0932,362.0,St. Catharines,Ammamaria,KY,,SPR25,O
Old Republic International,D,436977.0,SKALSKI,United States of America,F,528440.0,95055,7.0,1.0,,,0.0,7818 EAST STREET,1-960-227-2020,527.0,Hayward,Mari,CA,,SKA26,O
,S,495334.0,Gargul,United States of America,m,597140.0,93686,0.0,,51.0,,0.0,10013 shaw road,1-431-122-8597,354.0,Palmdale,Anica,FL,,Gar27,O
Great Plains Energy,M,274685.0,Dore,United States of America,,146931.0,75218,1.0,1.0,97.0,,1.0,6802 AMES STREET,1-822-836-7200,511.0,Phoenix,Melba,Newfoundland,,Dor28,O
