AgencyID,MaritalStatus,OwnOrRentFlag,NetWorth,NumberChildren,City,MiddleInitial,Phone,Gender,CreditRating,NumberCars,NumberCreditCards,Age,Country,PostalCode,LastName,FirstName,AddressLine1
PEL0,W,O,2386096.0,3.0,Fwirbanks,,1 712 522 6088,f,668.0,,,31.0,UbutedStatesofAm2fica,T6n1i1,PELLAND,Netti,21847 olympia street
LED1,U,U,3869279.0,0.0,Quebes,,1 626 426 4298,F,607.0,1.0,5.0,53.0,UgitedStatesobxmetica,77281,LEDUC,TRUDY,245 congress court
lat2,S,O,2270215.0,4.0,Hehderson,,1 524 787 8784,,410.0,5.0,7.0,,UnitesStatesogxmetica,91355,latif,ireland,6517 frailing west
RUD3,W,O,3471769.0,1.0,Sapem,,1 741 997 1688,,,1.0,5.0,51.0,Cxnada,36615,RUDDICK,Misti,11449 blalock park
JAY4,M,O,3398900.0,1.0,Toledk,M,1 002 194 1991,f,681.0,6.0,3.0,52.0,Cabada,t6awi3,JAYAMANNE,sarena,18354 dodd court
tod5,M,R,6594760.0,1.0,CoepuaChristi,Z,1 441 371 7651,M,452.0,2.0,5.0,34.0,UhitesSta4esofAnerica,A2bqv3,todo,Paulette,14117 roxboro street
Kan6,,O,4660604.0,1.0,SaltLakesi6y,R,1 957 940 5980,m,430.0,6.0,4.0,8.0,Cqnada,49513,Kanno,AMALITA,24697 FLORENCE WEST
Din7,M,U,4746638.0,3.0,nrownsviole,Z,1 768 633 4096,,408.0,5.0,6.0,32.0,Uni6efwta5esofAmerica,M5d1b6,Dinkel,Ernesto,6488 applewood drive
Thi8,U,O,4099007.0,,Escondidl,,1 107 689 2155,,438.0,6.0,2.0,53.0,6nitedqtatesifAmerjca,V7c1q1,Thibodeaux,Toby,17404 gale court
May9,M,O,1138358.0,1.0,LosAngepws,,1 173 594 6096,,723.0,5.0,,128.0,UnitecdtxtesofAmetica,99716,Mayo,evangelia,15913 alexis street
mah19,M,O,3818482.0,1.0,WeztCodina,U,1 561 520 0611,,814.0,3.0,6.0,2.0,Cansda,A2bqw1,mahendra,umakanth,18313 5th lane
