AgencyID,FirstName,NetWorth,Employer,NumberCreditCards,LastName,AddressLine2,MaritalStatus,Gender,Phone,NumberChildren,Age,City,Country,NumberCars,MiddleInitial,AddressLine1,PostalCode
PEL0,Netti,1058868.0,Brink's,,PELLAND,,W,f,1-712-522-6088,3.0,20.0,Fairbanks,United States of America,,,21847 olympia street,T6b 1i1
LED1,TRUDY,1988185.0,,6.0,LEDUC,APT. 624,U,F,1-626-426-4298,1.0,3.0,Quebec,United States of America,5.0,,245 congress court,77281
lat2,ireland,3673128.0,,6.0,latif,,S,,1-524-787-8784,1.0,,Henderson,United States of America,2.0,,6517 frailing west,91355
RUD3,Misti,2005895.0,Air Products & Chemicals,3.0,RUDDICK,,W,,1-741-997-1688,1.0,77.0,Salem,Canada,2.0,,11449 blalock park,36615
JAY4,sarena,624736.0,Oshkosh,4.0,JAYAMANNE,Apt. 619,M,f,1-002-194-1991,3.0,21.0,Toledo,Canada,0.0,M,18354 dodd court,t6a 1i3
tod5,Paulette,3064615.0,,10.0,todo,,M,M,1-441-371-7651,4.0,77.0,Corpus Christi,United States of America,1.0,Z,14117 roxboro street,A2b 1v3
Kan6,AMALITA,3489129.0,VeraSun Energy,1.0,Kanno,,,m,1-957-940-5980,0.0,23.0,Salt Lake City,Canada,4.0,R,24697 FLORENCE WEST,49513
Din7,Ernesto,3430744.0,IDT,7.0,Dinkel,,M,,1-768-633-4096,2.0,9.0,Brownsville,United States of America,2.0,Z,6488 applewood drive,M5d 1v6
Thi8,Toby,1743614.0,Adams Resources & Energy,10.0,Thibodeaux,,U,,1-107-689-2155,,63.0,Escondido,United States of America,3.0,,17404 gale court,V6c 1q1
May9,evangelia,216299.0,MGIC Investment,,Mayo,,M,,1-173-594-6096,2.0,32.0,Los Angeles,United States of America,0.0,,15913 alexis street,99716
mah10,umakanth,1528641.0,Iasis Healthcare,9.0,mahendra,,M,,1-561-520-0611,2.0,96.0,West Covina,Canada,2.0,U,18313 5th lane,A2b 1w1
Siz11,terrie,3752907.0,AMR,0.0,Sizto,,M,,1-730-406-9727,0.0,46.0,San Buenaventura,United States of America,1.0,,13653 collier avenue,M5F 1W1
cra12,Mary-pat,582378.0,Embarq,0.0,crawley,,U,,,4.0,6.0,Lexington,United States of America,1.0,,15306 pike park,95118
dac13,Catherin,3458824.0,Advanced Micro Devices,8.0,dacal,,U,m,1-207-867-4589,5.0,39.0,Hay River,United States of America,3.0,,1540 crestmere north,H2f 1v7
HIV14,annissa,469408.0,Cenveo,2.0,HIVELY,,M,,1-478-629-9641,4.0,73.0,Toronto,United States of America,3.0,W,10790 bonita crescent,19217
Pes15,Amour,1504480.0,Kelly Services,6.0,Peschke,Apt. 290,S,,1-026-208-8595,2.0,26.0,Denver,United States of America,0.0,,24679 AIRPORT CRESCENT,21228
CHI16,jenica,2763009.0,Viacom,4.0,CHILDERHOSE,,M,,1-432-681-4853,4.0,54.0,St. Paul,Canada,5.0,,7627 douglas road,85097
Din17,KATTIE,2787199.0,Macy's,0.0,Dinnin,,M,,,4.0,87.0,Bellevue,United States of America,5.0,,6106 ashland east,V6j 1q8
De 18,Roselle,2789368.0,Gardner Denver,6.0,De witte,,M,,1-357-207-6320,3.0,85.0,Detroit,United States of America,2.0,M,1111 norden street,43207
Mck19,arlyne,2784776.0,Family Dollar Stores,8.0,Mckeegan,,U,m,1-462-774-1277,3.0,86.0,Omaha,United States of America,3.0,,2798 1st east,V6t 1q8
WIN20,Rong-chin,288747.0,,,WINTERS,,U,M,1-702-382-2898,0.0,59.0,Costa Mesa,United States of America,2.0,P,11358 elle lee street,94467
BIT21,Darlleen,876575.0,Sun Microsystems,0.0,BITTMAN,,U,,1-909-554-7120,3.0,94.0,Berkeley,United States of America,5.0,,21074 MALLORY LOWER,94321
luz22,Radoslav,2041224.0,Costco Wholesale,8.0,luzarraga,,U,f,1-752-296-7940,1.0,,St. Louis,United States of America,1.0,V,16124 weyland park,C2a 4w7
don23,Aryn,2231509.0,Illinois Tool Works,5.0,donovan,,,,1-995-554-5056,0.0,5.0,Colorado Springs,United States of America,4.0,S,23822 marvin crescent,35808
Gia24,Allisan,3206409.0,Southern Union,1.0,Giallo,,M,,1-090-303-3807,5.0,23.0,Fontana,United States of America,1.0,T,2203 valita boulevard,M5f 1v6
SPR25,Ammamaria,3850037.0,Moog,9.0,SPRUELL,,M,M,1-492-968-0932,1.0,61.0,St. Catharines,United States of America,3.0,,11538 COLLINWOOD AVENUE,99539
SKA26,Mari,528440.0,Old Republic International,7.0,SKALSKI,,D,F,1-960-227-2020,1.0,,Hayward,United States of America,0.0,,7818 EAST STREET,95055
Gar27,Anica,597140.0,,0.0,Gargul,,S,m,1-431-122-8597,,51.0,Palmdale,United States of America,0.0,,10013 shaw road,93686
Dor28,Melba,146931.0,Great Plains Energy,1.0,Dore,,M,,1-822-836-7200,1.0,97.0,Phoenix,United States of America,1.0,,6802 AMES STREET,75218
DIO29,Tracee,353495.0,Broadcom,7.0,DIOGO,,,,1-530-117-0497,2.0,52.0,Gary,United States of America,2.0,X,22501 SUMMIT RUE,91174
Mer30,CANADIAN,295647.0,Discover Financial Services,1.0,Merrick,,S,m,1-051-257-2719,0.0,98.0,Beaumont,Canada,4.0,,291 frances rue,49515
Atc31,Oue,408941.0,UAL,5.0,Atchison,,U,,1-171-989-1363,3.0,47.0,Nashua,United States of America,5.0,R,16264 sanders east,16506
Pla32,wallie,362523.0,Charles Schwab,9.0,Plamondon,,M,m,1-042-705-3246,1.0,47.0,San Jose,United States of America,2.0,X,16068 cantey way,94383
SEL33,Andromache,2102359.0,Coach,2.0,SELCHOW,,M,F,1-098-328-2026,0.0,9.0,Nashua,United States of America,0.0,E,21170 EDLOE BOULEVARD,T6d 1b3
sha34,THOR,3480265.0,DaVita,2.0,shane,,M,f,1-209-754-5635,3.0,85.0,Fort Smith,United States of America,1.0,Z,885 CROSBY LANE,25339
MER35,SALAH,3648900.0,Marshall & Ilsley Corp.,3.0,MERWIN,,M,,1-498-781-3456,3.0,81.0,Lancaster,United States of America,5.0,,12235 jay street,V6o 1v4
con36,HOR-LAM,1161790.0,Cablevision Systems,2.0,conrad,,M,,1-615-241-0440,3.0,0.0,Colorado Springs,United States of America,2.0,,20340 LOMBARD CRESCENT,01852
