Ag,LaNa,Sta,Pho,MidInit,AdLi2,Inc,NumCa,C,AdL1,Coun,PoC,NumCrCar,FirNa,MariSt,Em,Gen,NeWor,OOReF,NuChi,CreRa,AgeID
7.0,Iokwiqojocjanndatkdzgymym,MO,1-637-119-9996,n,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,94490.0,3.0,Baltimore,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,United States of America,Guudshirvcu,,wbwsqgtaa,U,FM Global,,321776.0,U,,580.0,Iok7501
48.0,tiabxgseasiibxakctfzhfwotp,TX,1-560-405-0048,,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,7037.0,4.0,Kitchener,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,Canada,wyggjewbe,2.0,QGJWCPAPZMWHYHZTNOYSSOQBI,S,MGIC Investment,M,2292324.0,R,4.0,683.0,tia7502
14.0,AOIWIWTIHIXOJ,CT,1-261-306-5079,u,Cdrxeolwrrxmwmhgexvcstvzz,419269.0,1.0,Saint John,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,,YMZRQICUTHT,2.0,BHGXDDPUMBESLQMNEPREPTZNNKM,M,Ross Stores,,969707.0,O,5.0,411.0,AOI7503
29.0,PJQSPMBUHYQKBOZ,UT,1-642-299-6655,,WKSBVOFGJHQGAEKUYRZHHPH,76681.0,4.0,Berkeley,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,United States of America,Bcjuycmcen,9.0,Xgnvppcxgfnmawlupgfa,W,,m,3899461.0,U,5.0,818.0,PJQ7504
69.0,SDVLJWXENNGWCQMIW,RI,,,skxijfqpzshmts,209116.0,2.0,Missoula,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,United States of America,Nujxguyehf,7.0,Tfiozpstcftslqtwkgngiiwo,U,Alliance One International,,3749223.0,R,4.0,370.0,SDV7505
47.0,Hgakmykzeunwkiaxayulpwyxrcuev,DE,1-388-257-4273,F,ZETOHHRKIBHCQCKZODIXJJSXCFY,212203.0,0.0,Salinas,Ajpkrmtlcbdzr,,Neigswk,6.0,fbcahlrhhjoslfzqvvwwvhk,U,Sally Beauty Holdings,F,3658531.0,O,0.0,833.0,Hga7506
0.0,Beotomyndkiqryllkvpavllytov,NM,,D,LJXAXKUJXQBGWBHJJAAM,42018.0,5.0,San Jose,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,Canada,WNCEOQPLW,2.0,Dcgkohfcwyoaxckalqnkrzwq,M,Wisconsin Energy,M,1738460.0,U,5.0,536.0,Beo7507
46.0,Qumxrssnd,WV,1-632-118-1891,,Jmlgjkjbqhrudrkqrm,90446.0,0.0,Cleveland,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,United States of America,Cskdwtkf,0.0,Vmnmcsinflxxmmifydckncc,S,Carpenter Technology,,3307296.0,R,0.0,775.0,Qum7508
6.0,Hudlpfwjagzbnznyhamjkhbf,NH,1-853-806-4986,v,Qqcilgblxyikgr,16274.0,1.0,Huntington,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,United States of America,tcxswloetdt,3.0,Vrkbkkxkddtximspigmlbwzt,M,Liberty Mutual Insurance Group,,1816419.0,R,1.0,765.0,Hud7509
22.0,jbabemsfwdyeihxq,WY,1-220-687-2027,,Ahtohqjfzfarn,22215.0,5.0,Paterson,Ycltsquohmuugxihqyluhkoy,Canada,Fkpemasoukih,6.0,RMWCTFTLSVTMCBI,M,Black & Decker,m,2599250.0,O,2.0,555.0,jba7510
72.0,dgcnbxfhc,Saskatchewan,,,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,210038.0,5.0,Greensboro,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,United States of America,NCEVKLQEEWTA,3.0,Zaijioc,M,Interstate Bakeries,m,490443.0,O,1.0,,dgc7511
40.0,lqlslgqsvyfxqnzuwbfg,NE,1-268-630-3843,,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,307402.0,4.0,Concord,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,Canada,DODDIDDHXS,9.0,Mdwdjpdfmbqjaygkfqzqx,M,eBay,,3348923.0,O,5.0,318.0,lql7512
8.0,Wskjvrujdwku,AR,1-915-548-9541,,ucxdpiwilpxxhv,,4.0,Colorado Springs,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,United States of America,Oqnzttrldq,4.0,Ccbccgvldfvoqtzestvkwunn,D,Boise,m,331799.0,R,1.0,613.0,Wsk7513
10.0,Ffshsiomkzjonhxjhunfsao,IL,1-536-880-0961,v,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,432425.0,4.0,Mobile,,,Lwbawk,4.0,nyakrhdyxravdnhgbtol,U,MDU Resources Group,,1167013.0,R,1.0,786.0,Ffs7514
