AgencyID,Employer,LastName,PostalCode,AddressLine2,CreditRating,Income,NumberCars,NumberChildren,MaritalStatus,Age,OwnOrRentFlag,NumberCreditCards,NetWorth
Iok7501,FM Global,Iokwiqojocjanndatkdzgymym,Guudshirvcu,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,580.0,94490.0,3.0,,U,7.0,U,,321776.0
tia7502,MGIC Investment,tiabxgseasiibxakctfzhfwotp,wyggjewbe,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,683.0,7037.0,4.0,4.0,S,48.0,R,2.0,2292324.0
AOI7503,Ross Stores,AOIWIWTIHIXOJ,YMZRQICUTHT,Cdrxeolwrrxmwmhgexvcstvzz,411.0,419269.0,1.0,5.0,M,14.0,O,2.0,969707.0
PJQ7504,,PJQSPMBUHYQKBOZ,Bcjuycmcen,WKSBVOFGJHQGAEKUYRZHHPH,818.0,76681.0,4.0,5.0,W,29.0,U,9.0,3899461.0
SDV7505,Alliance One International,SDVLJWXENNGWCQMIW,Nujxguyehf,skxijfqpzshmts,370.0,209116.0,2.0,4.0,U,69.0,R,7.0,3749223.0
Hga7506,Sally Beauty Holdings,Hgakmykzeunwkiaxayulpwyxrcuev,Neigswk,ZETOHHRKIBHCQCKZODIXJJSXCFY,833.0,212203.0,0.0,0.0,U,47.0,O,6.0,3658531.0
Beo7507,Wisconsin Energy,Beotomyndkiqryllkvpavllytov,WNCEOQPLW,LJXAXKUJXQBGWBHJJAAM,536.0,42018.0,5.0,5.0,M,0.0,U,2.0,1738460.0
Qum7508,Carpenter Technology,Qumxrssnd,Cskdwtkf,Jmlgjkjbqhrudrkqrm,775.0,90446.0,0.0,0.0,S,46.0,R,0.0,3307296.0
Hud7509,Liberty Mutual Insurance Group,Hudlpfwjagzbnznyhamjkhbf,tcxswloetdt,Qqcilgblxyikgr,765.0,16274.0,1.0,1.0,M,6.0,R,3.0,1816419.0
jba7510,Black & Decker,jbabemsfwdyeihxq,Fkpemasoukih,Ahtohqjfzfarn,555.0,22215.0,5.0,2.0,M,22.0,O,6.0,2599250.0
dgc7511,Interstate Bakeries,dgcnbxfhc,NCEVKLQEEWTA,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,,210038.0,5.0,1.0,M,72.0,O,3.0,490443.0
