lstnm,nmbrchldrn,wnrrntflg,gncd,g,ddrssln2,crdtrtng,ntwrth,mplr,ncm,nmbrcrdtcrds,ddrssln1,stt,phn,nmbrcrs,mddlntl,gndr,frstnm,ct,mrtlstts,cntr,pstlcd
Iokwiqojocjanndatkdzgymym,,U,Iok7501,7.0,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,580.0,321776.0,FM Global,94490.0,,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,MO,1-637-119-9996,3.0,n,,wbwsqgtaa,Baltimore,U,United States of America,Guudshirvcu
tiabxgseasiibxakctfzhfwotp,4.0,R,tia7502,48.0,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,683.0,2292324.0,MGIC Investment,7037.0,2.0,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,TX,1-560-405-0048,4.0,,M,QGJWCPAPZMWHYHZTNOYSSOQBI,Kitchener,S,Canada,wyggjewbe
AOIWIWTIHIXOJ,5.0,O,AOI7503,14.0,Cdrxeolwrrxmwmhgexvcstvzz,411.0,969707.0,Ross Stores,419269.0,2.0,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,CT,1-261-306-5079,1.0,u,,BHGXDDPUMBESLQMNEPREPTZNNKM,Saint John,M,,YMZRQICUTHT
PJQSPMBUHYQKBOZ,5.0,U,PJQ7504,29.0,WKSBVOFGJHQGAEKUYRZHHPH,818.0,3899461.0,,76681.0,9.0,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,UT,1-642-299-6655,4.0,,m,Xgnvppcxgfnmawlupgfa,Berkeley,W,United States of America,Bcjuycmcen
SDVLJWXENNGWCQMIW,4.0,R,SDV7505,69.0,skxijfqpzshmts,370.0,3749223.0,Alliance One International,209116.0,7.0,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,RI,,2.0,,,Tfiozpstcftslqtwkgngiiwo,Missoula,U,United States of America,Nujxguyehf
Hgakmykzeunwkiaxayulpwyxrcuev,0.0,O,Hga7506,47.0,ZETOHHRKIBHCQCKZODIXJJSXCFY,833.0,3658531.0,Sally Beauty Holdings,212203.0,6.0,Ajpkrmtlcbdzr,DE,1-388-257-4273,0.0,F,F,fbcahlrhhjoslfzqvvwwvhk,Salinas,U,,Neigswk
Beotomyndkiqryllkvpavllytov,5.0,U,Beo7507,0.0,LJXAXKUJXQBGWBHJJAAM,536.0,1738460.0,Wisconsin Energy,42018.0,2.0,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,NM,,5.0,D,M,Dcgkohfcwyoaxckalqnkrzwq,San Jose,M,Canada,WNCEOQPLW
Qumxrssnd,0.0,R,Qum7508,46.0,Jmlgjkjbqhrudrkqrm,775.0,3307296.0,Carpenter Technology,90446.0,0.0,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,WV,1-632-118-1891,0.0,,,Vmnmcsinflxxmmifydckncc,Cleveland,S,United States of America,Cskdwtkf
Hudlpfwjagzbnznyhamjkhbf,1.0,R,Hud7509,6.0,Qqcilgblxyikgr,765.0,1816419.0,Liberty Mutual Insurance Group,16274.0,3.0,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,NH,1-853-806-4986,1.0,v,,Vrkbkkxkddtximspigmlbwzt,Huntington,M,United States of America,tcxswloetdt
jbabemsfwdyeihxq,2.0,O,jba7510,22.0,Ahtohqjfzfarn,555.0,2599250.0,Black & Decker,22215.0,6.0,Ycltsquohmuugxihqyluhkoy,WY,1-220-687-2027,5.0,,m,RMWCTFTLSVTMCBI,Paterson,M,Canada,Fkpemasoukih
dgcnbxfhc,1.0,O,dgc7511,72.0,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,,490443.0,Interstate Bakeries,210038.0,3.0,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,Saskatchewan,,5.0,,m,Zaijioc,Greensboro,M,United States of America,NCEVKLQEEWTA
lqlslgqsvyfxqnzuwbfg,5.0,O,lql7512,40.0,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,318.0,3348923.0,eBay,307402.0,9.0,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,NE,1-268-630-3843,4.0,,,Mdwdjpdfmbqjaygkfqzqx,Concord,M,Canada,DODDIDDHXS
Wskjvrujdwku,1.0,R,Wsk7513,8.0,ucxdpiwilpxxhv,613.0,331799.0,Boise,,4.0,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,AR,1-915-548-9541,4.0,,m,Ccbccgvldfvoqtzestvkwunn,Colorado Springs,D,United States of America,Oqnzttrldq
Ffshsiomkzjonhxjhunfsao,1.0,R,Ffs7514,10.0,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,786.0,1167013.0,MDU Resources Group,432425.0,4.0,,IL,1-536-880-0961,4.0,v,,nyakrhdyxravdnhgbtol,Mobile,U,,Lwbawk
Kvvverfkpazpzzkrqniixrhnw,3.0,O,Kvv7515,24.0,,,3960216.0,Freescale Semiconductor,122041.0,10.0,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,VA,1-494-335-6022,0.0,F,,NDNBTVCLKSC,Thousand Oaks,U,United States of America,Ppsrzjdtg
