indirizzo2,distretto,telefono,codice_postale,indirizzo_id,indirizzo,città,stato,stato_id,città_id
,Alberta,,,1,47 MySakila Drive,Lethbridge,Canada,20,300
,QLD,,,2,28 MySQL Boulevard,Woodridge,Australia,8,576
,Alberta,14033335568.0,,3,23 Workhaven Lane,Lethbridge,Canada,20,300
,QLD,6172235589.0,,4,1411 Lillydale Drive,Woodridge,Australia,8,576
,Nagasaki,28303384290.0,35200.0,5,1913 Hanoi Way,Sasebo,Japan,50,463
,California,838635286649.0,17886.0,6,1121 Loja Avenue,San Bernardino,United States,103,449
,Attika,448477190408.0,83579.0,7,692 Joliet Street,Athenai,Greece,39,38
,Mandalay,705814003527.0,53561.0,8,1566 Inegöl Manor,Myingyan,Myanmar,64,349
,Nantou,10655648674.0,42399.0,9,53 Idfu Parkway,Nantou,Taiwan,92,361
,Texas,860452626434.0,18743.0,10,1795 Santiago de Compostela Way,Laredo,United States,103,295
,Central Serbia,716571220373.0,93896.0,11,900 Santiago de Compostela Parkway,Kragujevac,Yugoslavia,108,280
,Hamilton,657282285970.0,77948.0,12,478 Joliet Way,Hamilton,New Zealand,68,200
,Masqat,380657522649.0,45844.0,13,613 Korolev Drive,Masqat,Oman,71,329
,Esfahan,648856936185.0,53628.0,14,1531 Salé Drive,Esfahan,Iran,46,162
,Kanagawa,635297277345.0,1027.0,15,1542 Tarlac Parkway,Sagamihara,Japan,50,440
,Haryana,465887807014.0,10672.0,16,808 Bhopal Manor,Yamuna Nagar,India,44,582
,Osmaniye,695479687538.0,29610.0,17,270 Amroha Parkway,Osmaniye,Turkey,97,384
,California,517338314235.0,16266.0,18,770 Bydgoszcz Avenue,Citrus Heights,United States,103,120
,Madhya Pradesh,990911107354.0,72878.0,19,419 Iligan Lane,Bhopal,India,44,76
,England,949312333307.0,54308.0,20,360 Toulouse Parkway,Southend-on-Sea,United Kingdom,102,495
,Kalmykia,407752414682.0,81766.0,21,270 Toulon Boulevard,Elista,Russian Federation,80,156
,Kaduna,747791594069.0,43331.0,22,320 Brest Avenue,Kaduna,Nigeria,69,252
