AgencyID,Phone,CreditRating,FirstName,Age,OwnOrRentFlag,LastName,MiddleInitial,Gender,AddressLine1,AddressLine2,PostalCode,City,State
PEL0,1-712-522-6088,760.0,Netti,20.0,O,PELLAND,,f,21847 olympia street,,T6b 1i1,Fairbanks,MA
LED1,1-626-426-4298,555.0,TRUDY,3.0,U,LEDUC,,F,245 congress court,APT. 624,77281,Quebec,PA
lat2,1-524-787-8784,566.0,ireland,,O,latif,,,6517 frailing west,,91355,Henderson,Alberta
RUD3,1-741-997-1688,,Misti,77.0,O,RUDDICK,,,11449 blalock park,,36615,Salem,AR
JAY4,1-002-194-1991,815.0,sarena,21.0,O,JAYAMANNE,M,f,18354 dodd court,Apt. 619,t6a 1i3,Toledo,OR
tod5,1-441-371-7651,333.0,Paulette,77.0,R,todo,Z,M,14117 roxboro street,,A2b 1v3,Corpus Christi,VA
Kan6,1-957-940-5980,528.0,AMALITA,23.0,O,Kanno,R,m,24697 FLORENCE WEST,,49513,Salt Lake City,OH
Din7,1-768-633-4096,680.0,Ernesto,9.0,U,Dinkel,Z,,6488 applewood drive,,M5d 1v6,Brownsville,Prince Edward Island
Thi8,1-107-689-2155,761.0,Toby,63.0,O,Thibodeaux,,,17404 gale court,,V6c 1q1,Escondido,NV
May9,1-173-594-6096,416.0,evangelia,32.0,O,Mayo,,,15913 alexis street,,99716,Los Angeles,Ontario
mah10,1-561-520-0611,493.0,umakanth,96.0,O,mahendra,U,,18313 5th lane,,A2b 1w1,West Covina,TX
Siz11,1-730-406-9727,564.0,terrie,46.0,R,Sizto,,,13653 collier avenue,,M5F 1W1,San Buenaventura,NE
cra12,,817.0,Mary-pat,6.0,U,crawley,,,15306 pike park,,95118,Lexington,AR
dac13,1-207-867-4589,653.0,Catherin,39.0,R,dacal,,m,1540 crestmere north,,H2f 1v7,Hay River,MI
HIV14,1-478-629-9641,587.0,annissa,73.0,O,HIVELY,W,,10790 bonita crescent,,19217,Toronto,MA
Pes15,1-026-208-8595,472.0,Amour,26.0,O,Peschke,,,24679 AIRPORT CRESCENT,Apt. 290,21228,Denver,TN
CHI16,1-432-681-4853,817.0,jenica,54.0,O,CHILDERHOSE,,,7627 douglas road,,85097,St. Paul,TN
Din17,,441.0,KATTIE,87.0,R,Dinnin,,,6106 ashland east,,V6j 1q8,Bellevue,OK
De 18,1-357-207-6320,848.0,Roselle,85.0,O,De witte,M,,1111 norden street,,43207,Detroit,Ontario
Mck19,1-462-774-1277,843.0,arlyne,86.0,R,Mckeegan,,m,2798 1st east,,V6t 1q8,Omaha,KY
WIN20,1-702-382-2898,,Rong-chin,59.0,R,WINTERS,P,M,11358 elle lee street,,94467,Costa Mesa,PA
BIT21,1-909-554-7120,300.0,Darlleen,94.0,O,BITTMAN,,,21074 MALLORY LOWER,,94321,Berkeley,MD
luz22,1-752-296-7940,795.0,Radoslav,,O,luzarraga,V,f,16124 weyland park,,C2a 4w7,St. Louis,TX
don23,1-995-554-5056,367.0,Aryn,5.0,U,donovan,S,,23822 marvin crescent,,35808,Colorado Springs,IN
Gia24,1-090-303-3807,507.0,Allisan,23.0,O,Giallo,T,,2203 valita boulevard,,M5f 1v6,Fontana,MD
SPR25,1-492-968-0932,362.0,Ammamaria,61.0,O,SPRUELL,,M,11538 COLLINWOOD AVENUE,,99539,St. Catharines,KY
SKA26,1-960-227-2020,527.0,Mari,,O,SKALSKI,,F,7818 EAST STREET,,95055,Hayward,CA
Gar27,1-431-122-8597,354.0,Anica,51.0,O,Gargul,,m,10013 shaw road,,93686,Palmdale,FL
Dor28,1-822-836-7200,511.0,Melba,97.0,O,Dore,,,6802 AMES STREET,,75218,Phoenix,Newfoundland
DIO29,1-530-117-0497,412.0,Tracee,52.0,,DIOGO,X,,22501 SUMMIT RUE,,91174,Gary,TX
Mer30,1-051-257-2719,583.0,CANADIAN,98.0,O,Merrick,,m,291 frances rue,,49515,Beaumont,WA
Atc31,1-171-989-1363,710.0,Oue,47.0,O,Atchison,R,,16264 sanders east,,16506,Nashua,MN
Pla32,1-042-705-3246,380.0,wallie,47.0,O,Plamondon,X,m,16068 cantey way,,94383,San Jose,WY
SEL33,1-098-328-2026,796.0,Andromache,9.0,R,SELCHOW,E,F,21170 EDLOE BOULEVARD,,T6d 1b3,Nashua,NY
sha34,1-209-754-5635,818.0,THOR,85.0,U,shane,Z,f,885 CROSBY LANE,,25339,Fort Smith,SC
MER35,1-498-781-3456,766.0,SALAH,81.0,U,MERWIN,,,12235 jay street,,V6o 1v4,Lancaster,MS
con36,1-615-241-0440,359.0,HOR-LAM,0.0,O,conrad,,,20340 LOMBARD CRESCENT,,01852,Colorado Springs,UT
ons37,1-995-449-5200,401.0,Vania,28.0,R,onsiteteam,,M,22074 dexter upper,,78230,Washington,PA
Sum38,1-295-673-4452,609.0,Niel,65.0,O,Summerlin,,M,1540 MURIE RUE,,93770,Lowell,OK
gro39,1-914-675-2986,630.0,ziad,20.0,O,grooms,F,,7075 glen loch drive,,m4l 1n4,Frederick,WY
dil40,,671.0,Claude,55.0,O,dilkie,I,,11237 balmoral way,Apt. 382,22335,Mesa,RI
DOL41,1-825-739-0336,715.0,AVTAR,76.0,O,DOLSON,,,8316 GARDEN BROOK NORTH,,V6C 1T4,Lakewood,HI
Pos42,1-956-713-3802,707.0,Donny,1.0,O,Posthumus,,,2240 clifton lower,,M6t 1h3,Cleveland,VA
Mac43,1-814-932-1579,329.0,Cocos,3.0,O,Machika,,,20907 NOTINGHAM LOWER,,95263,Grand Rapids,OK
che44,1-135-443-7282,601.0,ruud,100.0,R,chenoweth,,,601 carroll lower,,v5b 1p5,Peoria,Prince Edward Island
hol45,1-720-975-0667,623.0,Belvia,81.0,O,holbrooks,,,18267 state drive,,32318,Inglewood,SD
