NumberChildren,AgencyID,MiddleInitial,CreditRating,OwnOrRentFlag,NumberCars,Income,Age,NumberCreditCards,MaritalStatus,City,State,FirstName,NetWorth,Phone,Country,AddressLine1,AddressLine2,PostalCode,Employer,Gender,LastName
3.0,PEL0,,760.0,O,,368776.0,20.0,,W,Fairbanks,MA,Netti,1058868.0,1-712-522-6088,United States of America,21847 olympia street,,T6b 1i1,Brink's,f,PELLAND
1.0,LED1,,555.0,U,5.0,177967.0,3.0,6.0,U,Quebec,PA,TRUDY,1988185.0,1-626-426-4298,United States of America,245 congress court,APT. 624,77281,,F,LEDUC
1.0,lat2,,566.0,O,2.0,321772.0,,6.0,S,Henderson,Alberta,ireland,3673128.0,1-524-787-8784,United States of America,6517 frailing west,,91355,,,latif
1.0,RUD3,,,O,2.0,25449.0,77.0,3.0,W,Salem,AR,Misti,2005895.0,1-741-997-1688,Canada,11449 blalock park,,36615,Air Products & Chemicals,,RUDDICK
3.0,JAY4,M,815.0,O,0.0,166567.0,21.0,4.0,M,Toledo,OR,sarena,624736.0,1-002-194-1991,Canada,18354 dodd court,Apt. 619,t6a 1i3,Oshkosh,f,JAYAMANNE
4.0,tod5,Z,333.0,R,1.0,43631.0,77.0,10.0,M,Corpus Christi,VA,Paulette,3064615.0,1-441-371-7651,United States of America,14117 roxboro street,,A2b 1v3,,M,todo
0.0,Kan6,R,528.0,O,4.0,466230.0,23.0,1.0,,Salt Lake City,OH,AMALITA,3489129.0,1-957-940-5980,Canada,24697 FLORENCE WEST,,49513,VeraSun Energy,m,Kanno
2.0,Din7,Z,680.0,U,2.0,420243.0,9.0,7.0,M,Brownsville,Prince Edward Island,Ernesto,3430744.0,1-768-633-4096,United States of America,6488 applewood drive,,M5d 1v6,IDT,,Dinkel
,Thi8,,761.0,O,3.0,141862.0,63.0,10.0,U,Escondido,NV,Toby,1743614.0,1-107-689-2155,United States of America,17404 gale court,,V6c 1q1,Adams Resources & Energy,,Thibodeaux
2.0,May9,,416.0,O,0.0,402011.0,32.0,,M,Los Angeles,Ontario,evangelia,216299.0,1-173-594-6096,United States of America,15913 alexis street,,99716,MGIC Investment,,Mayo
2.0,mah10,U,493.0,O,2.0,79928.0,96.0,9.0,M,West Covina,TX,umakanth,1528641.0,1-561-520-0611,Canada,18313 5th lane,,A2b 1w1,Iasis Healthcare,,mahendra
0.0,Siz11,,564.0,R,1.0,109496.0,46.0,0.0,M,San Buenaventura,NE,terrie,3752907.0,1-730-406-9727,United States of America,13653 collier avenue,,M5F 1W1,AMR,,Sizto
4.0,cra12,,817.0,U,1.0,267901.0,6.0,0.0,U,Lexington,AR,Mary-pat,582378.0,,United States of America,15306 pike park,,95118,Embarq,,crawley
5.0,dac13,,653.0,R,3.0,487273.0,39.0,8.0,U,Hay River,MI,Catherin,3458824.0,1-207-867-4589,United States of America,1540 crestmere north,,H2f 1v7,Advanced Micro Devices,m,dacal
4.0,HIV14,W,587.0,O,3.0,34013.0,73.0,2.0,M,Toronto,MA,annissa,469408.0,1-478-629-9641,United States of America,10790 bonita crescent,,19217,Cenveo,,HIVELY
2.0,Pes15,,472.0,O,0.0,473462.0,26.0,6.0,S,Denver,TN,Amour,1504480.0,1-026-208-8595,United States of America,24679 AIRPORT CRESCENT,Apt. 290,21228,Kelly Services,,Peschke
4.0,CHI16,,817.0,O,5.0,499493.0,54.0,4.0,M,St. Paul,TN,jenica,2763009.0,1-432-681-4853,Canada,7627 douglas road,,85097,Viacom,,CHILDERHOSE
4.0,Din17,,441.0,R,5.0,266928.0,87.0,0.0,M,Bellevue,OK,KATTIE,2787199.0,,United States of America,6106 ashland east,,V6j 1q8,Macy's,,Dinnin
3.0,De 18,M,848.0,O,2.0,72444.0,85.0,6.0,M,Detroit,Ontario,Roselle,2789368.0,1-357-207-6320,United States of America,1111 norden street,,43207,Gardner Denver,,De witte
3.0,Mck19,,843.0,R,3.0,77290.0,86.0,8.0,U,Omaha,KY,arlyne,2784776.0,1-462-774-1277,United States of America,2798 1st east,,V6t 1q8,Family Dollar Stores,m,Mckeegan
0.0,WIN20,P,,R,2.0,395066.0,59.0,,U,Costa Mesa,PA,Rong-chin,288747.0,1-702-382-2898,United States of America,11358 elle lee street,,94467,,M,WINTERS
3.0,BIT21,,300.0,O,5.0,119283.0,94.0,0.0,U,Berkeley,MD,Darlleen,876575.0,1-909-554-7120,United States of America,21074 MALLORY LOWER,,94321,Sun Microsystems,,BITTMAN
1.0,luz22,V,795.0,O,1.0,330991.0,,8.0,U,St. Louis,TX,Radoslav,2041224.0,1-752-296-7940,United States of America,16124 weyland park,,C2a 4w7,Costco Wholesale,f,luzarraga
0.0,don23,S,367.0,U,4.0,,5.0,5.0,,Colorado Springs,IN,Aryn,2231509.0,1-995-554-5056,United States of America,23822 marvin crescent,,35808,Illinois Tool Works,,donovan
5.0,Gia24,T,507.0,O,1.0,252031.0,23.0,1.0,M,Fontana,MD,Allisan,3206409.0,1-090-303-3807,United States of America,2203 valita boulevard,,M5f 1v6,Southern Union,,Giallo
1.0,SPR25,,362.0,O,3.0,101800.0,61.0,9.0,M,St. Catharines,KY,Ammamaria,3850037.0,1-492-968-0932,United States of America,11538 COLLINWOOD AVENUE,,99539,Moog,M,SPRUELL
1.0,SKA26,,527.0,O,0.0,436977.0,,7.0,D,Hayward,CA,Mari,528440.0,1-960-227-2020,United States of America,7818 EAST STREET,,95055,Old Republic International,F,SKALSKI
