AgencyID,Income,City,AddressLine1,NumberCreditCards,PostalCode,NumberCars,NumberChildren,MaritalStatus,Age,CreditRating,OwnOrRentFlag,Employer,NetWorth
Iok7501,94490.0,Baltimore,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,,Guudshirvcu,3.0,,U,7.0,580.0,U,FM Global,321776.0
tia7502,7037.0,Kitchener,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,2.0,wyggjewbe,4.0,4.0,S,48.0,683.0,R,MGIC Investment,2292324.0
AOI7503,419269.0,Saint John,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,2.0,YMZRQICUTHT,1.0,5.0,M,14.0,411.0,O,Ross Stores,969707.0
PJQ7504,76681.0,Berkeley,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,9.0,Bcjuycmcen,4.0,5.0,W,29.0,818.0,U,,3899461.0
SDV7505,209116.0,Missoula,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,7.0,Nujxguyehf,2.0,4.0,U,69.0,370.0,R,Alliance One International,3749223.0
Hga7506,212203.0,Salinas,Ajpkrmtlcbdzr,6.0,Neigswk,0.0,0.0,U,47.0,833.0,O,Sally Beauty Holdings,3658531.0
Beo7507,42018.0,San Jose,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,2.0,WNCEOQPLW,5.0,5.0,M,0.0,536.0,U,Wisconsin Energy,1738460.0
Qum7508,90446.0,Cleveland,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,0.0,Cskdwtkf,0.0,0.0,S,46.0,775.0,R,Carpenter Technology,3307296.0
Hud7509,16274.0,Huntington,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,3.0,tcxswloetdt,1.0,1.0,M,6.0,765.0,R,Liberty Mutual Insurance Group,1816419.0
jba7510,22215.0,Paterson,Ycltsquohmuugxihqyluhkoy,6.0,Fkpemasoukih,5.0,2.0,M,22.0,555.0,O,Black & Decker,2599250.0
