codice_postale,cognome,nome,email,cliente_id,indirizzo,indirizzo2,negozio_id,attivo,distretto,telefono,data_creazione,città_id,indirizzo_id
95444,DANIELS,DANIELLE,DANIELLE.DANIELS@sakilacustomer.org,150,781 Shimonoseki Drive,,2,1,Michoacn de Ocampo,632316273199,2006-02-14 22:04:36,202,154
6856,RAMIREZ,CHRISTINA,CHRISTINA.RAMIREZ@sakilacustomer.org,70,1124 Buenaventura Drive,,2,1,Mekka,407733804223,2006-02-14 22:04:36,13,74
85505,COOPER,JOAN,JOAN.COOPER@sakilacustomer.org,62,1717 Guadalajara Lane,,1,1,Missouri,914090181665,2006-02-14 22:04:36,441,66
25053,RICHARDS,WILMA,WILMA.RICHARDS@sakilacustomer.org,212,660 Jedda Boulevard,,2,1,Washington,168758068397,2006-02-14 22:04:36,65,216
55709,ANDREWS,IDA,IDA.ANDREWS@sakilacustomer.org,183,1839 Székesfehérvár Parkway,,2,1,Gois,947468818183,2006-02-14 22:04:36,317,187
31483,GILMAN,DENNIS,DENNIS.GILMAN@sakilacustomer.org,338,1443 Mardan Street,,1,1,Western Cape,231383037471,2006-02-14 22:04:37,392,343
16370,GEARY,RUBEN,RUBEN.GEARY@sakilacustomer.org,501,414 Mandaluyong Street,,1,1,Lubelskie,52709222667,2006-02-14 22:04:37,314,506
60622,CARBONE,CHAD,CHAD.CARBONE@sakilacustomer.org,419,1948 Bayugan Parkway,,1,1,Bihar,987306329957,2006-02-14 22:04:37,264,424
77464,STILL,IAN,IAN.STILL@sakilacustomer.org,561,1894 Boa Vista Way,,2,1,Texas,239357986667,2006-02-14 22:04:37,178,567
45750,SCHWARZ,BRUCE,BRUCE.SCHWARZ@sakilacustomer.org,365,1565 Tangail Manor,,2,1,Okinawa,634445428822,2006-02-14 22:04:37,377,370
75543,FLORES,JULIA,JULIA.FLORES@sakilacustomer.org,89,1926 El Alto Avenue,,1,1,Buenos Aires,846225459260,2006-02-14 22:04:36,289,93
77397,GARDINER,DAVE,DAVE.GARDINER@sakilacustomer.org,569,1052 Pathankot Avenue,,2,1,Sichuan,128499386727,2006-02-14 22:04:37,299,575
50592,SANBORN,GENE,GENE.SANBORN@sakilacustomer.org,498,1416 San Juan Bautista Tuxtepec Avenue,,1,1,Zufar,144206758053,2006-02-14 22:04:37,444,503
