Income,Employer,NumberCars,NetWorth,AddressLine1,AgencyID,AddressLine2,PostalCode,MaritalStatus,Age,NumberChildren,FirstName,LastName,State,OwnOrRentFlag,MiddleInitial,City,Gender,Phone,CreditRating,NumberCreditCards,Country
368776.0,Brink's,,1058868.0,21847 olympia street,PEL0,,T6b 1i1,W,20.0,3.0,Netti,PELLAND,MA,O,,Fairbanks,f,1-712-522-6088,760.0,,United States of America
177967.0,,5.0,1988185.0,245 congress court,LED1,APT. 624,77281,U,3.0,1.0,TRUDY,LEDUC,PA,U,,Quebec,F,1-626-426-4298,555.0,6.0,United States of America
321772.0,,2.0,3673128.0,6517 frailing west,lat2,,91355,S,,1.0,ireland,latif,Alberta,O,,Henderson,,1-524-787-8784,566.0,6.0,United States of America
25449.0,Air Products & Chemicals,2.0,2005895.0,11449 blalock park,RUD3,,36615,W,77.0,1.0,Misti,RUDDICK,AR,O,,Salem,,1-741-997-1688,,3.0,Canada
166567.0,Oshkosh,0.0,624736.0,18354 dodd court,JAY4,Apt. 619,t6a 1i3,M,21.0,3.0,sarena,JAYAMANNE,OR,O,M,Toledo,f,1-002-194-1991,815.0,4.0,Canada
43631.0,,1.0,3064615.0,14117 roxboro street,tod5,,A2b 1v3,M,77.0,4.0,Paulette,todo,VA,R,Z,Corpus Christi,M,1-441-371-7651,333.0,10.0,United States of America
466230.0,VeraSun Energy,4.0,3489129.0,24697 FLORENCE WEST,Kan6,,49513,,23.0,0.0,AMALITA,Kanno,OH,O,R,Salt Lake City,m,1-957-940-5980,528.0,1.0,Canada
420243.0,IDT,2.0,3430744.0,6488 applewood drive,Din7,,M5d 1v6,M,9.0,2.0,Ernesto,Dinkel,Prince Edward Island,U,Z,Brownsville,,1-768-633-4096,680.0,7.0,United States of America
141862.0,Adams Resources & Energy,3.0,1743614.0,17404 gale court,Thi8,,V6c 1q1,U,63.0,,Toby,Thibodeaux,NV,O,,Escondido,,1-107-689-2155,761.0,10.0,United States of America
402011.0,MGIC Investment,0.0,216299.0,15913 alexis street,May9,,99716,M,32.0,2.0,evangelia,Mayo,Ontario,O,,Los Angeles,,1-173-594-6096,416.0,,United States of America
