AgencyID,Age,Income,AddressLine1,CreditRating,NumberChildren,Country,AddressLine2,NetWorth,OwnOrRentFlag,Employer,LastName,FirstName,MiddleInitial,Gender,PostalCode
PEL0,20.0,368776.0,21847 olympia street,760.0,3.0,United States of America,,1058868.0,O,Brink's,PELLAND,Netti,,f,T6b 1i1
LED1,3.0,177967.0,245 congress court,555.0,1.0,United States of America,APT. 624,1988185.0,U,,LEDUC,TRUDY,,F,77281
lat2,,321772.0,6517 frailing west,566.0,1.0,United States of America,,3673128.0,O,,latif,ireland,,,91355
RUD3,77.0,25449.0,11449 blalock park,,1.0,Canada,,2005895.0,O,Air Products & Chemicals,RUDDICK,Misti,,,36615
JAY4,21.0,166567.0,18354 dodd court,815.0,3.0,Canada,Apt. 619,624736.0,O,Oshkosh,JAYAMANNE,sarena,M,f,t6a 1i3
tod5,77.0,43631.0,14117 roxboro street,333.0,4.0,United States of America,,3064615.0,R,,todo,Paulette,Z,M,A2b 1v3
Kan6,23.0,466230.0,24697 FLORENCE WEST,528.0,0.0,Canada,,3489129.0,O,VeraSun Energy,Kanno,AMALITA,R,m,49513
Din7,9.0,420243.0,6488 applewood drive,680.0,2.0,United States of America,,3430744.0,U,IDT,Dinkel,Ernesto,Z,,M5d 1v6
Thi8,63.0,141862.0,17404 gale court,761.0,,United States of America,,1743614.0,O,Adams Resources & Energy,Thibodeaux,Toby,,,V6c 1q1
May9,32.0,402011.0,15913 alexis street,416.0,2.0,United States of America,,216299.0,O,MGIC Investment,Mayo,evangelia,,,99716
mah10,96.0,79928.0,18313 5th lane,493.0,2.0,Canada,,1528641.0,O,Iasis Healthcare,mahendra,umakanth,U,,A2b 1w1
Siz11,46.0,109496.0,13653 collier avenue,564.0,0.0,United States of America,,3752907.0,R,AMR,Sizto,terrie,,,M5F 1W1
cra12,6.0,267901.0,15306 pike park,817.0,4.0,United States of America,,582378.0,U,Embarq,crawley,Mary-pat,,,95118
dac13,39.0,487273.0,1540 crestmere north,653.0,5.0,United States of America,,3458824.0,R,Advanced Micro Devices,dacal,Catherin,,m,H2f 1v7
HIV14,73.0,34013.0,10790 bonita crescent,587.0,4.0,United States of America,,469408.0,O,Cenveo,HIVELY,annissa,W,,19217
Pes15,26.0,473462.0,24679 AIRPORT CRESCENT,472.0,2.0,United States of America,Apt. 290,1504480.0,O,Kelly Services,Peschke,Amour,,,21228
CHI16,54.0,499493.0,7627 douglas road,817.0,4.0,Canada,,2763009.0,O,Viacom,CHILDERHOSE,jenica,,,85097
Din17,87.0,266928.0,6106 ashland east,441.0,4.0,United States of America,,2787199.0,R,Macy's,Dinnin,KATTIE,,,V6j 1q8
De 18,85.0,72444.0,1111 norden street,848.0,3.0,United States of America,,2789368.0,O,Gardner Denver,De witte,Roselle,M,,43207
Mck19,86.0,77290.0,2798 1st east,843.0,3.0,United States of America,,2784776.0,R,Family Dollar Stores,Mckeegan,arlyne,,m,V6t 1q8
WIN20,59.0,395066.0,11358 elle lee street,,0.0,United States of America,,288747.0,R,,WINTERS,Rong-chin,P,M,94467
BIT21,94.0,119283.0,21074 MALLORY LOWER,300.0,3.0,United States of America,,876575.0,O,Sun Microsystems,BITTMAN,Darlleen,,,94321
luz22,,330991.0,16124 weyland park,795.0,1.0,United States of America,,2041224.0,O,Costco Wholesale,luzarraga,Radoslav,V,f,C2a 4w7
don23,5.0,,23822 marvin crescent,367.0,0.0,United States of America,,2231509.0,U,Illinois Tool Works,donovan,Aryn,S,,35808
Gia24,23.0,252031.0,2203 valita boulevard,507.0,5.0,United States of America,,3206409.0,O,Southern Union,Giallo,Allisan,T,,M5f 1v6
