NumberChildren,NumberCars,PostalCode,LastName,Income,Country,Gender,Employer,Phone,NetWorth,State,AddressLine1,AddressLine2,AgencyID,FirstName,OwnOrRentFlag,MaritalStatus,NumberCreditCards,MiddleInitial,CreditRating,City,Age
3.0,,T6b 1i1,PELLAND,368776.0,United States of America,f,Brink's,1-712-522-6088,1058868.0,MA,21847 olympia street,,PEL0,Netti,O,W,,,760.0,Fairbanks,20.0
1.0,5.0,77281,LEDUC,177967.0,United States of America,F,,1-626-426-4298,1988185.0,PA,245 congress court,APT. 624,LED1,TRUDY,U,U,6.0,,555.0,Quebec,3.0
1.0,2.0,91355,latif,321772.0,United States of America,,,1-524-787-8784,3673128.0,Alberta,6517 frailing west,,lat2,ireland,O,S,6.0,,566.0,Henderson,
1.0,2.0,36615,RUDDICK,25449.0,Canada,,Air Products & Chemicals,1-741-997-1688,2005895.0,AR,11449 blalock park,,RUD3,Misti,O,W,3.0,,,Salem,77.0
3.0,0.0,t6a 1i3,JAYAMANNE,166567.0,Canada,f,Oshkosh,1-002-194-1991,624736.0,OR,18354 dodd court,Apt. 619,JAY4,sarena,O,M,4.0,M,815.0,Toledo,21.0
4.0,1.0,A2b 1v3,todo,43631.0,United States of America,M,,1-441-371-7651,3064615.0,VA,14117 roxboro street,,tod5,Paulette,R,M,10.0,Z,333.0,Corpus Christi,77.0
0.0,4.0,49513,Kanno,466230.0,Canada,m,VeraSun Energy,1-957-940-5980,3489129.0,OH,24697 FLORENCE WEST,,Kan6,AMALITA,O,,1.0,R,528.0,Salt Lake City,23.0
2.0,2.0,M5d 1v6,Dinkel,420243.0,United States of America,,IDT,1-768-633-4096,3430744.0,Prince Edward Island,6488 applewood drive,,Din7,Ernesto,U,M,7.0,Z,680.0,Brownsville,9.0
,3.0,V6c 1q1,Thibodeaux,141862.0,United States of America,,Adams Resources & Energy,1-107-689-2155,1743614.0,NV,17404 gale court,,Thi8,Toby,O,U,10.0,,761.0,Escondido,63.0
2.0,0.0,99716,Mayo,402011.0,United States of America,,MGIC Investment,1-173-594-6096,216299.0,Ontario,15913 alexis street,,May9,evangelia,O,M,,,416.0,Los Angeles,32.0
2.0,2.0,A2b 1w1,mahendra,79928.0,Canada,,Iasis Healthcare,1-561-520-0611,1528641.0,TX,18313 5th lane,,mah10,umakanth,O,M,9.0,U,493.0,West Covina,96.0
0.0,1.0,M5F 1W1,Sizto,109496.0,United States of America,,AMR,1-730-406-9727,3752907.0,NE,13653 collier avenue,,Siz11,terrie,R,M,0.0,,564.0,San Buenaventura,46.0
4.0,1.0,95118,crawley,267901.0,United States of America,,Embarq,,582378.0,AR,15306 pike park,,cra12,Mary-pat,U,U,0.0,,817.0,Lexington,6.0
5.0,3.0,H2f 1v7,dacal,487273.0,United States of America,m,Advanced Micro Devices,1-207-867-4589,3458824.0,MI,1540 crestmere north,,dac13,Catherin,R,U,8.0,,653.0,Hay River,39.0
4.0,3.0,19217,HIVELY,34013.0,United States of America,,Cenveo,1-478-629-9641,469408.0,MA,10790 bonita crescent,,HIV14,annissa,O,M,2.0,W,587.0,Toronto,73.0
2.0,0.0,21228,Peschke,473462.0,United States of America,,Kelly Services,1-026-208-8595,1504480.0,TN,24679 AIRPORT CRESCENT,Apt. 290,Pes15,Amour,O,S,6.0,,472.0,Denver,26.0
4.0,5.0,85097,CHILDERHOSE,499493.0,Canada,,Viacom,1-432-681-4853,2763009.0,TN,7627 douglas road,,CHI16,jenica,O,M,4.0,,817.0,St. Paul,54.0
4.0,5.0,V6j 1q8,Dinnin,266928.0,United States of America,,Macy's,,2787199.0,OK,6106 ashland east,,Din17,KATTIE,R,M,0.0,,441.0,Bellevue,87.0
3.0,2.0,43207,De witte,72444.0,United States of America,,Gardner Denver,1-357-207-6320,2789368.0,Ontario,1111 norden street,,De 18,Roselle,O,M,6.0,M,848.0,Detroit,85.0
3.0,3.0,V6t 1q8,Mckeegan,77290.0,United States of America,m,Family Dollar Stores,1-462-774-1277,2784776.0,KY,2798 1st east,,Mck19,arlyne,R,U,8.0,,843.0,Omaha,86.0
0.0,2.0,94467,WINTERS,395066.0,United States of America,M,,1-702-382-2898,288747.0,PA,11358 elle lee street,,WIN20,Rong-chin,R,U,,P,,Costa Mesa,59.0
3.0,5.0,94321,BITTMAN,119283.0,United States of America,,Sun Microsystems,1-909-554-7120,876575.0,MD,21074 MALLORY LOWER,,BIT21,Darlleen,O,U,0.0,,300.0,Berkeley,94.0
1.0,1.0,C2a 4w7,luzarraga,330991.0,United States of America,f,Costco Wholesale,1-752-296-7940,2041224.0,TX,16124 weyland park,,luz22,Radoslav,O,U,8.0,V,795.0,St. Louis,
0.0,4.0,35808,donovan,,United States of America,,Illinois Tool Works,1-995-554-5056,2231509.0,IN,23822 marvin crescent,,don23,Aryn,U,,5.0,S,367.0,Colorado Springs,5.0
5.0,1.0,M5f 1v6,Giallo,252031.0,United States of America,,Southern Union,1-090-303-3807,3206409.0,MD,2203 valita boulevard,,Gia24,Allisan,O,M,1.0,T,507.0,Fontana,23.0
1.0,3.0,99539,SPRUELL,101800.0,United States of America,M,Moog,1-492-968-0932,3850037.0,KY,11538 COLLINWOOD AVENUE,,SPR25,Ammamaria,O,M,9.0,,362.0,St. Catharines,61.0
1.0,0.0,95055,SKALSKI,436977.0,United States of America,F,Old Republic International,1-960-227-2020,528440.0,CA,7818 EAST STREET,,SKA26,Mari,O,D,7.0,,527.0,Hayward,
,0.0,93686,Gargul,495334.0,United States of America,m,,1-431-122-8597,597140.0,FL,10013 shaw road,,Gar27,Anica,O,S,0.0,,354.0,Palmdale,51.0
1.0,1.0,75218,Dore,274685.0,United States of America,,Great Plains Energy,1-822-836-7200,146931.0,Newfoundland,6802 AMES STREET,,Dor28,Melba,O,M,1.0,,511.0,Phoenix,97.0
2.0,2.0,91174,DIOGO,320820.0,United States of America,,Broadcom,1-530-117-0497,353495.0,TX,22501 SUMMIT RUE,,DIO29,Tracee,,,7.0,X,412.0,Gary,52.0
0.0,4.0,49515,Merrick,195835.0,Canada,m,Discover Financial Services,1-051-257-2719,295647.0,WA,291 frances rue,,Mer30,CANADIAN,O,S,1.0,,583.0,Beaumont,98.0
3.0,5.0,16506,Atchison,108085.0,United States of America,,UAL,1-171-989-1363,408941.0,MN,16264 sanders east,,Atc31,Oue,O,U,5.0,R,710.0,Nashua,47.0
1.0,2.0,94383,Plamondon,260185.0,United States of America,m,Charles Schwab,1-042-705-3246,362523.0,WY,16068 cantey way,,Pla32,wallie,O,M,9.0,X,380.0,San Jose,47.0
