indirizzo2,codice_postale,città,stato_id,indirizzo,telefono,città_id,distretto,indirizzo_id,stato
,75442.0,Tychy,76,1642 Charlotte Amalie Drive,821476736117.0,549,Slaskie,385,Poland
,76901.0,Lilongwe,58,710 San Felipe del Progreso Avenue,843801144113.0,304,Lilongwe,170,Malawi
,400.0,Chungho,92,608 Birgunj Parkway,627425618482.0,116,Taipei,523,Taiwan
,51540.0,Kimchon,86,588 Vila Velha Manor,333339908719.0,268,Kyongsangbuk,103,South Korea
,42141.0,Arlington,103,913 Coacalco de Berriozábal Loop,262088367001.0,33,Texas,310,United States
,56883.0,Parbhani,44,41 El Alto Parkway,51917807050.0,398,Maharashtra,305,India
,69221.0,Lhokseumawe,45,1078 Stara Zagora Drive,932992626595.0,301,Aceh,478,Indonesia
,7664.0,Omiya,50,1266 Laredo Parkway,1483365694.0,380,Saitama,409,Japan
,33384.0,Akishima,50,923 Tangail Boulevard,315528269898.0,10,Tokyo-to,580,Japan
,8160.0,Ponce,77,1405 Chisinau Place,62781725285.0,411,Ponce,287,Puerto Rico
,33191.0,Syktyvkar,80,1823 Hoshiarpur Lane,307133768620.0,510,Komi,433,Russian Federation
,85926.0,Hanoi,105,68 Ponce Parkway,870635127812.0,201,Hanoi,345,Vietnam
,57519.0,Touliu,92,1029 Dzerzinsk Manor,33173584456.0,542,Ynlin,143,Taiwan
,69226.0,Kuching,59,1114 Liepaja Street,212869228936.0,282,Sarawak,62,Malaysia
,3924.0,Bhusawal,44,642 Nador Drive,369050085652.0,77,Maharashtra,206,India
,22474.0,Loja,28,1074 Sanaa Parkway,154124128457.0,311,Loja,595,Ecuador
,90920.0,Junan,23,722 Bradford Lane,746251338300.0,249,Shandong,440,China
,86760.0,Ezeiza,6,166 Jinchang Street,717566026669.0,165,Buenos Aires,536,Argentina
,38140.0,Tianjin,23,1760 Oshawa Manor,56257502250.0,535,Tianjin,253,China
,93323.0,Anápolis,15,356 Olomouc Manor,22326410776.0,26,Gois,233,Brazil
,94707.0,Nha Trang,105,617 Klerksdorp Place,574973479129.0,366,Khanh Hoa,526,Vietnam
,47472.0,Vancouver,20,983 Santa Fé Way,145720452260.0,565,British Colombia,441,Canada
,66255.0,Poá,15,1666 Qomsheh Drive,582835362905.0,410,São Paulo,130,Brazil
,23636.0,Surakarta,45,1947 Paarl Way,834061016202.0,509,Central Java,455,Indonesia
,96109.0,Malmö,90,1150 Kimchon Manor,663449333709.0,321,Skne ln,70,Sweden
,57844.0,Kakamigahara,50,1287 Xi´angfan Boulevard,819416131190.0,253,Gifu,167,Japan
,40926.0,La Romana,27,1245 Ibirité Way,331888642162.0,290,La Romana,442,Dominican Republic
,1570.0,Talavera,75,48 Maracaíbo Place,82671830126.0,519,Central Luzon,510,Philippines
,73644.0,Gandhinagar,44,1967 Sincelejo Place,577812616052.0,176,Gujarat,121,India
,16266.0,Citrus Heights,103,770 Bydgoszcz Avenue,517338314235.0,120,California,18,United States
,39414.0,al-Manama,11,1759 Niznekamsk Avenue,864392582257.0,14,al-Manama,596,Bahrain
,37288.0,San Miguel de Tucumán,6,1483 Pathankot Street,686015532180.0,454,Tucumn,247,Argentina
,58492.0,Korla,23,226 Halifax Street,790651020929.0,277,Xinxiang,288,China
,52196.0,Tokat,97,539 Hami Way,525518075499.0,538,Tokat,572,Turkey
,41060.0,Stockport,102,808 Naçala-Porto Parkway,553452430707.0,500,England,482,United Kingdom
,86587.0,Czestochowa,76,1405 Hagonoy Avenue,867287719310.0,133,Slaskie,578,Poland
,57807.0,Balašiha,80,1697 Kowloon and New Kowloon Loop,499352017190.0,49,Moskova,59,Russian Federation
,2738.0,Adoni,44,230 Urawa Drive,166898395731.0,8,Andhra Pradesh,372,India
,52163.0,Bandar Seri Begawan,16,1370 Le Mans Avenue,345679835036.0,53,Brunei and Muara,95,Brunei
,52535.0,Juazeiro do Norte,15,686 Garland Manor,69493378813.0,247,Cear,51,Brazil
,81766.0,Elista,80,270 Toulon Boulevard,407752414682.0,156,Kalmykia,21,Russian Federation
,77948.0,Hamilton,68,478 Joliet Way,657282285970.0,200,Hamilton,12,New Zealand
,76022.0,Lipetsk,80,1998 Halifax Drive,177727722820.0,308,Lipetsk,48,Russian Federation
,47753.0,Batman,97,29 Pyongyang Loop,734780743462.0,58,Batman,176,Turkey
,64875.0,Arecibo,77,1009 Zanzibar Lane,102396298916.0,32,Arecibo,365,Puerto Rico
,504.0,Ede,67,1217 Konotop Avenue,718917251754.0,151,Gelderland,346,Netherlands
,94239.0,La Paz,60,184 Mandaluyong Street,488425406814.0,288,Baja California Sur,493,Mexico
,21954.0,Mardan,72,1688 Okara Way,144453869132.0,327,Nothwest Border Prov,24,Pakistan
,72349.0,Rizhao,23,1060 Tandil Lane,211256301880.0,432,Shandong,501,China
,42399.0,Nantou,92,53 Idfu Parkway,10655648674.0,361,Nantou,9,Taiwan
,71110.0,Cayenne,35,698 Otsu Street,409983924481.0,105,Cayenne,69,French Guiana
,47498.0,Vilnius,56,1059 Yuncheng Avenue,107092893983.0,570,Vilna,563,Lithuania
,63104.0,Newcastle,85,1766 Almirante Brown Street,617567598243.0,364,KwaZulu-Natal,437,South Africa
,65892.0,Naçala-Porto,63,596 Huixquilucan Place,342709348083.0,351,Nampula,438,Mozambique
,87272.0,Hsichuh,92,381 Kabul Way,55477302294.0,209,Taipei,353,Taiwan
,86868.0,Tandil,6,88 Nagaon Manor,779461480495.0,524,Buenos Aires,410,Argentina
,7122.0,Deba Habe,69,1936 Lapu-Lapu Parkway,653436985797.0,141,Bauchi & Gombe,414,Nigeria
