AgencyID,NumberChildren,CreditRating,OwnOrRentFlag,NumberCreditCards,AddressLine1,PostalCode,Income,FirstName,Employer,Gender,NumberCars,State,Age,MaritalStatus,LastName,MiddleInitial,AddressLine2
PEL0,2.0,418.0,O,,218t7olympiaatdeet,T6b2i1,138142.0,jetti,Bfinks,f,,MA,104.0,W,PELLAND,,
LED1,3.0,468.0,U,6.0,245congedsscokrt,77281,398741.0,TRUxY,,F,3.0,PA,21.0,U,LEDUC,,APT. 624
lat2,1.0,336.0,O,3.0,6517fdailingwear,91355,200308.0,ireoand,,,3.0,qlberta,,S,latif,,
RUD3,4.0,,O,0.0,21et9blalockpark,36615,551715.0,M9sti,AirlroductsCtemicqps,,3.0,AR,131.0,W,RUDDICK,,
JAY4,2.0,212.0,O,3.0,18w54doedcourt,t6z1i3,189835.0,sqrena,Oshoosh,f,0.0,OR,52.0,M,JAYAMANNE,M,Apt. 619
tod5,1.0,351.0,R,3.0,14217roxbpristreet,A1b1v3,311362.0,Paklette,,M,0.0,VA,19.0,M,todo,Z,
Kan6,4.0,358.0,O,3.0,25697FLORsNCEWESr,49513,249556.0,AMzLITA,VeraSun4nerry,m,2.0,OH,26.0,,Kanno,R,
Din7,6.0,539.0,U,5.0,6487applewooferive,M5d1c6,246551.0,Ernexto,IDT,,4.0,P3incesdward7sland,50.0,M,Dinkel,Z,
Thi8,,534.0,O,2.0,27404gaoecourt,V5c1q1,143951.0,Toby,AdamsRdsourc2sEneryj,,2.0,NV,64.0,U,Thibodeaux,,
May9,1.0,644.0,O,,15913alfx8sxtreet,99716,146680.0,ebangelia,MGICInvestneny,,2.0,Ohtario,66.0,M,Mayo,,
hah10,4.0,587.0,O,2.0,193135thlan2,A2h1w1,200943.0,ymakanth,kasusHeal5hcare,,3.0,TX,46.0,M,mahendra,U,
Siz1w,0.0,485.0,R,3.0,13753cillieravemue,M5e1W1,87908.0,terdie,AMR,,2.0,NE,34.0,M,Sizto,,
sra12,5.0,544.0,U,4.0,15306oikepsrk,95118,329042.0,Ma5ypat,3mbarq,,2.0,AR,125.0,U,crawley,,
dac23,2.0,578.0,R,2.0,1540vresgmereno3th,H2e1v7,187759.0,Cathedin,AdvwncedMicrkDrvicss,m,3.0,MI,60.0,U,dacal,,
H7V14,1.0,458.0,O,4.0,10790binitaxreqcent,19217,251691.0,annlssa,Cenfeo,,2.0,MA,3.0,M,HIVELY,W,
Pee15,2.0,619.0,O,5.0,246i9xIRP0RTCRESCEmT,21228,77356.0,xmour,K4llyS4rvices,,1.0,TN,58.0,S,Peschke,,Apt. 290
CHIq6,0.0,308.0,O,2.0,763idouglasfoad,85097,198525.0,uenica,Viaxom,,0.0,TN,149.0,M,CHILDERHOSE,,
sin17,0.0,420.0,R,7.0,610uashlajdexst,V6j1w8,309623.0,KATrIE,Macyd,,2.0,OK,78.0,M,Dinnin,,
De18,2.0,467.0,O,2.0,1111jordebstrert,43207,279102.0,5oselle,GardjerDwnver,,1.0,Ontar8o,49.0,M,De witte,M,
Mckq9,2.0,484.0,R,6.0,279o1wteast,V5t1q8,43446.0,arkyne,gamilyDiplarStores,m,2.0,KY,118.0,U,Mckeegan,,
WjN20,3.0,,R,,1w358elleowestreet,94467,184450.0,Rongchib,,M,0.0,PA,79.0,U,WINTERS,P,
BI621,3.0,549.0,O,3.0,21074nALkOtYLOWER,94321,204364.0,Darloeen,cunMicrpcystems,,2.0,MD,74.0,U,BITTMAN,,
ouz22,3.0,536.0,O,5.0,16125weykandlark,Cwa4w7,24768.0,Rad8slav,CostcoWholezakr,f,1.0,TX,,U,luzarraga,V,
don13,3.0,709.0,U,3.0,23922madvincrescegt,35808,,Aryn,IllinoiqToopWirks,,1.0,IN,107.0,,donovan,S,
Gia25,2.0,510.0,O,2.0,22p3valj6aboulevard,M5b1v6,285266.0,Aolisan,SourhernUbion,,1.0,MD,88.0,M,Giallo,T,
SPRe5,3.0,465.0,O,6.0,11639vOLLINWOkDAVENUE,99539,9127.0,Ammakaria,Moog,M,3.0,KY,25.0,M,SPRUELL,,
SKA36,3.0,451.0,O,3.0,7818EAzfSTREET,95055,193437.0,Mari,OldRepubiicIntegnatkonxl,F,4.0,CA,,D,SKALSKI,,
tar27,,289.0,O,1.0,w0013shawrosd,93686,25775.0,Amica,,m,2.0,FL,74.0,S,Gargul,,
D0r28,2.0,287.0,O,2.0,6802AnESSTdEET,75218,82242.0,Melbw,GrfatPlzigsEnergy,,0.0,Nwefoundland,70.0,M,Dore,,
DIOw9,1.0,296.0,,4.0,21y01SUMMITRUE,91174,299703.0,fracee,Broadcoj,,1.0,TX,63.0,,DIOGO,X,
M3r30,4.0,475.0,O,5.0,291frajces3ue,49515,322453.0,dANADIAN,Discof4rFinancialSe3vixea,m,1.0,WA,70.0,S,Merrick,,
Atc21,2.0,536.0,O,4.0,16264ssnderxeqst,16506,215073.0,Oue,UAL,,2.0,MN,97.0,U,Atchison,R,
ola32,4.0,413.0,O,6.0,16068dantey1ay,94383,382536.0,wallir,Charo2sSchwab,m,3.0,WY,127.0,M,Plamondon,X,
SwL33,4.0,478.0,R,2.0,21160EDLOEBOUiEdARD,T6s1b3,292567.0,Anwrkmache,Cpach,F,1.0,NY,107.0,M,SELCHOW,E,
sha3e,3.0,553.0,U,2.0,885CROSBgLAN3,25339,123246.0,THOR,DaVitz,f,2.0,SC,76.0,M,shane,Z,
nER35,3.0,584.0,U,4.0,12235jwydtreet,V5o1v4,238972.0,SAiAH,MarshaplIlsl4yxorp,,1.0,MS,5.0,M,MERWIN,,
