AgeID,CreRa,AddL2,Empl,FiNa,MiIn,Inc,NumCa,NuChil,MaSta,A,OOReFl,NumCreCar,NWo
Iok7501,580.0,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,FM Global,wbwsqgtaa,n,94490.0,3.0,,U,7.0,U,,321776.0
tia7502,683.0,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,MGIC Investment,QGJWCPAPZMWHYHZTNOYSSOQBI,,7037.0,4.0,4.0,S,48.0,R,2.0,2292324.0
AOI7503,411.0,Cdrxeolwrrxmwmhgexvcstvzz,Ross Stores,BHGXDDPUMBESLQMNEPREPTZNNKM,u,419269.0,1.0,5.0,M,14.0,O,2.0,969707.0
PJQ7504,818.0,WKSBVOFGJHQGAEKUYRZHHPH,,Xgnvppcxgfnmawlupgfa,,76681.0,4.0,5.0,W,29.0,U,9.0,3899461.0
SDV7505,370.0,skxijfqpzshmts,Alliance One International,Tfiozpstcftslqtwkgngiiwo,,209116.0,2.0,4.0,U,69.0,R,7.0,3749223.0
Hga7506,833.0,ZETOHHRKIBHCQCKZODIXJJSXCFY,Sally Beauty Holdings,fbcahlrhhjoslfzqvvwwvhk,F,212203.0,0.0,0.0,U,47.0,O,6.0,3658531.0
Beo7507,536.0,LJXAXKUJXQBGWBHJJAAM,Wisconsin Energy,Dcgkohfcwyoaxckalqnkrzwq,D,42018.0,5.0,5.0,M,0.0,U,2.0,1738460.0
Qum7508,775.0,Jmlgjkjbqhrudrkqrm,Carpenter Technology,Vmnmcsinflxxmmifydckncc,,90446.0,0.0,0.0,S,46.0,R,0.0,3307296.0
Hud7509,765.0,Qqcilgblxyikgr,Liberty Mutual Insurance Group,Vrkbkkxkddtximspigmlbwzt,v,16274.0,1.0,1.0,M,6.0,R,3.0,1816419.0
jba7510,555.0,Ahtohqjfzfarn,Black & Decker,RMWCTFTLSVTMCBI,,22215.0,5.0,2.0,M,22.0,O,6.0,2599250.0
dgc7511,,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,Interstate Bakeries,Zaijioc,,210038.0,5.0,1.0,M,72.0,O,3.0,490443.0
lql7512,318.0,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,eBay,Mdwdjpdfmbqjaygkfqzqx,,307402.0,4.0,5.0,M,40.0,O,9.0,3348923.0
Wsk7513,613.0,ucxdpiwilpxxhv,Boise,Ccbccgvldfvoqtzestvkwunn,,,4.0,1.0,D,8.0,R,4.0,331799.0
Ffs7514,786.0,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,MDU Resources Group,nyakrhdyxravdnhgbtol,v,432425.0,4.0,1.0,U,10.0,R,4.0,1167013.0
Kvv7515,,,Freescale Semiconductor,NDNBTVCLKSC,F,122041.0,0.0,3.0,U,24.0,O,10.0,3960216.0
mpz7516,623.0,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,Superior Energy Services,Zmstbluqkipzaojfsomtbdddguq,G,302205.0,1.0,4.0,M,18.0,O,5.0,242246.0
Jhc7517,845.0,Havgczldcpfmwfzj,Monsanto,dpqgvuaoijmkxsesvililpxcrwqe,s,367555.0,1.0,1.0,S,79.0,O,1.0,1217660.0
dbq7518,645.0,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,Newfield Exploration,IHUGYGSRDWILVOFBAKUR,l,106025.0,4.0,5.0,M,36.0,U,7.0,1229655.0
Xch7519,495.0,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,Loews,aefotdcronamhkzsfpvifmobgchmsp,,106690.0,2.0,2.0,W,21.0,O,1.0,1157831.0
oir7520,371.0,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,Apache,jdeyqkerjerjpht,Z,29373.0,2.0,2.0,M,4.0,O,8.0,
Fqb7521,462.0,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,Robert Half International,Lwihnxoihqqrvjydsijd,O,168189.0,2.0,3.0,S,72.0,R,1.0,
qex7522,375.0,Rirmrpvlknyho,Viacom,nmnervucuk,,264756.0,,,S,1.0,U,7.0,3467922.0
Hpi7523,516.0,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,Robert Half International,hgjkxxbf,,44480.0,1.0,2.0,S,98.0,U,10.0,46859.0
Fjd7524,703.0,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,CSX,Zangtryzlhmxo,,87207.0,1.0,5.0,,35.0,R,,2937668.0
