indirizzo_id,attivo,negozio_id,indirizzo,data_creazione,cliente_id,codice_postale,distretto,nome,telefono,email,città_id,indirizzo2,cognome
154,1,2,781 Shimonoseki Drive,2006-02-14 22:04:36,150,95444,Michoacn de Ocampo,DANIELLE,632316273199,DANIELLE.DANIELS@sakilacustomer.org,202,,DANIELS
74,1,2,1124 Buenaventura Drive,2006-02-14 22:04:36,70,6856,Mekka,CHRISTINA,407733804223,CHRISTINA.RAMIREZ@sakilacustomer.org,13,,RAMIREZ
66,1,1,1717 Guadalajara Lane,2006-02-14 22:04:36,62,85505,Missouri,JOAN,914090181665,JOAN.COOPER@sakilacustomer.org,441,,COOPER
216,1,2,660 Jedda Boulevard,2006-02-14 22:04:36,212,25053,Washington,WILMA,168758068397,WILMA.RICHARDS@sakilacustomer.org,65,,RICHARDS
187,1,2,1839 Székesfehérvár Parkway,2006-02-14 22:04:36,183,55709,Gois,IDA,947468818183,IDA.ANDREWS@sakilacustomer.org,317,,ANDREWS
343,1,1,1443 Mardan Street,2006-02-14 22:04:37,338,31483,Western Cape,DENNIS,231383037471,DENNIS.GILMAN@sakilacustomer.org,392,,GILMAN
506,1,1,414 Mandaluyong Street,2006-02-14 22:04:37,501,16370,Lubelskie,RUBEN,52709222667,RUBEN.GEARY@sakilacustomer.org,314,,GEARY
424,1,1,1948 Bayugan Parkway,2006-02-14 22:04:37,419,60622,Bihar,CHAD,987306329957,CHAD.CARBONE@sakilacustomer.org,264,,CARBONE
567,1,2,1894 Boa Vista Way,2006-02-14 22:04:37,561,77464,Texas,IAN,239357986667,IAN.STILL@sakilacustomer.org,178,,STILL
370,1,2,1565 Tangail Manor,2006-02-14 22:04:37,365,45750,Okinawa,BRUCE,634445428822,BRUCE.SCHWARZ@sakilacustomer.org,377,,SCHWARZ
93,1,1,1926 El Alto Avenue,2006-02-14 22:04:36,89,75543,Buenos Aires,JULIA,846225459260,JULIA.FLORES@sakilacustomer.org,289,,FLORES
575,1,2,1052 Pathankot Avenue,2006-02-14 22:04:37,569,77397,Sichuan,DAVE,128499386727,DAVE.GARDINER@sakilacustomer.org,299,,GARDINER
503,1,1,1416 San Juan Bautista Tuxtepec Avenue,2006-02-14 22:04:37,498,50592,Zufar,GENE,144206758053,GENE.SANBORN@sakilacustomer.org,444,,SANBORN
35,1,2,33 Gorontalo Way,2006-02-14 22:04:36,31,30348,West Bengali,BRENDA,745994947458,BRENDA.WRIGHT@sakilacustomer.org,257,,WRIGHT
393,1,2,717 Changzhou Lane,2006-02-14 22:04:37,388,21615,Southern Tagalog,CRAIG,426255288071,CRAIG.MORRELL@sakilacustomer.org,104,,MORRELL
182,1,2,1891 Rizhao Boulevard,2006-02-14 22:04:36,178,47288,São Paulo,MARION,391065549876,MARION.SNYDER@sakilacustomer.org,456,,SNYDER
501,1,2,1060 Tandil Lane,2006-02-14 22:04:37,496,72349,Shandong,TYLER,211256301880,TYLER.WREN@sakilacustomer.org,432,,WREN
118,1,2,442 Rae Bareli Place,2006-02-14 22:04:36,114,24321,Nordrhein-Westfalen,GRACE,886636413768,GRACE.ELLIS@sakilacustomer.org,148,,ELLIS
455,1,1,1947 Paarl Way,2006-02-14 22:04:37,450,23636,Central Java,JAY,834061016202,JAY.ROBB@sakilacustomer.org,509,,ROBB
39,1,2,391 Callao Drive,2006-02-14 22:04:36,35,34021,Midi-Pyrnes,VIRGINIA,440512153169,VIRGINIA.GREEN@sakilacustomer.org,544,,GREEN
341,1,1,1920 Weifang Avenue,2006-02-14 22:04:37,336,15643,Uttar Pradesh,JOSHUA,869507847714,JOSHUA.MARK@sakilacustomer.org,427,,MARK
348,1,1,785 Vaduz Street,2006-02-14 22:04:37,343,36170,Baja California,DOUGLAS,895616862749,DOUGLAS.GRAF@sakilacustomer.org,335,,GRAF
577,1,2,1501 Pangkal Pinang Avenue,2006-02-14 22:04:37,571,943,Mazowieckie,JOHNNIE,770864062795,JOHNNIE.CHISHOLM@sakilacustomer.org,409,,CHISHOLM
125,1,1,211 Chiayi Drive,2006-02-14 22:04:36,121,58186,Uttar Pradesh,JOSEPHINE,665993880048,JOSEPHINE.GOMEZ@sakilacustomer.org,164,,GOMEZ
530,1,1,1003 Qinhuangdao Street,2006-02-14 22:04:37,524,25972,West Java,JARED,35533115997,JARED.ELY@sakilacustomer.org,419,,ELY
587,1,1,760 Miyakonojo Drive,2006-02-14 22:04:37,581,64682,Guerrero,VIRGIL,294449058179,VIRGIL.WOFFORD@sakilacustomer.org,246,,WOFFORD
273,1,1,1519 Ilorin Place,2006-02-14 22:04:36,268,49298,Kerala,NINA,357445645426,NINA.SOTO@sakilacustomer.org,395,,SOTO
88,1,2,125 Città del Vaticano Boulevard,2006-02-14 22:04:36,84,67912,Puebla,SARA,48417642933,SARA.PERRY@sakilacustomer.org,40,,PERRY
149,1,1,999 Sanaa Loop,2006-02-14 22:04:36,145,3439,Gauteng,LUCILLE,918032330119,LUCILLE.HOLMES@sakilacustomer.org,491,,HOLMES
157,1,2,456 Escobar Way,2006-02-14 22:04:36,153,36061,Jakarta Raya,SUZANNE,719202533520,SUZANNE.NICHOLS@sakilacustomer.org,232,,NICHOLS
290,1,1,1336 Benin City Drive,2006-02-14 22:04:37,285,46044,Shiga,MIRIAM,341242939532,MIRIAM.MCKINNEY@sakilacustomer.org,386,,MCKINNEY
24,1,2,1688 Okara Way,2006-02-14 22:04:36,20,21954,Nothwest Border Prov,SHARON,144453869132,SHARON.ROBINSON@sakilacustomer.org,327,,ROBINSON
253,1,2,1760 Oshawa Manor,2006-02-14 22:04:36,249,38140,Tianjin,DORA,56257502250,DORA.MEDINA@sakilacustomer.org,535,,MEDINA
