prospect_AgeID,prospect_Em,prospect_CrRat,prospect_PoCo,prospect_FirN,prospect_AdLi2,prospect_In,prospect_NumC,prospect_NuChil,prospect_MarSta,prospect_Ag,prospect_OwOReF,prospect_NumCrCar,prospect_NWor
PEL0,Brink's,760.0,T6b 1i1,Netti,,368776.0,,3.0,W,20.0,O,,1058868.0
LED1,,555.0,77281,TRUDY,APT. 624,177967.0,5.0,1.0,U,3.0,U,6.0,1988185.0
lat2,,566.0,91355,ireland,,321772.0,2.0,1.0,S,,O,6.0,3673128.0
RUD3,Air Products & Chemicals,,36615,Misti,,25449.0,2.0,1.0,W,77.0,O,3.0,2005895.0
JAY4,Oshkosh,815.0,t6a 1i3,sarena,Apt. 619,166567.0,0.0,3.0,M,21.0,O,4.0,624736.0
tod5,,333.0,A2b 1v3,Paulette,,43631.0,1.0,4.0,M,77.0,R,10.0,3064615.0
Kan6,VeraSun Energy,528.0,49513,AMALITA,,466230.0,4.0,0.0,,23.0,O,1.0,3489129.0
Din7,IDT,680.0,M5d 1v6,Ernesto,,420243.0,2.0,2.0,M,9.0,U,7.0,3430744.0
Thi8,Adams Resources & Energy,761.0,V6c 1q1,Toby,,141862.0,3.0,,U,63.0,O,10.0,1743614.0
May9,MGIC Investment,416.0,99716,evangelia,,402011.0,0.0,2.0,M,32.0,O,,216299.0
mah10,Iasis Healthcare,493.0,A2b 1w1,umakanth,,79928.0,2.0,2.0,M,96.0,O,9.0,1528641.0
Siz11,AMR,564.0,M5F 1W1,terrie,,109496.0,1.0,0.0,M,46.0,R,0.0,3752907.0
cra12,Embarq,817.0,95118,Mary-pat,,267901.0,1.0,4.0,U,6.0,U,0.0,582378.0
dac13,Advanced Micro Devices,653.0,H2f 1v7,Catherin,,487273.0,3.0,5.0,U,39.0,R,8.0,3458824.0
HIV14,Cenveo,587.0,19217,annissa,,34013.0,3.0,4.0,M,73.0,O,2.0,469408.0
Pes15,Kelly Services,472.0,21228,Amour,Apt. 290,473462.0,0.0,2.0,S,26.0,O,6.0,1504480.0
CHI16,Viacom,817.0,85097,jenica,,499493.0,5.0,4.0,M,54.0,O,4.0,2763009.0
Din17,Macy's,441.0,V6j 1q8,KATTIE,,266928.0,5.0,4.0,M,87.0,R,0.0,2787199.0
De 18,Gardner Denver,848.0,43207,Roselle,,72444.0,2.0,3.0,M,85.0,O,6.0,2789368.0
Mck19,Family Dollar Stores,843.0,V6t 1q8,arlyne,,77290.0,3.0,3.0,U,86.0,R,8.0,2784776.0
WIN20,,,94467,Rong-chin,,395066.0,2.0,0.0,U,59.0,R,,288747.0
BIT21,Sun Microsystems,300.0,94321,Darlleen,,119283.0,5.0,3.0,U,94.0,O,0.0,876575.0
luz22,Costco Wholesale,795.0,C2a 4w7,Radoslav,,330991.0,1.0,1.0,U,,O,8.0,2041224.0
don23,Illinois Tool Works,367.0,35808,Aryn,,,4.0,0.0,,5.0,U,5.0,2231509.0
Gia24,Southern Union,507.0,M5f 1v6,Allisan,,252031.0,1.0,5.0,M,23.0,O,1.0,3206409.0
SPR25,Moog,362.0,99539,Ammamaria,,101800.0,3.0,1.0,M,61.0,O,9.0,3850037.0
SKA26,Old Republic International,527.0,95055,Mari,,436977.0,0.0,1.0,D,,O,7.0,528440.0
Gar27,,354.0,93686,Anica,,495334.0,0.0,,S,51.0,O,0.0,597140.0
Dor28,Great Plains Energy,511.0,75218,Melba,,274685.0,1.0,1.0,M,97.0,O,1.0,146931.0
DIO29,Broadcom,412.0,91174,Tracee,,320820.0,2.0,2.0,,52.0,,7.0,353495.0
Mer30,Discover Financial Services,583.0,49515,CANADIAN,,195835.0,4.0,0.0,S,98.0,O,1.0,295647.0
Atc31,UAL,710.0,16506,Oue,,108085.0,5.0,3.0,U,47.0,O,5.0,408941.0
Pla32,Charles Schwab,380.0,94383,wallie,,260185.0,2.0,1.0,M,47.0,O,9.0,362523.0
SEL33,Coach,796.0,T6d 1b3,Andromache,,258323.0,0.0,0.0,M,9.0,R,2.0,2102359.0
sha34,DaVita,818.0,25339,THOR,,79476.0,1.0,3.0,M,85.0,U,2.0,3480265.0
MER35,Marshall & Ilsley Corp.,766.0,V6o 1v4,SALAH,,102156.0,5.0,3.0,M,81.0,U,3.0,3648900.0
con36,Cablevision Systems,359.0,01852,HOR-LAM,,221481.0,2.0,3.0,M,0.0,O,2.0,1161790.0
ons37,Barnes & Noble,401.0,78230,Vania,,41836.0,1.0,5.0,S,28.0,R,2.0,2050587.0
Sum38,EMC,609.0,93770,Niel,,72389.0,1.0,1.0,U,65.0,O,0.0,3579198.0
gro39,Fluor,630.0,m4l 1n4,ziad,,66486.0,3.0,0.0,S,20.0,O,2.0,889494.0
dil40,Dollar General,671.0,22335,Claude,Apt. 382,200185.0,3.0,1.0,M,55.0,O,9.0,2205682.0
DOL41,Lear,715.0,V6C 1T4,AVTAR,,289215.0,0.0,2.0,U,76.0,O,10.0,1140117.0
Pos42,J.P. Morgan Chase & Co.,707.0,M6t 1h3,Donny,,322484.0,4.0,1.0,M,1.0,O,9.0,1421319.0
Mac43,Affinia Group Intermediate,329.0,95263,Cocos,,83458.0,4.0,2.0,M,3.0,O,0.0,3525204.0
che44,,601.0,v5b 1p5,ruud,,,0.0,3.0,D,100.0,R,8.0,468976.0
hol45,Goldman Sachs Group,623.0,32318,Belvia,,492407.0,5.0,1.0,W,81.0,O,2.0,1685443.0
pfi46,E*Trade Financial,376.0,93872,ATHAR,,346630.0,4.0,4.0,S,76.0,O,2.0,337564.0
elk47,Pfizer,560.0,92824,Cherey,,9572.0,1.0,3.0,W,51.0,O,0.0,84777.0
Lab48,Safeway,693.0,e4a 1r2,RAZ,,265369.0,1.0,5.0,,,O,4.0,3146477.0
laf49,Simon Property Group,346.0,H7G 1V4,kishore,,104172.0,1.0,2.0,S,58.0,U,0.0,495277.0
Nor50,Trinity Industries,342.0,85039,Nelleke,,65550.0,0.0,3.0,M,52.0,O,0.0,746904.0
hag51,Solutia,563.0,v6m 1q3,sibby,,,2.0,0.0,M,91.0,R,8.0,1219620.0
Bet52,,391.0,X7j 1r1,ericha,,,2.0,3.0,M,17.0,O,4.0,1718910.0
Van53,A.O. Smith,381.0,B8b 1z5,Janson,,66244.0,4.0,4.0,S,6.0,O,8.0,
