prospect_mrtlstts,prospect_mplr,prospect_g,prospect_frstnm,prospect_ct,prospect_cntr,prospect_ncm,prospect_ddrssln2,prospect_nmbrcrdtcrds,prospect_wnrrntflg,prospect_ddrssln1,prospect_ntwrth,prospect_crdtrtng,prospect_pstlcd,prospect_gncd,prospect_phn,prospect_lstnm,prospect_mddlntl,prospect_nmbrcrs,prospect_nmbrchldrn,prospect_stt,prospect_gndr
U,FM Global,7.0,wbwsqgtaa,Baltimore,United States of America,94490.0,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,,U,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,321776.0,580.0,Guudshirvcu,Iok7501,1-637-119-9996,Iokwiqojocjanndatkdzgymym,n,3.0,,MO,
S,MGIC Investment,48.0,QGJWCPAPZMWHYHZTNOYSSOQBI,Kitchener,Canada,7037.0,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,2.0,R,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,2292324.0,683.0,wyggjewbe,tia7502,1-560-405-0048,tiabxgseasiibxakctfzhfwotp,,4.0,4.0,TX,M
M,Ross Stores,14.0,BHGXDDPUMBESLQMNEPREPTZNNKM,Saint John,,419269.0,Cdrxeolwrrxmwmhgexvcstvzz,2.0,O,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,969707.0,411.0,YMZRQICUTHT,AOI7503,1-261-306-5079,AOIWIWTIHIXOJ,u,1.0,5.0,CT,
W,,29.0,Xgnvppcxgfnmawlupgfa,Berkeley,United States of America,76681.0,WKSBVOFGJHQGAEKUYRZHHPH,9.0,U,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,3899461.0,818.0,Bcjuycmcen,PJQ7504,1-642-299-6655,PJQSPMBUHYQKBOZ,,4.0,5.0,UT,m
U,Alliance One International,69.0,Tfiozpstcftslqtwkgngiiwo,Missoula,United States of America,209116.0,skxijfqpzshmts,7.0,R,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,3749223.0,370.0,Nujxguyehf,SDV7505,,SDVLJWXENNGWCQMIW,,2.0,4.0,RI,
U,Sally Beauty Holdings,47.0,fbcahlrhhjoslfzqvvwwvhk,Salinas,,212203.0,ZETOHHRKIBHCQCKZODIXJJSXCFY,6.0,O,Ajpkrmtlcbdzr,3658531.0,833.0,Neigswk,Hga7506,1-388-257-4273,Hgakmykzeunwkiaxayulpwyxrcuev,F,0.0,0.0,DE,F
M,Wisconsin Energy,0.0,Dcgkohfcwyoaxckalqnkrzwq,San Jose,Canada,42018.0,LJXAXKUJXQBGWBHJJAAM,2.0,U,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,1738460.0,536.0,WNCEOQPLW,Beo7507,,Beotomyndkiqryllkvpavllytov,D,5.0,5.0,NM,M
S,Carpenter Technology,46.0,Vmnmcsinflxxmmifydckncc,Cleveland,United States of America,90446.0,Jmlgjkjbqhrudrkqrm,0.0,R,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,3307296.0,775.0,Cskdwtkf,Qum7508,1-632-118-1891,Qumxrssnd,,0.0,0.0,WV,
M,Liberty Mutual Insurance Group,6.0,Vrkbkkxkddtximspigmlbwzt,Huntington,United States of America,16274.0,Qqcilgblxyikgr,3.0,R,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,1816419.0,765.0,tcxswloetdt,Hud7509,1-853-806-4986,Hudlpfwjagzbnznyhamjkhbf,v,1.0,1.0,NH,
M,Black & Decker,22.0,RMWCTFTLSVTMCBI,Paterson,Canada,22215.0,Ahtohqjfzfarn,6.0,O,Ycltsquohmuugxihqyluhkoy,2599250.0,555.0,Fkpemasoukih,jba7510,1-220-687-2027,jbabemsfwdyeihxq,,5.0,2.0,WY,m
M,Interstate Bakeries,72.0,Zaijioc,Greensboro,United States of America,210038.0,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,3.0,O,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,490443.0,,NCEVKLQEEWTA,dgc7511,,dgcnbxfhc,,5.0,1.0,Saskatchewan,m
M,eBay,40.0,Mdwdjpdfmbqjaygkfqzqx,Concord,Canada,307402.0,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,9.0,O,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,3348923.0,318.0,DODDIDDHXS,lql7512,1-268-630-3843,lqlslgqsvyfxqnzuwbfg,,4.0,5.0,NE,
D,Boise,8.0,Ccbccgvldfvoqtzestvkwunn,Colorado Springs,United States of America,,ucxdpiwilpxxhv,4.0,R,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,331799.0,613.0,Oqnzttrldq,Wsk7513,1-915-548-9541,Wskjvrujdwku,,4.0,1.0,AR,m
U,MDU Resources Group,10.0,nyakrhdyxravdnhgbtol,Mobile,,432425.0,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,4.0,R,,1167013.0,786.0,Lwbawk,Ffs7514,1-536-880-0961,Ffshsiomkzjonhxjhunfsao,v,4.0,1.0,IL,
U,Freescale Semiconductor,24.0,NDNBTVCLKSC,Thousand Oaks,United States of America,122041.0,,10.0,O,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,3960216.0,,Ppsrzjdtg,Kvv7515,1-494-335-6022,Kvvverfkpazpzzkrqniixrhnw,F,0.0,3.0,VA,
M,Superior Energy Services,18.0,Zmstbluqkipzaojfsomtbdddguq,Rochester,United States of America,302205.0,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,5.0,O,,242246.0,623.0,,mpz7516,1-814-158-3550,mpzqnwnrmaozfsstcqtrc,G,1.0,4.0,ID,f
S,Monsanto,79.0,dpqgvuaoijmkxsesvililpxcrwqe,Garden Grove,United States of America,367555.0,Havgczldcpfmwfzj,1.0,O,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,1217660.0,845.0,,Jhc7517,1-420-580-0795,Jhcbaxyzijphmmvpampdgvgisnab,s,1.0,1.0,TX,F
M,Newfield Exploration,36.0,IHUGYGSRDWILVOFBAKUR,Tampa,United States of America,106025.0,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,7.0,U,rpikmvtgwsrsoehxgmxwypaueiaheabrf,1229655.0,645.0,Rxdsunq,dbq7518,1-924-305-1666,dbqcukoddoiwg,l,4.0,5.0,New Brunswick,M
W,Loews,21.0,aefotdcronamhkzsfpvifmobgchmsp,Fullerton,Canada,106690.0,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,1.0,O,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,1157831.0,495.0,JXHVEEOU,Xch7519,1-450-082-2122,Xchoxlbkffuvox,,2.0,2.0,Alberta,m
M,Apache,4.0,jdeyqkerjerjpht,Washington,Canada,29373.0,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,8.0,O,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,,371.0,XHJQCDPOO,oir7520,1-573-009-1404,oirfujtvl,Z,2.0,2.0,PA,m
S,Robert Half International,72.0,Lwihnxoihqqrvjydsijd,Norfolk,United States of America,168189.0,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,1.0,R,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,,462.0,rapkjpmvp,Fqb7521,1-603-897-9894,Fqbovz,O,2.0,3.0,Nova Scotia,M
S,Viacom,1.0,nmnervucuk,Sydney,United States of America,264756.0,Rirmrpvlknyho,7.0,U,Dmyivtczopuqajpnjqvvgbhxynvduub,3467922.0,375.0,Slskxm,qex7522,1-947-161-6502,qextfjyytqwbmdrlykbfnhvqrmota,,,,RI,
S,Robert Half International,98.0,hgjkxxbf,Winnipeg,Canada,44480.0,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,10.0,U,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,46859.0,516.0,FXHXLG,Hpi7523,1-586-826-9847,Hpiedhvkedqqdxsoedt,,1.0,2.0,OR,
,CSX,35.0,Zangtryzlhmxo,Wilmington,Canada,87207.0,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,,R,Esuycdxsjfbrqbtluspxsehk,2937668.0,703.0,ovlziicdezok,Fjd7524,1-217-243-2668,Fjdafgbcrml,,1.0,5.0,CA,
W,Country Financial Services,99.0,FFJGEQD,El Monte,United States of America,238434.0,Rpzwirgfyiw,7.0,O,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,2388613.0,734.0,jsxcpvao,Cgt7525,1-857-211-5728,Cgtcmbl,,4.0,2.0,MO,
