prospect_gncd,prospect_frstnm,prospect_phn,prospect_nmbrcrs,prospect_stt,prospect_ct,prospect_nmbrchldrn,prospect_mrtlstts,prospect_g,prospect_crdtrtng,prospect_wnrrntflg,prospect_mplr,prospect_nmbrcrdtcrds,prospect_ntwrth
Iok7501,wbwsqgtaa,1-637-119-9996,3.0,MO,Baltimore,,U,7.0,580.0,U,FM Global,,321776.0
tia7502,QGJWCPAPZMWHYHZTNOYSSOQBI,1-560-405-0048,4.0,TX,Kitchener,4.0,S,48.0,683.0,R,MGIC Investment,2.0,2292324.0
AOI7503,BHGXDDPUMBESLQMNEPREPTZNNKM,1-261-306-5079,1.0,CT,Saint John,5.0,M,14.0,411.0,O,Ross Stores,2.0,969707.0
PJQ7504,Xgnvppcxgfnmawlupgfa,1-642-299-6655,4.0,UT,Berkeley,5.0,W,29.0,818.0,U,,9.0,3899461.0
SDV7505,Tfiozpstcftslqtwkgngiiwo,,2.0,RI,Missoula,4.0,U,69.0,370.0,R,Alliance One International,7.0,3749223.0
Hga7506,fbcahlrhhjoslfzqvvwwvhk,1-388-257-4273,0.0,DE,Salinas,0.0,U,47.0,833.0,O,Sally Beauty Holdings,6.0,3658531.0
Beo7507,Dcgkohfcwyoaxckalqnkrzwq,,5.0,NM,San Jose,5.0,M,0.0,536.0,U,Wisconsin Energy,2.0,1738460.0
Qum7508,Vmnmcsinflxxmmifydckncc,1-632-118-1891,0.0,WV,Cleveland,0.0,S,46.0,775.0,R,Carpenter Technology,0.0,3307296.0
Hud7509,Vrkbkkxkddtximspigmlbwzt,1-853-806-4986,1.0,NH,Huntington,1.0,M,6.0,765.0,R,Liberty Mutual Insurance Group,3.0,1816419.0
jba7510,RMWCTFTLSVTMCBI,1-220-687-2027,5.0,WY,Paterson,2.0,M,22.0,555.0,O,Black & Decker,6.0,2599250.0
dgc7511,Zaijioc,,5.0,Saskatchewan,Greensboro,1.0,M,72.0,,O,Interstate Bakeries,3.0,490443.0
lql7512,Mdwdjpdfmbqjaygkfqzqx,1-268-630-3843,4.0,NE,Concord,5.0,M,40.0,318.0,O,eBay,9.0,3348923.0
Wsk7513,Ccbccgvldfvoqtzestvkwunn,1-915-548-9541,4.0,AR,Colorado Springs,1.0,D,8.0,613.0,R,Boise,4.0,331799.0
Ffs7514,nyakrhdyxravdnhgbtol,1-536-880-0961,4.0,IL,Mobile,1.0,U,10.0,786.0,R,MDU Resources Group,4.0,1167013.0
