gncd,cntr,ntwrth,ddrssln2,phn,mplr,ncm,nmbrcrdtcrds,mddlntl,wnrrntflg,frstnm,stt,nmbrcrs,nmbrchldrn,mrtlstts,g,crdtrtng
PEL0,United States of America,1058868.0,,1-712-522-6088,Brink's,368776.0,,,O,Netti,MA,,3.0,W,20.0,760.0
LED1,United States of America,1988185.0,APT. 624,1-626-426-4298,,177967.0,6.0,,U,TRUDY,PA,5.0,1.0,U,3.0,555.0
lat2,United States of America,3673128.0,,1-524-787-8784,,321772.0,6.0,,O,ireland,Alberta,2.0,1.0,S,,566.0
RUD3,Canada,2005895.0,,1-741-997-1688,Air Products & Chemicals,25449.0,3.0,,O,Misti,AR,2.0,1.0,W,77.0,
JAY4,Canada,624736.0,Apt. 619,1-002-194-1991,Oshkosh,166567.0,4.0,M,O,sarena,OR,0.0,3.0,M,21.0,815.0
tod5,United States of America,3064615.0,,1-441-371-7651,,43631.0,10.0,Z,R,Paulette,VA,1.0,4.0,M,77.0,333.0
Kan6,Canada,3489129.0,,1-957-940-5980,VeraSun Energy,466230.0,1.0,R,O,AMALITA,OH,4.0,0.0,,23.0,528.0
Din7,United States of America,3430744.0,,1-768-633-4096,IDT,420243.0,7.0,Z,U,Ernesto,Prince Edward Island,2.0,2.0,M,9.0,680.0
Thi8,United States of America,1743614.0,,1-107-689-2155,Adams Resources & Energy,141862.0,10.0,,O,Toby,NV,3.0,,U,63.0,761.0
May9,United States of America,216299.0,,1-173-594-6096,MGIC Investment,402011.0,,,O,evangelia,Ontario,0.0,2.0,M,32.0,416.0
mah10,Canada,1528641.0,,1-561-520-0611,Iasis Healthcare,79928.0,9.0,U,O,umakanth,TX,2.0,2.0,M,96.0,493.0
Siz11,United States of America,3752907.0,,1-730-406-9727,AMR,109496.0,0.0,,R,terrie,NE,1.0,0.0,M,46.0,564.0
cra12,United States of America,582378.0,,,Embarq,267901.0,0.0,,U,Mary-pat,AR,1.0,4.0,U,6.0,817.0
dac13,United States of America,3458824.0,,1-207-867-4589,Advanced Micro Devices,487273.0,8.0,,R,Catherin,MI,3.0,5.0,U,39.0,653.0
HIV14,United States of America,469408.0,,1-478-629-9641,Cenveo,34013.0,2.0,W,O,annissa,MA,3.0,4.0,M,73.0,587.0
Pes15,United States of America,1504480.0,Apt. 290,1-026-208-8595,Kelly Services,473462.0,6.0,,O,Amour,TN,0.0,2.0,S,26.0,472.0
CHI16,Canada,2763009.0,,1-432-681-4853,Viacom,499493.0,4.0,,O,jenica,TN,5.0,4.0,M,54.0,817.0
Din17,United States of America,2787199.0,,,Macy's,266928.0,0.0,,R,KATTIE,OK,5.0,4.0,M,87.0,441.0
De 18,United States of America,2789368.0,,1-357-207-6320,Gardner Denver,72444.0,6.0,M,O,Roselle,Ontario,2.0,3.0,M,85.0,848.0
Mck19,United States of America,2784776.0,,1-462-774-1277,Family Dollar Stores,77290.0,8.0,,R,arlyne,KY,3.0,3.0,U,86.0,843.0
WIN20,United States of America,288747.0,,1-702-382-2898,,395066.0,,P,R,Rong-chin,PA,2.0,0.0,U,59.0,
BIT21,United States of America,876575.0,,1-909-554-7120,Sun Microsystems,119283.0,0.0,,O,Darlleen,MD,5.0,3.0,U,94.0,300.0
luz22,United States of America,2041224.0,,1-752-296-7940,Costco Wholesale,330991.0,8.0,V,O,Radoslav,TX,1.0,1.0,U,,795.0
don23,United States of America,2231509.0,,1-995-554-5056,Illinois Tool Works,,5.0,S,U,Aryn,IN,4.0,0.0,,5.0,367.0
Gia24,United States of America,3206409.0,,1-090-303-3807,Southern Union,252031.0,1.0,T,O,Allisan,MD,1.0,5.0,M,23.0,507.0
SPR25,United States of America,3850037.0,,1-492-968-0932,Moog,101800.0,9.0,,O,Ammamaria,KY,3.0,1.0,M,61.0,362.0
SKA26,United States of America,528440.0,,1-960-227-2020,Old Republic International,436977.0,7.0,,O,Mari,CA,0.0,1.0,D,,527.0
Gar27,United States of America,597140.0,,1-431-122-8597,,495334.0,0.0,,O,Anica,FL,0.0,,S,51.0,354.0
Dor28,United States of America,146931.0,,1-822-836-7200,Great Plains Energy,274685.0,1.0,,O,Melba,Newfoundland,1.0,1.0,M,97.0,511.0
DIO29,United States of America,353495.0,,1-530-117-0497,Broadcom,320820.0,7.0,X,,Tracee,TX,2.0,2.0,,52.0,412.0
Mer30,Canada,295647.0,,1-051-257-2719,Discover Financial Services,195835.0,1.0,,O,CANADIAN,WA,4.0,0.0,S,98.0,583.0
Atc31,United States of America,408941.0,,1-171-989-1363,UAL,108085.0,5.0,R,O,Oue,MN,5.0,3.0,U,47.0,710.0
