State,NumberCreditCards,AgencyID,LastName,Age,AddressLine1,OwnOrRentFlag,MiddleInitial,Country,CreditRating,Income,NetWorth,NumberChildren,MaritalStatus,Gender,NumberCars,City,PostalCode,AddressLine2,Employer,Phone,FirstName
MA,,PEL0,PELLAND,20.0,21847 olympia street,O,,United States of America,760.0,368776.0,1058868.0,3.0,W,f,,Fairbanks,T6b 1i1,,Brink's,1-712-522-6088,Netti
PA,6.0,LED1,LEDUC,3.0,245 congress court,U,,United States of America,555.0,177967.0,1988185.0,1.0,U,F,5.0,Quebec,77281,APT. 624,,1-626-426-4298,TRUDY
Alberta,6.0,lat2,latif,,6517 frailing west,O,,United States of America,566.0,321772.0,3673128.0,1.0,S,,2.0,Henderson,91355,,,1-524-787-8784,ireland
AR,3.0,RUD3,RUDDICK,77.0,11449 blalock park,O,,Canada,,25449.0,2005895.0,1.0,W,,2.0,Salem,36615,,Air Products & Chemicals,1-741-997-1688,Misti
OR,4.0,JAY4,JAYAMANNE,21.0,18354 dodd court,O,M,Canada,815.0,166567.0,624736.0,3.0,M,f,0.0,Toledo,t6a 1i3,Apt. 619,Oshkosh,1-002-194-1991,sarena
VA,10.0,tod5,todo,77.0,14117 roxboro street,R,Z,United States of America,333.0,43631.0,3064615.0,4.0,M,M,1.0,Corpus Christi,A2b 1v3,,,1-441-371-7651,Paulette
OH,1.0,Kan6,Kanno,23.0,24697 FLORENCE WEST,O,R,Canada,528.0,466230.0,3489129.0,0.0,,m,4.0,Salt Lake City,49513,,VeraSun Energy,1-957-940-5980,AMALITA
Prince Edward Island,7.0,Din7,Dinkel,9.0,6488 applewood drive,U,Z,United States of America,680.0,420243.0,3430744.0,2.0,M,,2.0,Brownsville,M5d 1v6,,IDT,1-768-633-4096,Ernesto
NV,10.0,Thi8,Thibodeaux,63.0,17404 gale court,O,,United States of America,761.0,141862.0,1743614.0,,U,,3.0,Escondido,V6c 1q1,,Adams Resources & Energy,1-107-689-2155,Toby
Ontario,,May9,Mayo,32.0,15913 alexis street,O,,United States of America,416.0,402011.0,216299.0,2.0,M,,0.0,Los Angeles,99716,,MGIC Investment,1-173-594-6096,evangelia
TX,9.0,mah10,mahendra,96.0,18313 5th lane,O,U,Canada,493.0,79928.0,1528641.0,2.0,M,,2.0,West Covina,A2b 1w1,,Iasis Healthcare,1-561-520-0611,umakanth
NE,0.0,Siz11,Sizto,46.0,13653 collier avenue,R,,United States of America,564.0,109496.0,3752907.0,0.0,M,,1.0,San Buenaventura,M5F 1W1,,AMR,1-730-406-9727,terrie
AR,0.0,cra12,crawley,6.0,15306 pike park,U,,United States of America,817.0,267901.0,582378.0,4.0,U,,1.0,Lexington,95118,,Embarq,,Mary-pat
MI,8.0,dac13,dacal,39.0,1540 crestmere north,R,,United States of America,653.0,487273.0,3458824.0,5.0,U,m,3.0,Hay River,H2f 1v7,,Advanced Micro Devices,1-207-867-4589,Catherin
MA,2.0,HIV14,HIVELY,73.0,10790 bonita crescent,O,W,United States of America,587.0,34013.0,469408.0,4.0,M,,3.0,Toronto,19217,,Cenveo,1-478-629-9641,annissa
TN,6.0,Pes15,Peschke,26.0,24679 AIRPORT CRESCENT,O,,United States of America,472.0,473462.0,1504480.0,2.0,S,,0.0,Denver,21228,Apt. 290,Kelly Services,1-026-208-8595,Amour
TN,4.0,CHI16,CHILDERHOSE,54.0,7627 douglas road,O,,Canada,817.0,499493.0,2763009.0,4.0,M,,5.0,St. Paul,85097,,Viacom,1-432-681-4853,jenica
OK,0.0,Din17,Dinnin,87.0,6106 ashland east,R,,United States of America,441.0,266928.0,2787199.0,4.0,M,,5.0,Bellevue,V6j 1q8,,Macy's,,KATTIE
Ontario,6.0,De 18,De witte,85.0,1111 norden street,O,M,United States of America,848.0,72444.0,2789368.0,3.0,M,,2.0,Detroit,43207,,Gardner Denver,1-357-207-6320,Roselle
KY,8.0,Mck19,Mckeegan,86.0,2798 1st east,R,,United States of America,843.0,77290.0,2784776.0,3.0,U,m,3.0,Omaha,V6t 1q8,,Family Dollar Stores,1-462-774-1277,arlyne
PA,,WIN20,WINTERS,59.0,11358 elle lee street,R,P,United States of America,,395066.0,288747.0,0.0,U,M,2.0,Costa Mesa,94467,,,1-702-382-2898,Rong-chin
MD,0.0,BIT21,BITTMAN,94.0,21074 MALLORY LOWER,O,,United States of America,300.0,119283.0,876575.0,3.0,U,,5.0,Berkeley,94321,,Sun Microsystems,1-909-554-7120,Darlleen
TX,8.0,luz22,luzarraga,,16124 weyland park,O,V,United States of America,795.0,330991.0,2041224.0,1.0,U,f,1.0,St. Louis,C2a 4w7,,Costco Wholesale,1-752-296-7940,Radoslav
IN,5.0,don23,donovan,5.0,23822 marvin crescent,U,S,United States of America,367.0,,2231509.0,0.0,,,4.0,Colorado Springs,35808,,Illinois Tool Works,1-995-554-5056,Aryn
MD,1.0,Gia24,Giallo,23.0,2203 valita boulevard,O,T,United States of America,507.0,252031.0,3206409.0,5.0,M,,1.0,Fontana,M5f 1v6,,Southern Union,1-090-303-3807,Allisan
KY,9.0,SPR25,SPRUELL,61.0,11538 COLLINWOOD AVENUE,O,,United States of America,362.0,101800.0,3850037.0,1.0,M,M,3.0,St. Catharines,99539,,Moog,1-492-968-0932,Ammamaria
CA,7.0,SKA26,SKALSKI,,7818 EAST STREET,O,,United States of America,527.0,436977.0,528440.0,1.0,D,F,0.0,Hayward,95055,,Old Republic International,1-960-227-2020,Mari
FL,0.0,Gar27,Gargul,51.0,10013 shaw road,O,,United States of America,354.0,495334.0,597140.0,,S,m,0.0,Palmdale,93686,,,1-431-122-8597,Anica
Newfoundland,1.0,Dor28,Dore,97.0,6802 AMES STREET,O,,United States of America,511.0,274685.0,146931.0,1.0,M,,1.0,Phoenix,75218,,Great Plains Energy,1-822-836-7200,Melba
TX,7.0,DIO29,DIOGO,52.0,22501 SUMMIT RUE,,X,United States of America,412.0,320820.0,353495.0,2.0,,,2.0,Gary,91174,,Broadcom,1-530-117-0497,Tracee
WA,1.0,Mer30,Merrick,98.0,291 frances rue,O,,Canada,583.0,195835.0,295647.0,0.0,S,m,4.0,Beaumont,49515,,Discover Financial Services,1-051-257-2719,CANADIAN
MN,5.0,Atc31,Atchison,47.0,16264 sanders east,O,R,United States of America,710.0,108085.0,408941.0,3.0,U,,5.0,Nashua,16506,,UAL,1-171-989-1363,Oue
WY,9.0,Pla32,Plamondon,47.0,16068 cantey way,O,X,United States of America,380.0,260185.0,362523.0,1.0,M,m,2.0,San Jose,94383,,Charles Schwab,1-042-705-3246,wallie
NY,2.0,SEL33,SELCHOW,9.0,21170 EDLOE BOULEVARD,R,E,United States of America,796.0,258323.0,2102359.0,0.0,M,F,0.0,Nashua,T6d 1b3,,Coach,1-098-328-2026,Andromache
SC,2.0,sha34,shane,85.0,885 CROSBY LANE,U,Z,United States of America,818.0,79476.0,3480265.0,3.0,M,f,1.0,Fort Smith,25339,,DaVita,1-209-754-5635,THOR
MS,3.0,MER35,MERWIN,81.0,12235 jay street,U,,United States of America,766.0,102156.0,3648900.0,3.0,M,,5.0,Lancaster,V6o 1v4,,Marshall & Ilsley Corp.,1-498-781-3456,SALAH
UT,2.0,con36,conrad,0.0,20340 LOMBARD CRESCENT,O,,United States of America,359.0,221481.0,1161790.0,3.0,M,,2.0,Colorado Springs,01852,,Cablevision Systems,1-615-241-0440,HOR-LAM
PA,2.0,ons37,onsiteteam,28.0,22074 dexter upper,R,,United States of America,401.0,41836.0,2050587.0,5.0,S,M,1.0,Washington,78230,,Barnes & Noble,1-995-449-5200,Vania
OK,0.0,Sum38,Summerlin,65.0,1540 MURIE RUE,O,,Canada,609.0,72389.0,3579198.0,1.0,U,M,1.0,Lowell,93770,,EMC,1-295-673-4452,Niel
WY,2.0,gro39,grooms,20.0,7075 glen loch drive,O,F,United States of America,630.0,66486.0,889494.0,0.0,S,,3.0,Frederick,m4l 1n4,,Fluor,1-914-675-2986,ziad
RI,9.0,dil40,dilkie,55.0,11237 balmoral way,O,I,United States of America,671.0,200185.0,2205682.0,1.0,M,,3.0,Mesa,22335,Apt. 382,Dollar General,,Claude
HI,10.0,DOL41,DOLSON,76.0,8316 GARDEN BROOK NORTH,O,,United States of America,715.0,289215.0,1140117.0,2.0,U,,0.0,Lakewood,V6C 1T4,,Lear,1-825-739-0336,AVTAR
VA,9.0,Pos42,Posthumus,1.0,2240 clifton lower,O,,United States of America,707.0,322484.0,1421319.0,1.0,M,,4.0,Cleveland,M6t 1h3,,J.P. Morgan Chase & Co.,1-956-713-3802,Donny
OK,0.0,Mac43,Machika,3.0,20907 NOTINGHAM LOWER,O,,United States of America,329.0,83458.0,3525204.0,2.0,M,,4.0,Grand Rapids,95263,,Affinia Group Intermediate,1-814-932-1579,Cocos
Prince Edward Island,8.0,che44,chenoweth,100.0,601 carroll lower,R,,United States of America,601.0,,468976.0,3.0,D,,0.0,Peoria,v5b 1p5,,,1-135-443-7282,ruud
