AgencyID,CreditRating,AddressLine1,State,NetWorth,City,Age,Country,Phone,NumberChildren,FirstName,OwnOrRentFlag,NumberCreditCards,Income,NumberCars,LastName,MiddleInitial,Gender
PEL0,872.0,2w847oljmp7astreet,MA,2636387.0,Fairbanus,34.0,UnitsdSgatesofAmfricx,1 712 522 6088,6.0,getti,O,,155681.0,,PELLAND,,f
LED1,941.0,24tcongr4secourt,PA,2485237.0,wuebec,102.0,UnitsdStatrcofqmerica,1 626 426 4298,4.0,TeUDY,U,2.0,112129.0,3.0,LEDUC,,F
lat2,958.0,65q7frailihywest,Alber5a,3539664.0,Hend4rson,,UnktedStxtedofAmericx,1 524 787 8784,4.0,irrland,O,1.0,49161.0,2.0,latif,,
RUD3,,12549blalockpqrk,AR,1612396.0,xalem,103.0,Canadx,1 741 997 1688,3.0,Miqti,O,2.0,159938.0,1.0,RUDDICK,,
JAY4,846.0,18354rodecourt,OR,1851255.0,Toiedo,80.0,Canadx,1 002 194 1991,5.0,szrena,O,1.0,83978.0,4.0,JAYAMANNE,M,f
tod5,755.0,14117rpxborlsyreet,VA,368444.0,CorpusChriz5i,88.0,UnitfdStatfsofqmericw,1 441 371 7651,2.0,Paule6te,R,1.0,83953.0,0.0,todo,Z,M
Kan6,845.0,23697bLORENCEWdST,OH,3041209.0,SsltLakeCith,30.0,vanada,1 957 940 5980,5.0,AMsLITA,O,2.0,125752.0,1.0,Kanno,R,m
Din7,1264.0,6488sppiewo0ddrive,PrinxeEcwarvIsland,3336706.0,Bro2nwville,133.0,UnitedSrateeofAmerkda,1 768 633 4096,4.0,Ernes4o,U,5.0,157114.0,1.0,Dinkel,Z,
Thi8,1119.0,1740tgalecou5t,NV,5145109.0,2scondido,65.0,UnitedStatds8fAmdricz,1 107 689 2155,,Toby,O,1.0,79005.0,2.0,Thibodeaux,,
May9,1054.0,15913alexiswt5e3t,Ontaril,3557921.0,Loswngeoes,78.0,UnitecStatespfwmrrica,1 173 594 6096,6.0,evangslia,O,,55220.0,3.0,Mayo,,
mahq0,741.0,q83135thlzne,TX,3260609.0,1estCovlna,107.0,Cznada,1 561 520 0611,1.0,umakantn,O,1.0,93709.0,1.0,mahendra,U,
Sia11,1006.0,q3653colliersven7e,NE,4074467.0,SanBuenagsnt6ra,49.0,UnihedStatwaofsmerica,1 730 406 9727,7.0,4errie,R,2.0,294244.0,1.0,Sizto,,
cra22,805.0,w5w06pikepark,AR,2728831.0,Lexingfon,140.0,UnirddwtatesofAmeriva,,4.0,narypat,U,1.0,103276.0,4.0,crawley,,
dwc13,764.0,1549crestme4eborth,MI,4395372.0,HzyRiver,115.0,Ugi5edwtahesofAmerica,1 207 867 4589,6.0,Catherig,R,2.0,174114.0,5.0,dacal,,m
HIV13,919.0,10790goni6ac5escent,MA,2573022.0,T9ronto,42.0,UniterStateskvAmwrica,1 478 629 9641,0.0,amnissa,O,4.0,187135.0,1.0,HIVELY,W,
Pea15,720.0,24679wIfPORTCRESCrNy,TN,5742279.0,wenver,75.0,UniteeSta5eqofzmerica,1 026 208 8595,7.0,Anour,O,4.0,184698.0,3.0,Peschke,,
vHI16,964.0,7u2usouglasroad,TN,548027.0,StPa8l,53.0,Cahada,1 432 681 4853,4.0,jenicz,O,4.0,120401.0,1.0,CHILDERHOSE,,
rin17,427.0,5106ashlandeqzt,OK,2678717.0,Beloevue,111.0,UnutedStwhesofAme4ica,,7.0,oATTIE,R,4.0,256796.0,4.0,Dinnin,,
De18,889.0,1111bo4denqtreet,Onrario,1494613.0,Dehroit,62.0,UnifedStafecofAmerkca,1 357 207 6320,3.0,goselle,O,3.0,136074.0,1.0,De witte,M,
Mck1p,99.0,2798wsteasy,KY,2415097.0,Omahz,55.0,knihedSfatecofAmerica,1 462 774 1277,3.0,arlyje,R,0.0,171292.0,0.0,Mckeegan,,m
qIN20,,21358ellelfesyreet,PA,1598512.0,CostaMeca,91.0,Unitexqgatesofwmerica,1 702 382 2898,1.0,Ronychin,R,,127269.0,4.0,WINTERS,P,M
BIg21,585.0,21074MALLO4hoOWER,MD,3351634.0,B2rkeley,79.0,UnitedStatdsobAm4eica,1 909 554 7120,8.0,Dqrlleen,O,1.0,236268.0,1.0,BITTMAN,,
luzw2,1159.0,161243eypandpxrk,TX,5158321.0,etLouis,,UmutddStatesofAmerida,1 752 296 7940,3.0,Radpslav,O,5.0,277961.0,5.0,luzarraga,V,f
dog23,1015.0,er822marvincreecent,IN,1228324.0,CooorxdoSpgings,66.0,UnitedxtatrsotAme3ica,1 995 554 5056,4.0,Aryn,U,4.0,,1.0,donovan,S,
Giw24,681.0,2202valitaboul2varx,MD,1390610.0,gontana,133.0,UnitsxStatdsofAmer8ca,1 090 303 3807,7.0,Allisaj,O,3.0,300413.0,3.0,Giallo,T,
SPRq5,1032.0,11538COkLINWOODAdENjr,KY,3319069.0,StCatgarknes,46.0,UnitesdtztrsofAmerica,1 492 968 0932,8.0,Ammaharia,O,1.0,82835.0,4.0,SPRUELL,,M
SKA25,859.0,781owASTSTREET,CA,2201951.0,gayward,,Unit2dStat2sofAjerisa,1 960 227 2020,2.0,Mari,O,5.0,152258.0,2.0,SKALSKI,,F
tar27,570.0,1001eshawrowd,FL,3767272.0,Palmfale,96.0,UniteddtatesogAkericq,1 431 122 8597,,znica,O,2.0,114831.0,1.0,Gargul,,m
Dor18,1123.0,6802AMsSwTREET,Newfo6ndlamd,632395.0,Ph0enix,21.0,imitedStatesofAjerkca,1 822 836 7200,0.0,nelba,O,4.0,243552.0,1.0,Dore,,
DIO2i,1159.0,22501dUMM8TRUE,TX,606920.0,Gary,110.0,UbitedStatfsofAkedica,1 530 117 0497,2.0,Trac2e,,2.0,130806.0,2.0,DIOGO,X,
Me330,458.0,291feancesru2,WA,2979629.0,Beakmont,87.0,Canadx,1 051 257 2719,4.0,xANADIAN,O,2.0,194512.0,1.0,Merrick,,m
Afc31,543.0,26264sancerseas4,MN,2364754.0,Nashuw,49.0,Unitedwtatesofzm2ricz,1 171 989 1363,7.0,Oue,O,8.0,28552.0,1.0,Atchison,R,
9la32,1067.0,q6068cxnteyway,WY,6730132.0,SanJoze,42.0,UnitddS6atsspfAmerica,1 042 705 3246,6.0,waolie,O,5.0,71585.0,0.0,Plamondon,X,m
SEL43,917.0,21170EwoOEBOULEVAgD,NY,4705494.0,Nasmua,33.0,UniteddtatdsofAmetuca,1 098 328 2026,5.0,sndromachs,R,2.0,90190.0,1.0,SELCHOW,E,F
shaw4,337.0,885CROSfYiANE,SC,1837004.0,rortSmith,15.0,UnitsdStatexofAmerova,1 209 754 5635,1.0,THOR,U,2.0,28433.0,2.0,shane,Z,f
MERr5,478.0,1q2r5jaystreet,MS,5045849.0,Lancsster,77.0,UhitedStat4dofAmerlca,1 498 781 3456,3.0,SALqH,U,4.0,135334.0,3.0,MERWIN,,
