AgencyID,MaritalStatus,OwnOrRentFlag,NetWorth,NumberChildren,City,MiddleInitial,Phone,Gender,CreditRating,NumberCars,NumberCreditCards,Age,Country,PostalCode,AddressLine2,State,Income,Employer
Iok7501,U,U,321776.0,,Baltimore,n,1-637-119-9996,,580.0,3.0,,7.0,United States of America,Guudshirvcu,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,MO,94490.0,FM Global
tia7502,S,R,2292324.0,4.0,Kitchener,,1-560-405-0048,M,683.0,4.0,2.0,48.0,Canada,wyggjewbe,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,TX,7037.0,MGIC Investment
AOI7503,M,O,969707.0,5.0,Saint John,u,1-261-306-5079,,411.0,1.0,2.0,14.0,,YMZRQICUTHT,Cdrxeolwrrxmwmhgexvcstvzz,CT,419269.0,Ross Stores
PJQ7504,W,U,3899461.0,5.0,Berkeley,,1-642-299-6655,m,818.0,4.0,9.0,29.0,United States of America,Bcjuycmcen,WKSBVOFGJHQGAEKUYRZHHPH,UT,76681.0,
SDV7505,U,R,3749223.0,4.0,Missoula,,,,370.0,2.0,7.0,69.0,United States of America,Nujxguyehf,skxijfqpzshmts,RI,209116.0,Alliance One International
Hga7506,U,O,3658531.0,0.0,Salinas,F,1-388-257-4273,F,833.0,0.0,6.0,47.0,,Neigswk,ZETOHHRKIBHCQCKZODIXJJSXCFY,DE,212203.0,Sally Beauty Holdings
Beo7507,M,U,1738460.0,5.0,San Jose,D,,M,536.0,5.0,2.0,0.0,Canada,WNCEOQPLW,LJXAXKUJXQBGWBHJJAAM,NM,42018.0,Wisconsin Energy
Qum7508,S,R,3307296.0,0.0,Cleveland,,1-632-118-1891,,775.0,0.0,0.0,46.0,United States of America,Cskdwtkf,Jmlgjkjbqhrudrkqrm,WV,90446.0,Carpenter Technology
Hud7509,M,R,1816419.0,1.0,Huntington,v,1-853-806-4986,,765.0,1.0,3.0,6.0,United States of America,tcxswloetdt,Qqcilgblxyikgr,NH,16274.0,Liberty Mutual Insurance Group
jba7510,M,O,2599250.0,2.0,Paterson,,1-220-687-2027,m,555.0,5.0,6.0,22.0,Canada,Fkpemasoukih,Ahtohqjfzfarn,WY,22215.0,Black & Decker
dgc7511,M,O,490443.0,1.0,Greensboro,,,m,,5.0,3.0,72.0,United States of America,NCEVKLQEEWTA,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,Saskatchewan,210038.0,Interstate Bakeries
lql7512,M,O,3348923.0,5.0,Concord,,1-268-630-3843,,318.0,4.0,9.0,40.0,Canada,DODDIDDHXS,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,NE,307402.0,eBay
Wsk7513,D,R,331799.0,1.0,Colorado Springs,,1-915-548-9541,m,613.0,4.0,4.0,8.0,United States of America,Oqnzttrldq,ucxdpiwilpxxhv,AR,,Boise
Ffs7514,U,R,1167013.0,1.0,Mobile,v,1-536-880-0961,,786.0,4.0,4.0,10.0,,Lwbawk,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,IL,432425.0,MDU Resources Group
Kvv7515,U,O,3960216.0,3.0,Thousand Oaks,F,1-494-335-6022,,,0.0,10.0,24.0,United States of America,Ppsrzjdtg,,VA,122041.0,Freescale Semiconductor
mpz7516,M,O,242246.0,4.0,Rochester,G,1-814-158-3550,f,623.0,1.0,5.0,18.0,United States of America,,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,ID,302205.0,Superior Energy Services
Jhc7517,S,O,1217660.0,1.0,Garden Grove,s,1-420-580-0795,F,845.0,1.0,1.0,79.0,United States of America,,Havgczldcpfmwfzj,TX,367555.0,Monsanto
dbq7518,M,U,1229655.0,5.0,Tampa,l,1-924-305-1666,M,645.0,4.0,7.0,36.0,United States of America,Rxdsunq,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,New Brunswick,106025.0,Newfield Exploration
Xch7519,W,O,1157831.0,2.0,Fullerton,,1-450-082-2122,m,495.0,2.0,1.0,21.0,Canada,JXHVEEOU,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,Alberta,106690.0,Loews
