district,last_name,customer_id,address,create_date,active,first_name,postal_code,city_id,address2,phone,email,store_id,address_id
Nagasaki,SMITH,1,1913 Hanoi Way,2006-02-14 22:04:36,1,MARY,35200,463,,28303384290,MARY.SMITH@sakilacustomer.org,1,5
California,JOHNSON,2,1121 Loja Avenue,2006-02-14 22:04:36,1,PATRICIA,17886,449,,838635286649,PATRICIA.JOHNSON@sakilacustomer.org,1,6
Attika,WILLIAMS,3,692 Joliet Street,2006-02-14 22:04:36,1,LINDA,83579,38,,448477190408,LINDA.WILLIAMS@sakilacustomer.org,1,7
Mandalay,JONES,4,1566 Inegl Manor,2006-02-14 22:04:36,1,BARBARA,53561,349,,705814003527,BARBARA.JONES@sakilacustomer.org,2,8
Nantou,BROWN,5,53 Idfu Parkway,2006-02-14 22:04:36,1,ELIZABETH,42399,361,,10655648674,ELIZABETH.BROWN@sakilacustomer.org,1,9
Texas,DAVIS,6,1795 Santiago de Compostela Way,2006-02-14 22:04:36,1,JENNIFER,18743,295,,860452626434,JENNIFER.DAVIS@sakilacustomer.org,2,10
Central Serbia,MILLER,7,900 Santiago de Compostela Parkway,2006-02-14 22:04:36,1,MARIA,93896,280,,716571220373,MARIA.MILLER@sakilacustomer.org,1,11
Hamilton,WILSON,8,478 Joliet Way,2006-02-14 22:04:36,1,SUSAN,77948,200,,657282285970,SUSAN.WILSON@sakilacustomer.org,2,12
Masqat,MOORE,9,613 Korolev Drive,2006-02-14 22:04:36,1,MARGARET,45844,329,,380657522649,MARGARET.MOORE@sakilacustomer.org,2,13
Esfahan,TAYLOR,10,1531 Sal Drive,2006-02-14 22:04:36,1,DOROTHY,53628,162,,648856936185,DOROTHY.TAYLOR@sakilacustomer.org,1,14
Kanagawa,ANDERSON,11,1542 Tarlac Parkway,2006-02-14 22:04:36,1,LISA,1027,440,,635297277345,LISA.ANDERSON@sakilacustomer.org,2,15
Haryana,THOMAS,12,808 Bhopal Manor,2006-02-14 22:04:36,1,NANCY,10672,582,,465887807014,NANCY.THOMAS@sakilacustomer.org,1,16
Osmaniye,JACKSON,13,270 Amroha Parkway,2006-02-14 22:04:36,1,KAREN,29610,384,,695479687538,KAREN.JACKSON@sakilacustomer.org,2,17
California,WHITE,14,770 Bydgoszcz Avenue,2006-02-14 22:04:36,1,BETTY,16266,120,,517338314235,BETTY.WHITE@sakilacustomer.org,2,18
Madhya Pradesh,HARRIS,15,419 Iligan Lane,2006-02-14 22:04:36,1,HELEN,72878,76,,990911107354,HELEN.HARRIS@sakilacustomer.org,1,19
England,MARTIN,16,360 Toulouse Parkway,2006-02-14 22:04:36,0,SANDRA,54308,495,,949312333307,SANDRA.MARTIN@sakilacustomer.org,2,20
Kalmykia,THOMPSON,17,270 Toulon Boulevard,2006-02-14 22:04:36,1,DONNA,81766,156,,407752414682,DONNA.THOMPSON@sakilacustomer.org,1,21
Kaduna,GARCIA,18,320 Brest Avenue,2006-02-14 22:04:36,1,CAROL,43331,252,,747791594069,CAROL.GARCIA@sakilacustomer.org,2,22
