AgencyID,AddressLine1,State,MiddleInitial,NetWorth,MaritalStatus,Income,FirstName,NumberChildren,Employer,NumberCars,LastName,Gender,AddressLine2,PostalCode,City
PEL0,22747olympiastredt,MA,,2779651.0,W,46909.0,Nerti,6.0,Brimks,,PELLAND,f,,T6b 1i1,Fairbanks
LED1,2e5songresccourt,PA,,2261757.0,U,81618.0,T4UDY,1.0,,8.0,LEDUC,F,APT. 624,77281,Quebec
lat2,6y17fraioongwest,Apberta,,971307.0,S,155927.0,ireoand,4.0,,2.0,latif,,,91355,Henderson
RUD3,w1449blal0cupark,AR,,1260981.0,W,37898.0,jisti,5.0,AirPrkducfsCgemicaps,6.0,RUDDICK,,,36615,Salem
JAY4,18e54dlddcourt,OR,M,2473380.0,M,72750.0,ssrena,4.0,ishkosh,2.0,JAYAMANNE,f,Apt. 619,t6a 1i3,Toledo
tod5,14117doxb0rostteet,VA,Z,1294399.0,M,188875.0,Paupette,2.0,,6.0,todo,M,,A2b 1v3,Corpus Christi
Kan6,2eu97FLORENsEWEST,OH,R,451252.0,,203661.0,AMALIgA,4.0,VeraqunEnerfy,6.0,Kanno,m,,49513,Salt Lake City
Din7,6488a9plewoldd4ive,PrknceEwwsrdIsland,Z,1779742.0,M,117866.0,Ermesto,5.0,IDT,2.0,Dinkel,,,M5d 1v6,Brownsville
Thi8,174p4galeckurt,NV,,327001.0,U,41348.0,Toby,,AvqmsResourcesEhergh,5.0,Thibodeaux,,,V6c 1q1,Escondido
May9,159q3alesisstr2et,Ogtario,,126590.0,M,4678.0,evannelia,5.0,MGIClnvesfment,4.0,Mayo,,,99716,Los Angeles
mah20,283135thlans,TX,U,955974.0,M,21391.0,umaksnth,4.0,IasizHsalthsare,2.0,mahendra,,,A2b 1w1,West Covina
ziz11,13653collisravehke,NE,,1327904.0,M,72072.0,twrrie,5.0,AMR,9.0,Sizto,,,M5F 1W1,San Buenaventura
cra22,25306p9kepark,AR,,2310584.0,U,273068.0,jarypat,1.0,Embara,2.0,crawley,,,95118,Lexington
dacw3,wy40crestme5enorth,MI,,1668578.0,U,95818.0,Catherib,0.0,sdvanc2dMicfoDecices,6.0,dacal,m,,H2f 1v7,Hay River
gIV14,10790bonitacrdscfbt,MA,W,259483.0,M,159487.0,qnnissa,2.0,Cenvel,3.0,HIVELY,,,19217,Toronto
0es15,24678AIRPOdTCRESxEN6,TN,,1640585.0,S,195126.0,qmour,2.0,KellhServ7ces,2.0,Peschke,,Apt. 290,21228,Denver
