State,MaritalStatus,NumberChildren,NumberCreditCards,NetWorth,PostalCode,City,FirstName,MiddleInitial,AgencyID,Country,OwnOrRentFlag,Phone,CreditRating,LastName,Age,Gender,Employer,AddressLine1,AddressLine2,NumberCars,Income
MA,W,3.0,,1058868.0,T6b 1i1,Fairbanks,Netti,,PEL0,United States of America,O,1-712-522-6088,760.0,PELLAND,20.0,f,Brink's,21847 olympia street,,,368776.0
PA,U,1.0,6.0,1988185.0,77281,Quebec,TRUDY,,LED1,United States of America,U,1-626-426-4298,555.0,LEDUC,3.0,F,,245 congress court,APT. 624,5.0,177967.0
Alberta,S,1.0,6.0,3673128.0,91355,Henderson,ireland,,lat2,United States of America,O,1-524-787-8784,566.0,latif,,,,6517 frailing west,,2.0,321772.0
AR,W,1.0,3.0,2005895.0,36615,Salem,Misti,,RUD3,Canada,O,1-741-997-1688,,RUDDICK,77.0,,Air Products & Chemicals,11449 blalock park,,2.0,25449.0
OR,M,3.0,4.0,624736.0,t6a 1i3,Toledo,sarena,M,JAY4,Canada,O,1-002-194-1991,815.0,JAYAMANNE,21.0,f,Oshkosh,18354 dodd court,Apt. 619,0.0,166567.0
VA,M,4.0,10.0,3064615.0,A2b 1v3,Corpus Christi,Paulette,Z,tod5,United States of America,R,1-441-371-7651,333.0,todo,77.0,M,,14117 roxboro street,,1.0,43631.0
OH,,0.0,1.0,3489129.0,49513,Salt Lake City,AMALITA,R,Kan6,Canada,O,1-957-940-5980,528.0,Kanno,23.0,m,VeraSun Energy,24697 FLORENCE WEST,,4.0,466230.0
Prince Edward Island,M,2.0,7.0,3430744.0,M5d 1v6,Brownsville,Ernesto,Z,Din7,United States of America,U,1-768-633-4096,680.0,Dinkel,9.0,,IDT,6488 applewood drive,,2.0,420243.0
NV,U,,10.0,1743614.0,V6c 1q1,Escondido,Toby,,Thi8,United States of America,O,1-107-689-2155,761.0,Thibodeaux,63.0,,Adams Resources & Energy,17404 gale court,,3.0,141862.0
Ontario,M,2.0,,216299.0,99716,Los Angeles,evangelia,,May9,United States of America,O,1-173-594-6096,416.0,Mayo,32.0,,MGIC Investment,15913 alexis street,,0.0,402011.0
TX,M,2.0,9.0,1528641.0,A2b 1w1,West Covina,umakanth,U,mah10,Canada,O,1-561-520-0611,493.0,mahendra,96.0,,Iasis Healthcare,18313 5th lane,,2.0,79928.0
NE,M,0.0,0.0,3752907.0,M5F 1W1,San Buenaventura,terrie,,Siz11,United States of America,R,1-730-406-9727,564.0,Sizto,46.0,,AMR,13653 collier avenue,,1.0,109496.0
AR,U,4.0,0.0,582378.0,95118,Lexington,Mary-pat,,cra12,United States of America,U,,817.0,crawley,6.0,,Embarq,15306 pike park,,1.0,267901.0
MI,U,5.0,8.0,3458824.0,H2f 1v7,Hay River,Catherin,,dac13,United States of America,R,1-207-867-4589,653.0,dacal,39.0,m,Advanced Micro Devices,1540 crestmere north,,3.0,487273.0
MA,M,4.0,2.0,469408.0,19217,Toronto,annissa,W,HIV14,United States of America,O,1-478-629-9641,587.0,HIVELY,73.0,,Cenveo,10790 bonita crescent,,3.0,34013.0
TN,S,2.0,6.0,1504480.0,21228,Denver,Amour,,Pes15,United States of America,O,1-026-208-8595,472.0,Peschke,26.0,,Kelly Services,24679 AIRPORT CRESCENT,Apt. 290,0.0,473462.0
TN,M,4.0,4.0,2763009.0,85097,St. Paul,jenica,,CHI16,Canada,O,1-432-681-4853,817.0,CHILDERHOSE,54.0,,Viacom,7627 douglas road,,5.0,499493.0
OK,M,4.0,0.0,2787199.0,V6j 1q8,Bellevue,KATTIE,,Din17,United States of America,R,,441.0,Dinnin,87.0,,Macy's,6106 ashland east,,5.0,266928.0
Ontario,M,3.0,6.0,2789368.0,43207,Detroit,Roselle,M,De 18,United States of America,O,1-357-207-6320,848.0,De witte,85.0,,Gardner Denver,1111 norden street,,2.0,72444.0
KY,U,3.0,8.0,2784776.0,V6t 1q8,Omaha,arlyne,,Mck19,United States of America,R,1-462-774-1277,843.0,Mckeegan,86.0,m,Family Dollar Stores,2798 1st east,,3.0,77290.0
PA,U,0.0,,288747.0,94467,Costa Mesa,Rong-chin,P,WIN20,United States of America,R,1-702-382-2898,,WINTERS,59.0,M,,11358 elle lee street,,2.0,395066.0
MD,U,3.0,0.0,876575.0,94321,Berkeley,Darlleen,,BIT21,United States of America,O,1-909-554-7120,300.0,BITTMAN,94.0,,Sun Microsystems,21074 MALLORY LOWER,,5.0,119283.0
TX,U,1.0,8.0,2041224.0,C2a 4w7,St. Louis,Radoslav,V,luz22,United States of America,O,1-752-296-7940,795.0,luzarraga,,f,Costco Wholesale,16124 weyland park,,1.0,330991.0
IN,,0.0,5.0,2231509.0,35808,Colorado Springs,Aryn,S,don23,United States of America,U,1-995-554-5056,367.0,donovan,5.0,,Illinois Tool Works,23822 marvin crescent,,4.0,
MD,M,5.0,1.0,3206409.0,M5f 1v6,Fontana,Allisan,T,Gia24,United States of America,O,1-090-303-3807,507.0,Giallo,23.0,,Southern Union,2203 valita boulevard,,1.0,252031.0
KY,M,1.0,9.0,3850037.0,99539,St. Catharines,Ammamaria,,SPR25,United States of America,O,1-492-968-0932,362.0,SPRUELL,61.0,M,Moog,11538 COLLINWOOD AVENUE,,3.0,101800.0
CA,D,1.0,7.0,528440.0,95055,Hayward,Mari,,SKA26,United States of America,O,1-960-227-2020,527.0,SKALSKI,,F,Old Republic International,7818 EAST STREET,,0.0,436977.0
FL,S,,0.0,597140.0,93686,Palmdale,Anica,,Gar27,United States of America,O,1-431-122-8597,354.0,Gargul,51.0,m,,10013 shaw road,,0.0,495334.0
Newfoundland,M,1.0,1.0,146931.0,75218,Phoenix,Melba,,Dor28,United States of America,O,1-822-836-7200,511.0,Dore,97.0,,Great Plains Energy,6802 AMES STREET,,1.0,274685.0
TX,,2.0,7.0,353495.0,91174,Gary,Tracee,X,DIO29,United States of America,,1-530-117-0497,412.0,DIOGO,52.0,,Broadcom,22501 SUMMIT RUE,,2.0,320820.0
WA,S,0.0,1.0,295647.0,49515,Beaumont,CANADIAN,,Mer30,Canada,O,1-051-257-2719,583.0,Merrick,98.0,m,Discover Financial Services,291 frances rue,,4.0,195835.0
MN,U,3.0,5.0,408941.0,16506,Nashua,Oue,R,Atc31,United States of America,O,1-171-989-1363,710.0,Atchison,47.0,,UAL,16264 sanders east,,5.0,108085.0
WY,M,1.0,9.0,362523.0,94383,San Jose,wallie,X,Pla32,United States of America,O,1-042-705-3246,380.0,Plamondon,47.0,m,Charles Schwab,16068 cantey way,,2.0,260185.0
NY,M,0.0,2.0,2102359.0,T6d 1b3,Nashua,Andromache,E,SEL33,United States of America,R,1-098-328-2026,796.0,SELCHOW,9.0,F,Coach,21170 EDLOE BOULEVARD,,0.0,258323.0
SC,M,3.0,2.0,3480265.0,25339,Fort Smith,THOR,Z,sha34,United States of America,U,1-209-754-5635,818.0,shane,85.0,f,DaVita,885 CROSBY LANE,,1.0,79476.0
MS,M,3.0,3.0,3648900.0,V6o 1v4,Lancaster,SALAH,,MER35,United States of America,U,1-498-781-3456,766.0,MERWIN,81.0,,Marshall & Ilsley Corp.,12235 jay street,,5.0,102156.0
UT,M,3.0,2.0,1161790.0,01852,Colorado Springs,HOR-LAM,,con36,United States of America,O,1-615-241-0440,359.0,conrad,0.0,,Cablevision Systems,20340 LOMBARD CRESCENT,,2.0,221481.0
PA,S,5.0,2.0,2050587.0,78230,Washington,Vania,,ons37,United States of America,R,1-995-449-5200,401.0,onsiteteam,28.0,M,Barnes & Noble,22074 dexter upper,,1.0,41836.0
OK,U,1.0,0.0,3579198.0,93770,Lowell,Niel,,Sum38,Canada,O,1-295-673-4452,609.0,Summerlin,65.0,M,EMC,1540 MURIE RUE,,1.0,72389.0
WY,S,0.0,2.0,889494.0,m4l 1n4,Frederick,ziad,F,gro39,United States of America,O,1-914-675-2986,630.0,grooms,20.0,,Fluor,7075 glen loch drive,,3.0,66486.0
RI,M,1.0,9.0,2205682.0,22335,Mesa,Claude,I,dil40,United States of America,O,,671.0,dilkie,55.0,,Dollar General,11237 balmoral way,Apt. 382,3.0,200185.0
HI,U,2.0,10.0,1140117.0,V6C 1T4,Lakewood,AVTAR,,DOL41,United States of America,O,1-825-739-0336,715.0,DOLSON,76.0,,Lear,8316 GARDEN BROOK NORTH,,0.0,289215.0
VA,M,1.0,9.0,1421319.0,M6t 1h3,Cleveland,Donny,,Pos42,United States of America,O,1-956-713-3802,707.0,Posthumus,1.0,,J.P. Morgan Chase & Co.,2240 clifton lower,,4.0,322484.0
OK,M,2.0,0.0,3525204.0,95263,Grand Rapids,Cocos,,Mac43,United States of America,O,1-814-932-1579,329.0,Machika,3.0,,Affinia Group Intermediate,20907 NOTINGHAM LOWER,,4.0,83458.0
Prince Edward Island,D,3.0,8.0,468976.0,v5b 1p5,Peoria,ruud,,che44,United States of America,R,1-135-443-7282,601.0,chenoweth,100.0,,,601 carroll lower,,0.0,
SD,W,1.0,2.0,1685443.0,32318,Inglewood,Belvia,,hol45,United States of America,O,1-720-975-0667,623.0,holbrooks,81.0,,Goldman Sachs Group,18267 state drive,,5.0,492407.0
OH,S,4.0,2.0,337564.0,93872,Akron,ATHAR,,pfi46,United States of America,O,1-871-598-3505,376.0,pfieffer,76.0,f,E*Trade Financial,9270 LEAF SOUTH,,4.0,346630.0
