address_id,city_id,address2,create_date,postal_code,address,email,customer_id,last_name,phone,district,first_name,store_id,active
5,463,,2006-02-14 22:04:36,35200,1913 Hanoi Way,MARY.SMITH@sakilacustomer.org,1,SMITH,28303384290,Nagasaki,MARY,1,1
6,449,,2006-02-14 22:04:36,17886,1121 Loja Avenue,PATRICIA.JOHNSON@sakilacustomer.org,2,JOHNSON,838635286649,California,PATRICIA,1,1
7,38,,2006-02-14 22:04:36,83579,692 Joliet Street,LINDA.WILLIAMS@sakilacustomer.org,3,WILLIAMS,448477190408,Attika,LINDA,1,1
8,349,,2006-02-14 22:04:36,53561,1566 Inegöl Manor,BARBARA.JONES@sakilacustomer.org,4,JONES,705814003527,Mandalay,BARBARA,2,1
9,361,,2006-02-14 22:04:36,42399,53 Idfu Parkway,ELIZABETH.BROWN@sakilacustomer.org,5,BROWN,10655648674,Nantou,ELIZABETH,1,1
10,295,,2006-02-14 22:04:36,18743,1795 Santiago de Compostela Way,JENNIFER.DAVIS@sakilacustomer.org,6,DAVIS,860452626434,Texas,JENNIFER,2,1
11,280,,2006-02-14 22:04:36,93896,900 Santiago de Compostela Parkway,MARIA.MILLER@sakilacustomer.org,7,MILLER,716571220373,Central Serbia,MARIA,1,1
12,200,,2006-02-14 22:04:36,77948,478 Joliet Way,SUSAN.WILSON@sakilacustomer.org,8,WILSON,657282285970,Hamilton,SUSAN,2,1
13,329,,2006-02-14 22:04:36,45844,613 Korolev Drive,MARGARET.MOORE@sakilacustomer.org,9,MOORE,380657522649,Masqat,MARGARET,2,1
14,162,,2006-02-14 22:04:36,53628,1531 Salé Drive,DOROTHY.TAYLOR@sakilacustomer.org,10,TAYLOR,648856936185,Esfahan,DOROTHY,1,1
15,440,,2006-02-14 22:04:36,1027,1542 Tarlac Parkway,LISA.ANDERSON@sakilacustomer.org,11,ANDERSON,635297277345,Kanagawa,LISA,2,1
16,582,,2006-02-14 22:04:36,10672,808 Bhopal Manor,NANCY.THOMAS@sakilacustomer.org,12,THOMAS,465887807014,Haryana,NANCY,1,1
17,384,,2006-02-14 22:04:36,29610,270 Amroha Parkway,KAREN.JACKSON@sakilacustomer.org,13,JACKSON,695479687538,Osmaniye,KAREN,2,1
