distretto,indirizzo2,codice_postale,indirizzo,città,telefono,stato_id,città_id,stato,indirizzo_id
Alberta,,,47 MySakila Drive,Lethbridge,,20,300,Canada,1
QLD,,,28 MySQL Boulevard,Woodridge,,8,576,Australia,2
Alberta,,,23 Workhaven Lane,Lethbridge,14033335568.0,20,300,Canada,3
QLD,,,1411 Lillydale Drive,Woodridge,6172235589.0,8,576,Australia,4
Nagasaki,,35200.0,1913 Hanoi Way,Sasebo,28303384290.0,50,463,Japan,5
California,,17886.0,1121 Loja Avenue,San Bernardino,838635286649.0,103,449,United States,6
Attika,,83579.0,692 Joliet Street,Athenai,448477190408.0,39,38,Greece,7
Mandalay,,53561.0,1566 Inegöl Manor,Myingyan,705814003527.0,64,349,Myanmar,8
Nantou,,42399.0,53 Idfu Parkway,Nantou,10655648674.0,92,361,Taiwan,9
Texas,,18743.0,1795 Santiago de Compostela Way,Laredo,860452626434.0,103,295,United States,10
Central Serbia,,93896.0,900 Santiago de Compostela Parkway,Kragujevac,716571220373.0,108,280,Yugoslavia,11
Hamilton,,77948.0,478 Joliet Way,Hamilton,657282285970.0,68,200,New Zealand,12
Masqat,,45844.0,613 Korolev Drive,Masqat,380657522649.0,71,329,Oman,13
Esfahan,,53628.0,1531 Salé Drive,Esfahan,648856936185.0,46,162,Iran,14
Kanagawa,,1027.0,1542 Tarlac Parkway,Sagamihara,635297277345.0,50,440,Japan,15
Haryana,,10672.0,808 Bhopal Manor,Yamuna Nagar,465887807014.0,44,582,India,16
Osmaniye,,29610.0,270 Amroha Parkway,Osmaniye,695479687538.0,97,384,Turkey,17
California,,16266.0,770 Bydgoszcz Avenue,Citrus Heights,517338314235.0,103,120,United States,18
Madhya Pradesh,,72878.0,419 Iligan Lane,Bhopal,990911107354.0,44,76,India,19
England,,54308.0,360 Toulouse Parkway,Southend-on-Sea,949312333307.0,102,495,United Kingdom,20
Kalmykia,,81766.0,270 Toulon Boulevard,Elista,407752414682.0,80,156,Russian Federation,21
Kaduna,,43331.0,320 Brest Avenue,Kaduna,747791594069.0,69,252,Nigeria,22
Northern Cape,,72192.0,1417 Lancaster Avenue,Kimberley,272572357893.0,85,267,South Africa,23
Nothwest Border Prov,,21954.0,1688 Okara Way,Mardan,144453869132.0,72,327,Pakistan,24
Dhaka,,34418.0,262 A Coruña (La Coruña) Parkway,Tangail,892775750063.0,12,525,Bangladesh,25
Rabat-Sal-Zammour-Z,,37551.0,28 Charlotte Amalie Street,Salé,161968374323.0,62,443,Morocco,26
Liepaja,,7716.0,1780 Hino Boulevard,Liepaja,902731229323.0,54,303,Latvia,27
Córdoba,,99865.0,96 Tafuna Way,Córdoba,934730187245.0,6,128,Argentina,28
