gncd,ncm,mrtlstts,mddlntl,nmbrchldrn,mplr,ntwrth,ddrssln1,crdtrtng,nmbrcrdtcrds,cntr,ct,stt,phn,nmbrcrs,g,wnrrntflg
Iok7501,94490.0,U,n,,FM Global,321776.0,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,580.0,,United States of America,Baltimore,MO,1-637-119-9996,3.0,7.0,U
tia7502,7037.0,S,,4.0,MGIC Investment,2292324.0,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,683.0,2.0,Canada,Kitchener,TX,1-560-405-0048,4.0,48.0,R
AOI7503,419269.0,M,u,5.0,Ross Stores,969707.0,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,411.0,2.0,,Saint John,CT,1-261-306-5079,1.0,14.0,O
PJQ7504,76681.0,W,,5.0,,3899461.0,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,818.0,9.0,United States of America,Berkeley,UT,1-642-299-6655,4.0,29.0,U
SDV7505,209116.0,U,,4.0,Alliance One International,3749223.0,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,370.0,7.0,United States of America,Missoula,RI,,2.0,69.0,R
Hga7506,212203.0,U,F,0.0,Sally Beauty Holdings,3658531.0,Ajpkrmtlcbdzr,833.0,6.0,,Salinas,DE,1-388-257-4273,0.0,47.0,O
Beo7507,42018.0,M,D,5.0,Wisconsin Energy,1738460.0,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,536.0,2.0,Canada,San Jose,NM,,5.0,0.0,U
Qum7508,90446.0,S,,0.0,Carpenter Technology,3307296.0,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,775.0,0.0,United States of America,Cleveland,WV,1-632-118-1891,0.0,46.0,R
Hud7509,16274.0,M,v,1.0,Liberty Mutual Insurance Group,1816419.0,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,765.0,3.0,United States of America,Huntington,NH,1-853-806-4986,1.0,6.0,R
jba7510,22215.0,M,,2.0,Black & Decker,2599250.0,Ycltsquohmuugxihqyluhkoy,555.0,6.0,Canada,Paterson,WY,1-220-687-2027,5.0,22.0,O
dgc7511,210038.0,M,,1.0,Interstate Bakeries,490443.0,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,,3.0,United States of America,Greensboro,Saskatchewan,,5.0,72.0,O
lql7512,307402.0,M,,5.0,eBay,3348923.0,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,318.0,9.0,Canada,Concord,NE,1-268-630-3843,4.0,40.0,O
Wsk7513,,D,,1.0,Boise,331799.0,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,613.0,4.0,United States of America,Colorado Springs,AR,1-915-548-9541,4.0,8.0,R
Ffs7514,432425.0,U,v,1.0,MDU Resources Group,1167013.0,,786.0,4.0,,Mobile,IL,1-536-880-0961,4.0,10.0,R
Kvv7515,122041.0,U,F,3.0,Freescale Semiconductor,3960216.0,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,,10.0,United States of America,Thousand Oaks,VA,1-494-335-6022,0.0,24.0,O
