Phone,PostalCode,NumberChildren,OwnOrRentFlag,Employer,Gender,Income,AgencyID,NumberCreditCards,CreditRating,City,AddressLine2,LastName,FirstName,MiddleInitial,AddressLine1,NetWorth,Age,State,Country,MaritalStatus,NumberCars
1-712-522-6088,T6b 1i1,3.0,O,Brink's,f,368776.0,PEL0,,760.0,Fairbanks,,PELLAND,Netti,,21847 olympia street,1058868.0,20.0,MA,United States of America,W,
1-626-426-4298,77281,1.0,U,,F,177967.0,LED1,6.0,555.0,Quebec,APT. 624,LEDUC,TRUDY,,245 congress court,1988185.0,3.0,PA,United States of America,U,5.0
1-524-787-8784,91355,1.0,O,,,321772.0,lat2,6.0,566.0,Henderson,,latif,ireland,,6517 frailing west,3673128.0,,Alberta,United States of America,S,2.0
1-741-997-1688,36615,1.0,O,Air Products & Chemicals,,25449.0,RUD3,3.0,,Salem,,RUDDICK,Misti,,11449 blalock park,2005895.0,77.0,AR,Canada,W,2.0
1-002-194-1991,t6a 1i3,3.0,O,Oshkosh,f,166567.0,JAY4,4.0,815.0,Toledo,Apt. 619,JAYAMANNE,sarena,M,18354 dodd court,624736.0,21.0,OR,Canada,M,0.0
1-441-371-7651,A2b 1v3,4.0,R,,M,43631.0,tod5,10.0,333.0,Corpus Christi,,todo,Paulette,Z,14117 roxboro street,3064615.0,77.0,VA,United States of America,M,1.0
1-957-940-5980,49513,0.0,O,VeraSun Energy,m,466230.0,Kan6,1.0,528.0,Salt Lake City,,Kanno,AMALITA,R,24697 FLORENCE WEST,3489129.0,23.0,OH,Canada,,4.0
1-768-633-4096,M5d 1v6,2.0,U,IDT,,420243.0,Din7,7.0,680.0,Brownsville,,Dinkel,Ernesto,Z,6488 applewood drive,3430744.0,9.0,Prince Edward Island,United States of America,M,2.0
1-107-689-2155,V6c 1q1,,O,Adams Resources & Energy,,141862.0,Thi8,10.0,761.0,Escondido,,Thibodeaux,Toby,,17404 gale court,1743614.0,63.0,NV,United States of America,U,3.0
1-173-594-6096,99716,2.0,O,MGIC Investment,,402011.0,May9,,416.0,Los Angeles,,Mayo,evangelia,,15913 alexis street,216299.0,32.0,Ontario,United States of America,M,0.0
1-561-520-0611,A2b 1w1,2.0,O,Iasis Healthcare,,79928.0,mah10,9.0,493.0,West Covina,,mahendra,umakanth,U,18313 5th lane,1528641.0,96.0,TX,Canada,M,2.0
1-730-406-9727,M5F 1W1,0.0,R,AMR,,109496.0,Siz11,0.0,564.0,San Buenaventura,,Sizto,terrie,,13653 collier avenue,3752907.0,46.0,NE,United States of America,M,1.0
