Age,City,Country,NumberCreditCards,AgencyID,AddressLine2,LastName,AddressLine1,NumberChildren,FirstName,OwnOrRentFlag,MaritalStatus,NumberCars,Gender,PostalCode,Employer,MiddleInitial,CreditRating,NetWorth,Phone,Income,State
20.0,Fairbanks,United States of America,,PEL0,,PELLAND,21847 olympia street,3.0,Netti,O,W,,f,T6b 1i1,Brink's,,760.0,1058868.0,1-712-522-6088,368776.0,MA
3.0,Quebec,United States of America,6.0,LED1,APT. 624,LEDUC,245 congress court,1.0,TRUDY,U,U,5.0,F,77281,,,555.0,1988185.0,1-626-426-4298,177967.0,PA
,Henderson,United States of America,6.0,lat2,,latif,6517 frailing west,1.0,ireland,O,S,2.0,,91355,,,566.0,3673128.0,1-524-787-8784,321772.0,Alberta
77.0,Salem,Canada,3.0,RUD3,,RUDDICK,11449 blalock park,1.0,Misti,O,W,2.0,,36615,Air Products & Chemicals,,,2005895.0,1-741-997-1688,25449.0,AR
21.0,Toledo,Canada,4.0,JAY4,Apt. 619,JAYAMANNE,18354 dodd court,3.0,sarena,O,M,0.0,f,t6a 1i3,Oshkosh,M,815.0,624736.0,1-002-194-1991,166567.0,OR
77.0,Corpus Christi,United States of America,10.0,tod5,,todo,14117 roxboro street,4.0,Paulette,R,M,1.0,M,A2b 1v3,,Z,333.0,3064615.0,1-441-371-7651,43631.0,VA
23.0,Salt Lake City,Canada,1.0,Kan6,,Kanno,24697 FLORENCE WEST,0.0,AMALITA,O,,4.0,m,49513,VeraSun Energy,R,528.0,3489129.0,1-957-940-5980,466230.0,OH
9.0,Brownsville,United States of America,7.0,Din7,,Dinkel,6488 applewood drive,2.0,Ernesto,U,M,2.0,,M5d 1v6,IDT,Z,680.0,3430744.0,1-768-633-4096,420243.0,Prince Edward Island
63.0,Escondido,United States of America,10.0,Thi8,,Thibodeaux,17404 gale court,,Toby,O,U,3.0,,V6c 1q1,Adams Resources & Energy,,761.0,1743614.0,1-107-689-2155,141862.0,NV
32.0,Los Angeles,United States of America,,May9,,Mayo,15913 alexis street,2.0,evangelia,O,M,0.0,,99716,MGIC Investment,,416.0,216299.0,1-173-594-6096,402011.0,Ontario
96.0,West Covina,Canada,9.0,mah10,,mahendra,18313 5th lane,2.0,umakanth,O,M,2.0,,A2b 1w1,Iasis Healthcare,U,493.0,1528641.0,1-561-520-0611,79928.0,TX
46.0,San Buenaventura,United States of America,0.0,Siz11,,Sizto,13653 collier avenue,0.0,terrie,R,M,1.0,,M5F 1W1,AMR,,564.0,3752907.0,1-730-406-9727,109496.0,NE
6.0,Lexington,United States of America,0.0,cra12,,crawley,15306 pike park,4.0,Mary-pat,U,U,1.0,,95118,Embarq,,817.0,582378.0,,267901.0,AR
39.0,Hay River,United States of America,8.0,dac13,,dacal,1540 crestmere north,5.0,Catherin,R,U,3.0,m,H2f 1v7,Advanced Micro Devices,,653.0,3458824.0,1-207-867-4589,487273.0,MI
73.0,Toronto,United States of America,2.0,HIV14,,HIVELY,10790 bonita crescent,4.0,annissa,O,M,3.0,,19217,Cenveo,W,587.0,469408.0,1-478-629-9641,34013.0,MA
26.0,Denver,United States of America,6.0,Pes15,Apt. 290,Peschke,24679 AIRPORT CRESCENT,2.0,Amour,O,S,0.0,,21228,Kelly Services,,472.0,1504480.0,1-026-208-8595,473462.0,TN
54.0,St. Paul,Canada,4.0,CHI16,,CHILDERHOSE,7627 douglas road,4.0,jenica,O,M,5.0,,85097,Viacom,,817.0,2763009.0,1-432-681-4853,499493.0,TN
87.0,Bellevue,United States of America,0.0,Din17,,Dinnin,6106 ashland east,4.0,KATTIE,R,M,5.0,,V6j 1q8,Macy's,,441.0,2787199.0,,266928.0,OK
85.0,Detroit,United States of America,6.0,De 18,,De witte,1111 norden street,3.0,Roselle,O,M,2.0,,43207,Gardner Denver,M,848.0,2789368.0,1-357-207-6320,72444.0,Ontario
86.0,Omaha,United States of America,8.0,Mck19,,Mckeegan,2798 1st east,3.0,arlyne,R,U,3.0,m,V6t 1q8,Family Dollar Stores,,843.0,2784776.0,1-462-774-1277,77290.0,KY
59.0,Costa Mesa,United States of America,,WIN20,,WINTERS,11358 elle lee street,0.0,Rong-chin,R,U,2.0,M,94467,,P,,288747.0,1-702-382-2898,395066.0,PA
94.0,Berkeley,United States of America,0.0,BIT21,,BITTMAN,21074 MALLORY LOWER,3.0,Darlleen,O,U,5.0,,94321,Sun Microsystems,,300.0,876575.0,1-909-554-7120,119283.0,MD
,St. Louis,United States of America,8.0,luz22,,luzarraga,16124 weyland park,1.0,Radoslav,O,U,1.0,f,C2a 4w7,Costco Wholesale,V,795.0,2041224.0,1-752-296-7940,330991.0,TX
5.0,Colorado Springs,United States of America,5.0,don23,,donovan,23822 marvin crescent,0.0,Aryn,U,,4.0,,35808,Illinois Tool Works,S,367.0,2231509.0,1-995-554-5056,,IN
