prospect_AgeID,prospect_AddrL1,prospect_Ci,prospect_NeWor,prospect_Coun,prospect_Em,prospect_Inc,prospect_NumCa,prospect_NuChil,prospect_MarSta,prospect_A,prospect_CrRat,prospect_OORF,prospect_NuCreCar
Iok7501,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,Baltimore,321776.0,United States of America,FM Global,94490.0,3.0,,U,7.0,580.0,U,
tia7502,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,Kitchener,2292324.0,Canada,MGIC Investment,7037.0,4.0,4.0,S,48.0,683.0,R,2.0
AOI7503,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,Saint John,969707.0,,Ross Stores,419269.0,1.0,5.0,M,14.0,411.0,O,2.0
PJQ7504,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,Berkeley,3899461.0,United States of America,,76681.0,4.0,5.0,W,29.0,818.0,U,9.0
SDV7505,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,Missoula,3749223.0,United States of America,Alliance One International,209116.0,2.0,4.0,U,69.0,370.0,R,7.0
Hga7506,Ajpkrmtlcbdzr,Salinas,3658531.0,,Sally Beauty Holdings,212203.0,0.0,0.0,U,47.0,833.0,O,6.0
Beo7507,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,San Jose,1738460.0,Canada,Wisconsin Energy,42018.0,5.0,5.0,M,0.0,536.0,U,2.0
Qum7508,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,Cleveland,3307296.0,United States of America,Carpenter Technology,90446.0,0.0,0.0,S,46.0,775.0,R,0.0
Hud7509,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,Huntington,1816419.0,United States of America,Liberty Mutual Insurance Group,16274.0,1.0,1.0,M,6.0,765.0,R,3.0
jba7510,Ycltsquohmuugxihqyluhkoy,Paterson,2599250.0,Canada,Black & Decker,22215.0,5.0,2.0,M,22.0,555.0,O,6.0
dgc7511,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,Greensboro,490443.0,United States of America,Interstate Bakeries,210038.0,5.0,1.0,M,72.0,,O,3.0
lql7512,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,Concord,3348923.0,Canada,eBay,307402.0,4.0,5.0,M,40.0,318.0,O,9.0
Wsk7513,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,Colorado Springs,331799.0,United States of America,Boise,,4.0,1.0,D,8.0,613.0,R,4.0
Ffs7514,,Mobile,1167013.0,,MDU Resources Group,432425.0,4.0,1.0,U,10.0,786.0,R,4.0
Kvv7515,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,Thousand Oaks,3960216.0,United States of America,Freescale Semiconductor,122041.0,0.0,3.0,U,24.0,,O,10.0
mpz7516,,Rochester,242246.0,United States of America,Superior Energy Services,302205.0,1.0,4.0,M,18.0,623.0,O,5.0
Jhc7517,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,Garden Grove,1217660.0,United States of America,Monsanto,367555.0,1.0,1.0,S,79.0,845.0,O,1.0
dbq7518,rpikmvtgwsrsoehxgmxwypaueiaheabrf,Tampa,1229655.0,United States of America,Newfield Exploration,106025.0,4.0,5.0,M,36.0,645.0,U,7.0
Xch7519,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,Fullerton,1157831.0,Canada,Loews,106690.0,2.0,2.0,W,21.0,495.0,O,1.0
oir7520,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,Washington,,Canada,Apache,29373.0,2.0,2.0,M,4.0,371.0,O,8.0
Fqb7521,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,Norfolk,,United States of America,Robert Half International,168189.0,2.0,3.0,S,72.0,462.0,R,1.0
qex7522,Dmyivtczopuqajpnjqvvgbhxynvduub,Sydney,3467922.0,United States of America,Viacom,264756.0,,,S,1.0,375.0,U,7.0
Hpi7523,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,Winnipeg,46859.0,Canada,Robert Half International,44480.0,1.0,2.0,S,98.0,516.0,U,10.0
Fjd7524,Esuycdxsjfbrqbtluspxsehk,Wilmington,2937668.0,Canada,CSX,87207.0,1.0,5.0,,35.0,703.0,R,
