prospect_AgencyID,prospect_State,prospect_City,prospect_MaritalStatus,prospect_NumberCars,prospect_Phone,prospect_Employer,prospect_Age,prospect_CreditRating,prospect_Country,prospect_NetWorth,prospect_AddressLine2,prospect_PostalCode,prospect_Income,prospect_NumberChildren,prospect_OwnOrRentFlag,prospect_NumberCreditCards
Iok7501,MO,Baltimore,U,3.0,1-637-119-9996,FM Global,7.0,580.0,United States of America,321776.0,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,Guudshirvcu,94490.0,,U,
tia7502,TX,Kitchener,S,4.0,1-560-405-0048,MGIC Investment,48.0,683.0,Canada,2292324.0,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,wyggjewbe,7037.0,4.0,R,2.0
AOI7503,CT,Saint John,M,1.0,1-261-306-5079,Ross Stores,14.0,411.0,,969707.0,Cdrxeolwrrxmwmhgexvcstvzz,YMZRQICUTHT,419269.0,5.0,O,2.0
PJQ7504,UT,Berkeley,W,4.0,1-642-299-6655,,29.0,818.0,United States of America,3899461.0,WKSBVOFGJHQGAEKUYRZHHPH,Bcjuycmcen,76681.0,5.0,U,9.0
SDV7505,RI,Missoula,U,2.0,,Alliance One International,69.0,370.0,United States of America,3749223.0,skxijfqpzshmts,Nujxguyehf,209116.0,4.0,R,7.0
Hga7506,DE,Salinas,U,0.0,1-388-257-4273,Sally Beauty Holdings,47.0,833.0,,3658531.0,ZETOHHRKIBHCQCKZODIXJJSXCFY,Neigswk,212203.0,0.0,O,6.0
Beo7507,NM,San Jose,M,5.0,,Wisconsin Energy,0.0,536.0,Canada,1738460.0,LJXAXKUJXQBGWBHJJAAM,WNCEOQPLW,42018.0,5.0,U,2.0
Qum7508,WV,Cleveland,S,0.0,1-632-118-1891,Carpenter Technology,46.0,775.0,United States of America,3307296.0,Jmlgjkjbqhrudrkqrm,Cskdwtkf,90446.0,0.0,R,0.0
Hud7509,NH,Huntington,M,1.0,1-853-806-4986,Liberty Mutual Insurance Group,6.0,765.0,United States of America,1816419.0,Qqcilgblxyikgr,tcxswloetdt,16274.0,1.0,R,3.0
jba7510,WY,Paterson,M,5.0,1-220-687-2027,Black & Decker,22.0,555.0,Canada,2599250.0,Ahtohqjfzfarn,Fkpemasoukih,22215.0,2.0,O,6.0
dgc7511,Saskatchewan,Greensboro,M,5.0,,Interstate Bakeries,72.0,,United States of America,490443.0,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,NCEVKLQEEWTA,210038.0,1.0,O,3.0
