prospect_gncd,prospect_nmbrcrs,prospect_wnrrntflg,prospect_g,prospect_mrtlstts,prospect_cntr,prospect_frstnm,prospect_ddrssln2,prospect_ct,prospect_phn,prospect_stt,prospect_mddlntl,prospect_nmbrcrdtcrds,prospect_crdtrtng,prospect_pstlcd,prospect_ncm,prospect_nmbrchldrn,prospect_mplr,prospect_ntwrth
Iok7501,3.0,U,7.0,U,United States of America,wbwsqgtaa,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,Baltimore,1-637-119-9996,MO,n,,580.0,Guudshirvcu,94490.0,,FM Global,321776.0
tia7502,4.0,R,48.0,S,Canada,QGJWCPAPZMWHYHZTNOYSSOQBI,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,Kitchener,1-560-405-0048,TX,,2.0,683.0,wyggjewbe,7037.0,4.0,MGIC Investment,2292324.0
AOI7503,1.0,O,14.0,M,,BHGXDDPUMBESLQMNEPREPTZNNKM,Cdrxeolwrrxmwmhgexvcstvzz,Saint John,1-261-306-5079,CT,u,2.0,411.0,YMZRQICUTHT,419269.0,5.0,Ross Stores,969707.0
PJQ7504,4.0,U,29.0,W,United States of America,Xgnvppcxgfnmawlupgfa,WKSBVOFGJHQGAEKUYRZHHPH,Berkeley,1-642-299-6655,UT,,9.0,818.0,Bcjuycmcen,76681.0,5.0,,3899461.0
SDV7505,2.0,R,69.0,U,United States of America,Tfiozpstcftslqtwkgngiiwo,skxijfqpzshmts,Missoula,,RI,,7.0,370.0,Nujxguyehf,209116.0,4.0,Alliance One International,3749223.0
Hga7506,0.0,O,47.0,U,,fbcahlrhhjoslfzqvvwwvhk,ZETOHHRKIBHCQCKZODIXJJSXCFY,Salinas,1-388-257-4273,DE,F,6.0,833.0,Neigswk,212203.0,0.0,Sally Beauty Holdings,3658531.0
Beo7507,5.0,U,0.0,M,Canada,Dcgkohfcwyoaxckalqnkrzwq,LJXAXKUJXQBGWBHJJAAM,San Jose,,NM,D,2.0,536.0,WNCEOQPLW,42018.0,5.0,Wisconsin Energy,1738460.0
Qum7508,0.0,R,46.0,S,United States of America,Vmnmcsinflxxmmifydckncc,Jmlgjkjbqhrudrkqrm,Cleveland,1-632-118-1891,WV,,0.0,775.0,Cskdwtkf,90446.0,0.0,Carpenter Technology,3307296.0
Hud7509,1.0,R,6.0,M,United States of America,Vrkbkkxkddtximspigmlbwzt,Qqcilgblxyikgr,Huntington,1-853-806-4986,NH,v,3.0,765.0,tcxswloetdt,16274.0,1.0,Liberty Mutual Insurance Group,1816419.0
jba7510,5.0,O,22.0,M,Canada,RMWCTFTLSVTMCBI,Ahtohqjfzfarn,Paterson,1-220-687-2027,WY,,6.0,555.0,Fkpemasoukih,22215.0,2.0,Black & Decker,2599250.0
