gncd,pstlcd,mddlntl,gndr,wnrrntflg,ncm,cntr,ddrssln2,ddrssln1,stt,mrtlstts,ct,phn,nmbrcrdtcrds,lstnm,g,crdtrtng,mplr,ntwrth
PEL0,T6b 1i1,,f,O,368776.0,United States of America,,21847 olympia street,MA,W,Fairbanks,1-712-522-6088,,PELLAND,20.0,760.0,Brink's,1058868.0
LED1,77281,,F,U,177967.0,United States of America,APT. 624,245 congress court,PA,U,Quebec,1-626-426-4298,6.0,LEDUC,3.0,555.0,,1988185.0
lat2,91355,,,O,321772.0,United States of America,,6517 frailing west,Alberta,S,Henderson,1-524-787-8784,6.0,latif,,566.0,,3673128.0
RUD3,36615,,,O,25449.0,Canada,,11449 blalock park,AR,W,Salem,1-741-997-1688,3.0,RUDDICK,77.0,,Air Products & Chemicals,2005895.0
JAY4,t6a 1i3,M,f,O,166567.0,Canada,Apt. 619,18354 dodd court,OR,M,Toledo,1-002-194-1991,4.0,JAYAMANNE,21.0,815.0,Oshkosh,624736.0
tod5,A2b 1v3,Z,M,R,43631.0,United States of America,,14117 roxboro street,VA,M,Corpus Christi,1-441-371-7651,10.0,todo,77.0,333.0,,3064615.0
Kan6,49513,R,m,O,466230.0,Canada,,24697 FLORENCE WEST,OH,,Salt Lake City,1-957-940-5980,1.0,Kanno,23.0,528.0,VeraSun Energy,3489129.0
Din7,M5d 1v6,Z,,U,420243.0,United States of America,,6488 applewood drive,Prince Edward Island,M,Brownsville,1-768-633-4096,7.0,Dinkel,9.0,680.0,IDT,3430744.0
Thi8,V6c 1q1,,,O,141862.0,United States of America,,17404 gale court,NV,U,Escondido,1-107-689-2155,10.0,Thibodeaux,63.0,761.0,Adams Resources & Energy,1743614.0
May9,99716,,,O,402011.0,United States of America,,15913 alexis street,Ontario,M,Los Angeles,1-173-594-6096,,Mayo,32.0,416.0,MGIC Investment,216299.0
mah10,A2b 1w1,U,,O,79928.0,Canada,,18313 5th lane,TX,M,West Covina,1-561-520-0611,9.0,mahendra,96.0,493.0,Iasis Healthcare,1528641.0
Siz11,M5F 1W1,,,R,109496.0,United States of America,,13653 collier avenue,NE,M,San Buenaventura,1-730-406-9727,0.0,Sizto,46.0,564.0,AMR,3752907.0
cra12,95118,,,U,267901.0,United States of America,,15306 pike park,AR,U,Lexington,,0.0,crawley,6.0,817.0,Embarq,582378.0
dac13,H2f 1v7,,m,R,487273.0,United States of America,,1540 crestmere north,MI,U,Hay River,1-207-867-4589,8.0,dacal,39.0,653.0,Advanced Micro Devices,3458824.0
HIV14,19217,W,,O,34013.0,United States of America,,10790 bonita crescent,MA,M,Toronto,1-478-629-9641,2.0,HIVELY,73.0,587.0,Cenveo,469408.0
Pes15,21228,,,O,473462.0,United States of America,Apt. 290,24679 AIRPORT CRESCENT,TN,S,Denver,1-026-208-8595,6.0,Peschke,26.0,472.0,Kelly Services,1504480.0
CHI16,85097,,,O,499493.0,Canada,,7627 douglas road,TN,M,St. Paul,1-432-681-4853,4.0,CHILDERHOSE,54.0,817.0,Viacom,2763009.0
Din17,V6j 1q8,,,R,266928.0,United States of America,,6106 ashland east,OK,M,Bellevue,,0.0,Dinnin,87.0,441.0,Macy's,2787199.0
De 18,43207,M,,O,72444.0,United States of America,,1111 norden street,Ontario,M,Detroit,1-357-207-6320,6.0,De witte,85.0,848.0,Gardner Denver,2789368.0
Mck19,V6t 1q8,,m,R,77290.0,United States of America,,2798 1st east,KY,U,Omaha,1-462-774-1277,8.0,Mckeegan,86.0,843.0,Family Dollar Stores,2784776.0
WIN20,94467,P,M,R,395066.0,United States of America,,11358 elle lee street,PA,U,Costa Mesa,1-702-382-2898,,WINTERS,59.0,,,288747.0
BIT21,94321,,,O,119283.0,United States of America,,21074 MALLORY LOWER,MD,U,Berkeley,1-909-554-7120,0.0,BITTMAN,94.0,300.0,Sun Microsystems,876575.0
luz22,C2a 4w7,V,f,O,330991.0,United States of America,,16124 weyland park,TX,U,St. Louis,1-752-296-7940,8.0,luzarraga,,795.0,Costco Wholesale,2041224.0
don23,35808,S,,U,,United States of America,,23822 marvin crescent,IN,,Colorado Springs,1-995-554-5056,5.0,donovan,5.0,367.0,Illinois Tool Works,2231509.0
Gia24,M5f 1v6,T,,O,252031.0,United States of America,,2203 valita boulevard,MD,M,Fontana,1-090-303-3807,1.0,Giallo,23.0,507.0,Southern Union,3206409.0
SPR25,99539,,M,O,101800.0,United States of America,,11538 COLLINWOOD AVENUE,KY,M,St. Catharines,1-492-968-0932,9.0,SPRUELL,61.0,362.0,Moog,3850037.0
SKA26,95055,,F,O,436977.0,United States of America,,7818 EAST STREET,CA,D,Hayward,1-960-227-2020,7.0,SKALSKI,,527.0,Old Republic International,528440.0
Gar27,93686,,m,O,495334.0,United States of America,,10013 shaw road,FL,S,Palmdale,1-431-122-8597,0.0,Gargul,51.0,354.0,,597140.0
Dor28,75218,,,O,274685.0,United States of America,,6802 AMES STREET,Newfoundland,M,Phoenix,1-822-836-7200,1.0,Dore,97.0,511.0,Great Plains Energy,146931.0
DIO29,91174,X,,,320820.0,United States of America,,22501 SUMMIT RUE,TX,,Gary,1-530-117-0497,7.0,DIOGO,52.0,412.0,Broadcom,353495.0
Mer30,49515,,m,O,195835.0,Canada,,291 frances rue,WA,S,Beaumont,1-051-257-2719,1.0,Merrick,98.0,583.0,Discover Financial Services,295647.0
Atc31,16506,R,,O,108085.0,United States of America,,16264 sanders east,MN,U,Nashua,1-171-989-1363,5.0,Atchison,47.0,710.0,UAL,408941.0
