AgencyID,Country,NumberCars,LastName,NumberCreditCards,AddressLine1,FirstName,Gender,CreditRating,OwnOrRentFlag,Income,MiddleInitial,AddressLine2,PostalCode,City,State
PEL0,United States of America,,PELLAND,,21847 olympia street,Netti,f,760.0,O,368776.0,,,T6b 1i1,Fairbanks,MA
LED1,United States of America,5.0,LEDUC,6.0,245 congress court,TRUDY,F,555.0,U,177967.0,,APT. 624,77281,Quebec,PA
lat2,United States of America,2.0,latif,6.0,6517 frailing west,ireland,,566.0,O,321772.0,,,91355,Henderson,Alberta
RUD3,Canada,2.0,RUDDICK,3.0,11449 blalock park,Misti,,,O,25449.0,,,36615,Salem,AR
JAY4,Canada,0.0,JAYAMANNE,4.0,18354 dodd court,sarena,f,815.0,O,166567.0,M,Apt. 619,t6a 1i3,Toledo,OR
tod5,United States of America,1.0,todo,10.0,14117 roxboro street,Paulette,M,333.0,R,43631.0,Z,,A2b 1v3,Corpus Christi,VA
Kan6,Canada,4.0,Kanno,1.0,24697 FLORENCE WEST,AMALITA,m,528.0,O,466230.0,R,,49513,Salt Lake City,OH
Din7,United States of America,2.0,Dinkel,7.0,6488 applewood drive,Ernesto,,680.0,U,420243.0,Z,,M5d 1v6,Brownsville,Prince Edward Island
Thi8,United States of America,3.0,Thibodeaux,10.0,17404 gale court,Toby,,761.0,O,141862.0,,,V6c 1q1,Escondido,NV
May9,United States of America,0.0,Mayo,,15913 alexis street,evangelia,,416.0,O,402011.0,,,99716,Los Angeles,Ontario
mah10,Canada,2.0,mahendra,9.0,18313 5th lane,umakanth,,493.0,O,79928.0,U,,A2b 1w1,West Covina,TX
Siz11,United States of America,1.0,Sizto,0.0,13653 collier avenue,terrie,,564.0,R,109496.0,,,M5F 1W1,San Buenaventura,NE
cra12,United States of America,1.0,crawley,0.0,15306 pike park,Mary-pat,,817.0,U,267901.0,,,95118,Lexington,AR
dac13,United States of America,3.0,dacal,8.0,1540 crestmere north,Catherin,m,653.0,R,487273.0,,,H2f 1v7,Hay River,MI
HIV14,United States of America,3.0,HIVELY,2.0,10790 bonita crescent,annissa,,587.0,O,34013.0,W,,19217,Toronto,MA
Pes15,United States of America,0.0,Peschke,6.0,24679 AIRPORT CRESCENT,Amour,,472.0,O,473462.0,,Apt. 290,21228,Denver,TN
CHI16,Canada,5.0,CHILDERHOSE,4.0,7627 douglas road,jenica,,817.0,O,499493.0,,,85097,St. Paul,TN
Din17,United States of America,5.0,Dinnin,0.0,6106 ashland east,KATTIE,,441.0,R,266928.0,,,V6j 1q8,Bellevue,OK
De 18,United States of America,2.0,De witte,6.0,1111 norden street,Roselle,,848.0,O,72444.0,M,,43207,Detroit,Ontario
Mck19,United States of America,3.0,Mckeegan,8.0,2798 1st east,arlyne,m,843.0,R,77290.0,,,V6t 1q8,Omaha,KY
WIN20,United States of America,2.0,WINTERS,,11358 elle lee street,Rong-chin,M,,R,395066.0,P,,94467,Costa Mesa,PA
BIT21,United States of America,5.0,BITTMAN,0.0,21074 MALLORY LOWER,Darlleen,,300.0,O,119283.0,,,94321,Berkeley,MD
luz22,United States of America,1.0,luzarraga,8.0,16124 weyland park,Radoslav,f,795.0,O,330991.0,V,,C2a 4w7,St. Louis,TX
don23,United States of America,4.0,donovan,5.0,23822 marvin crescent,Aryn,,367.0,U,,S,,35808,Colorado Springs,IN
Gia24,United States of America,1.0,Giallo,1.0,2203 valita boulevard,Allisan,,507.0,O,252031.0,T,,M5f 1v6,Fontana,MD
SPR25,United States of America,3.0,SPRUELL,9.0,11538 COLLINWOOD AVENUE,Ammamaria,M,362.0,O,101800.0,,,99539,St. Catharines,KY
SKA26,United States of America,0.0,SKALSKI,7.0,7818 EAST STREET,Mari,F,527.0,O,436977.0,,,95055,Hayward,CA
Gar27,United States of America,0.0,Gargul,0.0,10013 shaw road,Anica,m,354.0,O,495334.0,,,93686,Palmdale,FL
Dor28,United States of America,1.0,Dore,1.0,6802 AMES STREET,Melba,,511.0,O,274685.0,,,75218,Phoenix,Newfoundland
DIO29,United States of America,2.0,DIOGO,7.0,22501 SUMMIT RUE,Tracee,,412.0,,320820.0,X,,91174,Gary,TX
Mer30,Canada,4.0,Merrick,1.0,291 frances rue,CANADIAN,m,583.0,O,195835.0,,,49515,Beaumont,WA
Atc31,United States of America,5.0,Atchison,5.0,16264 sanders east,Oue,,710.0,O,108085.0,R,,16506,Nashua,MN
Pla32,United States of America,2.0,Plamondon,9.0,16068 cantey way,wallie,m,380.0,O,260185.0,X,,94383,San Jose,WY
SEL33,United States of America,0.0,SELCHOW,2.0,21170 EDLOE BOULEVARD,Andromache,F,796.0,R,258323.0,E,,T6d 1b3,Nashua,NY
sha34,United States of America,1.0,shane,2.0,885 CROSBY LANE,THOR,f,818.0,U,79476.0,Z,,25339,Fort Smith,SC
MER35,United States of America,5.0,MERWIN,3.0,12235 jay street,SALAH,,766.0,U,102156.0,,,V6o 1v4,Lancaster,MS
con36,United States of America,2.0,conrad,2.0,20340 LOMBARD CRESCENT,HOR-LAM,,359.0,O,221481.0,,,01852,Colorado Springs,UT
ons37,United States of America,1.0,onsiteteam,2.0,22074 dexter upper,Vania,M,401.0,R,41836.0,,,78230,Washington,PA
Sum38,Canada,1.0,Summerlin,0.0,1540 MURIE RUE,Niel,M,609.0,O,72389.0,,,93770,Lowell,OK
gro39,United States of America,3.0,grooms,2.0,7075 glen loch drive,ziad,,630.0,O,66486.0,F,,m4l 1n4,Frederick,WY
dil40,United States of America,3.0,dilkie,9.0,11237 balmoral way,Claude,,671.0,O,200185.0,I,Apt. 382,22335,Mesa,RI
DOL41,United States of America,0.0,DOLSON,10.0,8316 GARDEN BROOK NORTH,AVTAR,,715.0,O,289215.0,,,V6C 1T4,Lakewood,HI
Pos42,United States of America,4.0,Posthumus,9.0,2240 clifton lower,Donny,,707.0,O,322484.0,,,M6t 1h3,Cleveland,VA
Mac43,United States of America,4.0,Machika,0.0,20907 NOTINGHAM LOWER,Cocos,,329.0,O,83458.0,,,95263,Grand Rapids,OK
che44,United States of America,0.0,chenoweth,8.0,601 carroll lower,ruud,,601.0,R,,,,v5b 1p5,Peoria,Prince Edward Island
hol45,United States of America,5.0,holbrooks,2.0,18267 state drive,Belvia,,623.0,O,492407.0,,,32318,Inglewood,SD
pfi46,United States of America,4.0,pfieffer,2.0,9270 LEAF SOUTH,ATHAR,f,376.0,O,346630.0,,,93872,Akron,OH
elk47,Canada,1.0,elkington,0.0,18582 PERIMETER BOULEVARD,Cherey,,560.0,O,9572.0,Y,,92824,Charlottetown,MA
Lab48,United States of America,1.0,Labenek,4.0,9612 park stream upper,RAZ,F,693.0,O,265369.0,,,e4a 1r2,Bellevue,MD
laf49,United States of America,1.0,laferriere,0.0,2803 clearwater north,kishore,,346.0,U,104172.0,Y,,H7G 1V4,Dover,Saskatchewan
Nor50,United States of America,0.0,Norment,0.0,11103 BISSONNET WEST,Nelleke,,342.0,O,65550.0,I,,85039,Fullerton,WA
hag51,Canada,2.0,hagar,8.0,4652 outervale lane,sibby,,563.0,R,,,,v6m 1q3,Denver,OH
Bet52,United States of America,2.0,Betcher,4.0,341 dunbar west,ericha,m,391.0,O,,,,X7j 1r1,Dallas,WY
Van53,United States of America,4.0,Van der,8.0,16176 vernon drive,Janson,m,381.0,O,66244.0,,,B8b 1z5,San Jose,NJ
O'L54,United States of America,0.0,O'LEARY,9.0,23131 clint way,Dorotea,F,539.0,U,426954.0,,,t5d 1v4,Bellevue,ND
and55,United States of America,5.0,anderson,0.0,11640 baltic upper,Denice,m,497.0,O,126891.0,,,V6t 1r2,San Buenaventura,NC
sta56,Canada,4.0,starks,,20796 dolores drive,Myron,,661.0,O,454196.0,,,91177,St. Louis,WV
CHA57,United States of America,5.0,CHASSE,0.0,14359 COMMERCE WEST,Barby,,558.0,R,163940.0,,Apt. 275,T5c 1t1,Pueblo,GA
ASI58,Canada,,ASING,,21448 hampton boulevard,Ariella,R,534.0,O,365213.0,,,35862,Regina,Ontario
ask59,United States of America,0.0,askins,6.0,7637 pershing way,ADEY,f,373.0,U,428739.0,,,96820,Saskatoon,MA
Kik60,United States of America,4.0,Kikuta,8.0,11529 arcana boulevard,GAYEL,,382.0,O,142444.0,K,,75238,Jackson,CA
Cha61,United States of America,3.0,Chane,10.0,2700 windwood north,Man,F,475.0,O,416168.0,,,85769,St. Petersburg,SD
KIL62,United States of America,2.0,KILLEN,3.0,22279 gramercy road,Klara,m,539.0,O,291420.0,U,,H5i 1o9,Scottsdale,Saskatchewan
kin63,United States of America,4.0,kinley,6.0,9828 west east,Abdalla,f,711.0,O,413501.0,,,90849,Charlotte,RI
MAL64,United States of America,4.0,MALAHER,1.0,5935 mcafee park,bal,,606.0,O,,,,43644,Waterbury,NC
Odu65,United States of America,3.0,Odum,0.0,12460 CLAYTON STREET,Romy,,494.0,O,419143.0,J,,99213,Chesapeake,SD
DI 66,United States of America,1.0,DI NINNO,3.0,275 3rd drive,KORAL,,309.0,O,155057.0,,,72226,Hialeah,IL
STU67,United States of America,2.0,STUBBLEFIELD,3.0,6907 FERNCLIFF CRESCENT,YUKIHIKO,,630.0,O,313859.0,K,,V6Z 1Q9,Charleston,OR
HAM68,United States of America,4.0,HAMBALI,10.0,885 crosby lane,Khanh,,330.0,O,265907.0,,,20082,Salem,Ontario
LIB69,Canada,,LIBRARIAN,9.0,2344 kalani west,Darnell,m,710.0,O,283481.0,,,35827,Sacramento,FL
ohs70,United States of America,4.0,ohsone,7.0,22870 LA CIENEGA STREET,feridoun,M,475.0,R,200635.0,,,99692,Santa Clarita,NM
HUM71,United States of America,0.0,HUMMEL,3.0,8478 green avenue,Magdy,,596.0,O,434519.0,O,APT. 143,V6c 1q5,Sherbrooke,NE
BRA72,United States of America,5.0,BRADD,9.0,23639 purdue rue,jiri,,670.0,O,392315.0,,,80158,Colorado Springs,MI
Boa73,United States of America,5.0,Boarder,,19202 ansley park,AILA,,722.0,O,493829.0,X,,t6d 1b6,Berkeley,New Brunswick
Mcn74,United States of America,3.0,Mcnally,7.0,11319 devonshire rue,Vincenzo,,587.0,O,97489.0,,,33120,San Buenaventura,NJ
MAR75,United States of America,4.0,MARKOVICH,4.0,23665 deerwood park,Minnnie,F,609.0,O,,,,99742,New Haven,ND
Wil76,United States of America,0.0,Willekes,7.0,4855 union north,alfonzo,f,401.0,O,383046.0,,,V6N 1T1,Shreveport,Saskatchewan
Dea77,United States of America,4.0,Deacetis,0.0,9466 SHADOWBRIAR WEST,Swandi,m,335.0,,1190.0,S,,44104,Lansing,KS
