LastName,PostalCode,Gender,NetWorth,NumberCreditCards,NumberCars,Phone,CreditRating,AddressLine1,MiddleInitial,Country,OwnOrRentFlag,State,Income,City,MaritalStatus,Age,Employer,AddressLine2,AgencyID,NumberChildren,FirstName
PELLAND,T6b 1i1,f,1058868.0,,,1-712-522-6088,760.0,21847 olympia street,,United States of America,O,MA,368776.0,Fairbanks,W,20.0,Brink's,,PEL0,3.0,Netti
LEDUC,77281,F,1988185.0,6.0,5.0,1-626-426-4298,555.0,245 congress court,,United States of America,U,PA,177967.0,Quebec,U,3.0,,APT. 624,LED1,1.0,TRUDY
latif,91355,,3673128.0,6.0,2.0,1-524-787-8784,566.0,6517 frailing west,,United States of America,O,Alberta,321772.0,Henderson,S,,,,lat2,1.0,ireland
RUDDICK,36615,,2005895.0,3.0,2.0,1-741-997-1688,,11449 blalock park,,Canada,O,AR,25449.0,Salem,W,77.0,Air Products & Chemicals,,RUD3,1.0,Misti
JAYAMANNE,t6a 1i3,f,624736.0,4.0,0.0,1-002-194-1991,815.0,18354 dodd court,M,Canada,O,OR,166567.0,Toledo,M,21.0,Oshkosh,Apt. 619,JAY4,3.0,sarena
todo,A2b 1v3,M,3064615.0,10.0,1.0,1-441-371-7651,333.0,14117 roxboro street,Z,United States of America,R,VA,43631.0,Corpus Christi,M,77.0,,,tod5,4.0,Paulette
Kanno,49513,m,3489129.0,1.0,4.0,1-957-940-5980,528.0,24697 FLORENCE WEST,R,Canada,O,OH,466230.0,Salt Lake City,,23.0,VeraSun Energy,,Kan6,0.0,AMALITA
Dinkel,M5d 1v6,,3430744.0,7.0,2.0,1-768-633-4096,680.0,6488 applewood drive,Z,United States of America,U,Prince Edward Island,420243.0,Brownsville,M,9.0,IDT,,Din7,2.0,Ernesto
Thibodeaux,V6c 1q1,,1743614.0,10.0,3.0,1-107-689-2155,761.0,17404 gale court,,United States of America,O,NV,141862.0,Escondido,U,63.0,Adams Resources & Energy,,Thi8,,Toby
Mayo,99716,,216299.0,,0.0,1-173-594-6096,416.0,15913 alexis street,,United States of America,O,Ontario,402011.0,Los Angeles,M,32.0,MGIC Investment,,May9,2.0,evangelia
mahendra,A2b 1w1,,1528641.0,9.0,2.0,1-561-520-0611,493.0,18313 5th lane,U,Canada,O,TX,79928.0,West Covina,M,96.0,Iasis Healthcare,,mah10,2.0,umakanth
Sizto,M5F 1W1,,3752907.0,0.0,1.0,1-730-406-9727,564.0,13653 collier avenue,,United States of America,R,NE,109496.0,San Buenaventura,M,46.0,AMR,,Siz11,0.0,terrie
crawley,95118,,582378.0,0.0,1.0,,817.0,15306 pike park,,United States of America,U,AR,267901.0,Lexington,U,6.0,Embarq,,cra12,4.0,Mary-pat
dacal,H2f 1v7,m,3458824.0,8.0,3.0,1-207-867-4589,653.0,1540 crestmere north,,United States of America,R,MI,487273.0,Hay River,U,39.0,Advanced Micro Devices,,dac13,5.0,Catherin
HIVELY,19217,,469408.0,2.0,3.0,1-478-629-9641,587.0,10790 bonita crescent,W,United States of America,O,MA,34013.0,Toronto,M,73.0,Cenveo,,HIV14,4.0,annissa
Peschke,21228,,1504480.0,6.0,0.0,1-026-208-8595,472.0,24679 AIRPORT CRESCENT,,United States of America,O,TN,473462.0,Denver,S,26.0,Kelly Services,Apt. 290,Pes15,2.0,Amour
CHILDERHOSE,85097,,2763009.0,4.0,5.0,1-432-681-4853,817.0,7627 douglas road,,Canada,O,TN,499493.0,St. Paul,M,54.0,Viacom,,CHI16,4.0,jenica
Dinnin,V6j 1q8,,2787199.0,0.0,5.0,,441.0,6106 ashland east,,United States of America,R,OK,266928.0,Bellevue,M,87.0,Macy's,,Din17,4.0,KATTIE
De witte,43207,,2789368.0,6.0,2.0,1-357-207-6320,848.0,1111 norden street,M,United States of America,O,Ontario,72444.0,Detroit,M,85.0,Gardner Denver,,De 18,3.0,Roselle
Mckeegan,V6t 1q8,m,2784776.0,8.0,3.0,1-462-774-1277,843.0,2798 1st east,,United States of America,R,KY,77290.0,Omaha,U,86.0,Family Dollar Stores,,Mck19,3.0,arlyne
WINTERS,94467,M,288747.0,,2.0,1-702-382-2898,,11358 elle lee street,P,United States of America,R,PA,395066.0,Costa Mesa,U,59.0,,,WIN20,0.0,Rong-chin
BITTMAN,94321,,876575.0,0.0,5.0,1-909-554-7120,300.0,21074 MALLORY LOWER,,United States of America,O,MD,119283.0,Berkeley,U,94.0,Sun Microsystems,,BIT21,3.0,Darlleen
luzarraga,C2a 4w7,f,2041224.0,8.0,1.0,1-752-296-7940,795.0,16124 weyland park,V,United States of America,O,TX,330991.0,St. Louis,U,,Costco Wholesale,,luz22,1.0,Radoslav
donovan,35808,,2231509.0,5.0,4.0,1-995-554-5056,367.0,23822 marvin crescent,S,United States of America,U,IN,,Colorado Springs,,5.0,Illinois Tool Works,,don23,0.0,Aryn
Giallo,M5f 1v6,,3206409.0,1.0,1.0,1-090-303-3807,507.0,2203 valita boulevard,T,United States of America,O,MD,252031.0,Fontana,M,23.0,Southern Union,,Gia24,5.0,Allisan
SPRUELL,99539,M,3850037.0,9.0,3.0,1-492-968-0932,362.0,11538 COLLINWOOD AVENUE,,United States of America,O,KY,101800.0,St. Catharines,M,61.0,Moog,,SPR25,1.0,Ammamaria
SKALSKI,95055,F,528440.0,7.0,0.0,1-960-227-2020,527.0,7818 EAST STREET,,United States of America,O,CA,436977.0,Hayward,D,,Old Republic International,,SKA26,1.0,Mari
Gargul,93686,m,597140.0,0.0,0.0,1-431-122-8597,354.0,10013 shaw road,,United States of America,O,FL,495334.0,Palmdale,S,51.0,,,Gar27,,Anica
Dore,75218,,146931.0,1.0,1.0,1-822-836-7200,511.0,6802 AMES STREET,,United States of America,O,Newfoundland,274685.0,Phoenix,M,97.0,Great Plains Energy,,Dor28,1.0,Melba
DIOGO,91174,,353495.0,7.0,2.0,1-530-117-0497,412.0,22501 SUMMIT RUE,X,United States of America,,TX,320820.0,Gary,,52.0,Broadcom,,DIO29,2.0,Tracee
Merrick,49515,m,295647.0,1.0,4.0,1-051-257-2719,583.0,291 frances rue,,Canada,O,WA,195835.0,Beaumont,S,98.0,Discover Financial Services,,Mer30,0.0,CANADIAN
Atchison,16506,,408941.0,5.0,5.0,1-171-989-1363,710.0,16264 sanders east,R,United States of America,O,MN,108085.0,Nashua,U,47.0,UAL,,Atc31,3.0,Oue
Plamondon,94383,m,362523.0,9.0,2.0,1-042-705-3246,380.0,16068 cantey way,X,United States of America,O,WY,260185.0,San Jose,M,47.0,Charles Schwab,,Pla32,1.0,wallie
SELCHOW,T6d 1b3,F,2102359.0,2.0,0.0,1-098-328-2026,796.0,21170 EDLOE BOULEVARD,E,United States of America,R,NY,258323.0,Nashua,M,9.0,Coach,,SEL33,0.0,Andromache
shane,25339,f,3480265.0,2.0,1.0,1-209-754-5635,818.0,885 CROSBY LANE,Z,United States of America,U,SC,79476.0,Fort Smith,M,85.0,DaVita,,sha34,3.0,THOR
MERWIN,V6o 1v4,,3648900.0,3.0,5.0,1-498-781-3456,766.0,12235 jay street,,United States of America,U,MS,102156.0,Lancaster,M,81.0,Marshall & Ilsley Corp.,,MER35,3.0,SALAH
