indirizzo_id,indirizzo2,indirizzo,attivo,negozio_id,distretto,email,telefono,cognome,città_id,nome,data_creazione,codice_postale,cliente_id
5,,1913 Hanoi Way,1,1,Nagasaki,MARY.SMITH@sakilacustomer.org,28303384290,SMITH,463,MARY,2006-02-14 22:04:36,35200,1
6,,1121 Loja Avenue,1,1,California,PATRICIA.JOHNSON@sakilacustomer.org,838635286649,JOHNSON,449,PATRICIA,2006-02-14 22:04:36,17886,2
7,,692 Joliet Street,1,1,Attika,LINDA.WILLIAMS@sakilacustomer.org,448477190408,WILLIAMS,38,LINDA,2006-02-14 22:04:36,83579,3
8,,1566 Inegöl Manor,1,2,Mandalay,BARBARA.JONES@sakilacustomer.org,705814003527,JONES,349,BARBARA,2006-02-14 22:04:36,53561,4
9,,53 Idfu Parkway,1,1,Nantou,ELIZABETH.BROWN@sakilacustomer.org,10655648674,BROWN,361,ELIZABETH,2006-02-14 22:04:36,42399,5
10,,1795 Santiago de Compostela Way,1,2,Texas,JENNIFER.DAVIS@sakilacustomer.org,860452626434,DAVIS,295,JENNIFER,2006-02-14 22:04:36,18743,6
11,,900 Santiago de Compostela Parkway,1,1,Central Serbia,MARIA.MILLER@sakilacustomer.org,716571220373,MILLER,280,MARIA,2006-02-14 22:04:36,93896,7
12,,478 Joliet Way,1,2,Hamilton,SUSAN.WILSON@sakilacustomer.org,657282285970,WILSON,200,SUSAN,2006-02-14 22:04:36,77948,8
13,,613 Korolev Drive,1,2,Masqat,MARGARET.MOORE@sakilacustomer.org,380657522649,MOORE,329,MARGARET,2006-02-14 22:04:36,45844,9
14,,1531 Salé Drive,1,1,Esfahan,DOROTHY.TAYLOR@sakilacustomer.org,648856936185,TAYLOR,162,DOROTHY,2006-02-14 22:04:36,53628,10
15,,1542 Tarlac Parkway,1,2,Kanagawa,LISA.ANDERSON@sakilacustomer.org,635297277345,ANDERSON,440,LISA,2006-02-14 22:04:36,1027,11
16,,808 Bhopal Manor,1,1,Haryana,NANCY.THOMAS@sakilacustomer.org,465887807014,THOMAS,582,NANCY,2006-02-14 22:04:36,10672,12
17,,270 Amroha Parkway,1,2,Osmaniye,KAREN.JACKSON@sakilacustomer.org,695479687538,JACKSON,384,KAREN,2006-02-14 22:04:36,29610,13
18,,770 Bydgoszcz Avenue,1,2,California,BETTY.WHITE@sakilacustomer.org,517338314235,WHITE,120,BETTY,2006-02-14 22:04:36,16266,14
19,,419 Iligan Lane,1,1,Madhya Pradesh,HELEN.HARRIS@sakilacustomer.org,990911107354,HARRIS,76,HELEN,2006-02-14 22:04:36,72878,15
20,,360 Toulouse Parkway,0,2,England,SANDRA.MARTIN@sakilacustomer.org,949312333307,MARTIN,495,SANDRA,2006-02-14 22:04:36,54308,16
21,,270 Toulon Boulevard,1,1,Kalmykia,DONNA.THOMPSON@sakilacustomer.org,407752414682,THOMPSON,156,DONNA,2006-02-14 22:04:36,81766,17
22,,320 Brest Avenue,1,2,Kaduna,CAROL.GARCIA@sakilacustomer.org,747791594069,GARCIA,252,CAROL,2006-02-14 22:04:36,43331,18
23,,1417 Lancaster Avenue,1,1,Northern Cape,RUTH.MARTINEZ@sakilacustomer.org,272572357893,MARTINEZ,267,RUTH,2006-02-14 22:04:36,72192,19
24,,1688 Okara Way,1,2,Nothwest Border Prov,SHARON.ROBINSON@sakilacustomer.org,144453869132,ROBINSON,327,SHARON,2006-02-14 22:04:36,21954,20
