last_name,create_date,active,customer_id,first_name,store_id,address_id,email
SMITH,2006-02-14 22:04:36,1,1,MARY,1,5,MARY.SMITH@sakilacustomer.org
JOHNSON,2006-02-14 22:04:36,1,2,PATRICIA,1,6,PATRICIA.JOHNSON@sakilacustomer.org
WILLIAMS,2006-02-14 22:04:36,1,3,LINDA,1,7,LINDA.WILLIAMS@sakilacustomer.org
JONES,2006-02-14 22:04:36,1,4,BARBARA,2,8,BARBARA.JONES@sakilacustomer.org
BROWN,2006-02-14 22:04:36,1,5,ELIZABETH,1,9,ELIZABETH.BROWN@sakilacustomer.org
DAVIS,2006-02-14 22:04:36,1,6,JENNIFER,2,10,JENNIFER.DAVIS@sakilacustomer.org
MILLER,2006-02-14 22:04:36,1,7,MARIA,1,11,MARIA.MILLER@sakilacustomer.org
WILSON,2006-02-14 22:04:36,1,8,SUSAN,2,12,SUSAN.WILSON@sakilacustomer.org
MOORE,2006-02-14 22:04:36,1,9,MARGARET,2,13,MARGARET.MOORE@sakilacustomer.org
TAYLOR,2006-02-14 22:04:36,1,10,DOROTHY,1,14,DOROTHY.TAYLOR@sakilacustomer.org
ANDERSON,2006-02-14 22:04:36,1,11,LISA,2,15,LISA.ANDERSON@sakilacustomer.org
THOMAS,2006-02-14 22:04:36,1,12,NANCY,1,16,NANCY.THOMAS@sakilacustomer.org
JACKSON,2006-02-14 22:04:36,1,13,KAREN,2,17,KAREN.JACKSON@sakilacustomer.org
WHITE,2006-02-14 22:04:36,1,14,BETTY,2,18,BETTY.WHITE@sakilacustomer.org
HARRIS,2006-02-14 22:04:36,1,15,HELEN,1,19,HELEN.HARRIS@sakilacustomer.org
MARTIN,2006-02-14 22:04:36,0,16,SANDRA,2,20,SANDRA.MARTIN@sakilacustomer.org
THOMPSON,2006-02-14 22:04:36,1,17,DONNA,1,21,DONNA.THOMPSON@sakilacustomer.org
GARCIA,2006-02-14 22:04:36,1,18,CAROL,2,22,CAROL.GARCIA@sakilacustomer.org
MARTINEZ,2006-02-14 22:04:36,1,19,RUTH,1,23,RUTH.MARTINEZ@sakilacustomer.org
ROBINSON,2006-02-14 22:04:36,1,20,SHARON,2,24,SHARON.ROBINSON@sakilacustomer.org
CLARK,2006-02-14 22:04:36,1,21,MICHELLE,1,25,MICHELLE.CLARK@sakilacustomer.org
RODRIGUEZ,2006-02-14 22:04:36,1,22,LAURA,1,26,LAURA.RODRIGUEZ@sakilacustomer.org
LEWIS,2006-02-14 22:04:36,1,23,SARAH,2,27,SARAH.LEWIS@sakilacustomer.org
LEE,2006-02-14 22:04:36,1,24,KIMBERLY,2,28,KIMBERLY.LEE@sakilacustomer.org
WALKER,2006-02-14 22:04:36,1,25,DEBORAH,1,29,DEBORAH.WALKER@sakilacustomer.org
HALL,2006-02-14 22:04:36,1,26,JESSICA,2,30,JESSICA.HALL@sakilacustomer.org
ALLEN,2006-02-14 22:04:36,1,27,SHIRLEY,2,31,SHIRLEY.ALLEN@sakilacustomer.org
YOUNG,2006-02-14 22:04:36,1,28,CYNTHIA,1,32,CYNTHIA.YOUNG@sakilacustomer.org
HERNANDEZ,2006-02-14 22:04:36,1,29,ANGELA,2,33,ANGELA.HERNANDEZ@sakilacustomer.org
KING,2006-02-14 22:04:36,1,30,MELISSA,1,34,MELISSA.KING@sakilacustomer.org
WRIGHT,2006-02-14 22:04:36,1,31,BRENDA,2,35,BRENDA.WRIGHT@sakilacustomer.org
LOPEZ,2006-02-14 22:04:36,1,32,AMY,1,36,AMY.LOPEZ@sakilacustomer.org
HILL,2006-02-14 22:04:36,1,33,ANNA,2,37,ANNA.HILL@sakilacustomer.org
