country_id,phone,city_id,address2,postal_code,district,address_id,city,country,address
20,,300,,,Alberta,1,Lethbridge,Canada,47 MySakila Drive
8,,576,,,QLD,2,Woodridge,Australia,28 MySQL Boulevard
20,14033335568.0,300,,,Alberta,3,Lethbridge,Canada,23 Workhaven Lane
8,6172235589.0,576,,,QLD,4,Woodridge,Australia,1411 Lillydale Drive
50,28303384290.0,463,,35200.0,Nagasaki,5,Sasebo,Japan,1913 Hanoi Way
103,838635286649.0,449,,17886.0,California,6,San Bernardino,United States,1121 Loja Avenue
39,448477190408.0,38,,83579.0,Attika,7,Athenai,Greece,692 Joliet Street
64,705814003527.0,349,,53561.0,Mandalay,8,Myingyan,Myanmar,1566 Inegl Manor
92,10655648674.0,361,,42399.0,Nantou,9,Nantou,Taiwan,53 Idfu Parkway
103,860452626434.0,295,,18743.0,Texas,10,Laredo,United States,1795 Santiago de Compostela Way
108,716571220373.0,280,,93896.0,Central Serbia,11,Kragujevac,Yugoslavia,900 Santiago de Compostela Parkway
68,657282285970.0,200,,77948.0,Hamilton,12,Hamilton,New Zealand,478 Joliet Way
71,380657522649.0,329,,45844.0,Masqat,13,Masqat,Oman,613 Korolev Drive
46,648856936185.0,162,,53628.0,Esfahan,14,Esfahan,Iran,1531 Sal Drive
50,635297277345.0,440,,1027.0,Kanagawa,15,Sagamihara,Japan,1542 Tarlac Parkway
44,465887807014.0,582,,10672.0,Haryana,16,Yamuna Nagar,India,808 Bhopal Manor
97,695479687538.0,384,,29610.0,Osmaniye,17,Osmaniye,Turkey,270 Amroha Parkway
103,517338314235.0,120,,16266.0,California,18,Citrus Heights,United States,770 Bydgoszcz Avenue
44,990911107354.0,76,,72878.0,Madhya Pradesh,19,Bhopal,India,419 Iligan Lane
102,949312333307.0,495,,54308.0,England,20,Southend-on-Sea,United Kingdom,360 Toulouse Parkway
80,407752414682.0,156,,81766.0,Kalmykia,21,Elista,Russian Federation,270 Toulon Boulevard
69,747791594069.0,252,,43331.0,Kaduna,22,Kaduna,Nigeria,320 Brest Avenue
85,272572357893.0,267,,72192.0,Northern Cape,23,Kimberley,South Africa,1417 Lancaster Avenue
72,144453869132.0,327,,21954.0,Nothwest Border Prov,24,Mardan,Pakistan,1688 Okara Way
12,892775750063.0,525,,34418.0,Dhaka,25,Tangail,Bangladesh,262 A Corua (La Corua) Parkway
62,161968374323.0,443,,37551.0,Rabat-Sal-Zammour-Z,26,Sal,Morocco,28 Charlotte Amalie Street
54,902731229323.0,303,,7716.0,Liepaja,27,Liepaja,Latvia,1780 Hino Boulevard
6,934730187245.0,128,,99865.0,Crdoba,28,Crdoba,Argentina,96 Tafuna Way
72,196495945706.0,472,,99780.0,Sind,29,Shikarpur,Pakistan,934 San Felipe de Puerto Plata Street
41,998009777982.0,121,,58327.0,,30,Citt del Vaticano,Holy See (Vatican City State),18 Duisburg Boulevard
75,665356572025.0,138,,49521.0,Southern Mindanao,31,Davao,Philippines,217 Botshabelo Place
44,678220867005.0,346,,65599.0,Bihar,32,Munger (Monghyr),India,1425 Shikarpur Manor
50,18461860151.0,474,,65750.0,Yamaguchi,33,Shimonoseki,Japan,786 Aurora Avenue
92,525255540978.0,316,,50199.0,Taipei,34,Lungtan,Taiwan,1668 Anpolis Street
44,745994947458.0,257,,30348.0,West Bengali,35,Kamarhati,India,33 Gorontalo Way
44,627705991774.0,239,,65213.0,Uttar Pradesh,36,Jhansi,India,176 Mandaluyong Place
49,911872220378.0,17,,79388.0,Piemonte,37,Alessandria,Italy,127 Purnea (Purnia) Manor
50,708403338270.0,284,,94065.0,Okayama,38,Kurashiki,Japan,61 Tama Street
34,440512153169.0,544,,34021.0,Midi-Pyrnes,39,Toulouse,France,391 Callao Drive
46,481183273622.0,31,,38145.0,Markazi,40,Arak,Iran,334 Munger (Monghyr) Lane
23,912257250465.0,362,,47929.0,Henan,41,Nanyang,China,1440 Fukuyama Loop
61,489783829737.0,115,,34689.0,Chisinau,42,Chisinau,Moldova,269 Cam Ranh Parkway
15,378318851631.0,569,,3989.0,Esprito Santo,43,Vila Velha,Brazil,306 Antofagasta Place
62,680768868518.0,353,,94399.0,Oriental,44,Nador,Morocco,671 Graz Street
7,42384721397.0,586,,16744.0,Yerevan,45,Yerevan,Armenia,42 Brindisi Place
94,471675840679.0,394,,61117.0,Nonthaburi,46,Pak Kret,Thailand,1632 Bislig Avenue
36,539758313890.0,167,,48942.0,Tahiti,47,Faaa,French Polynesia,1447 Imus Way
80,177727722820.0,308,,76022.0,Lipetsk,48,Lipetsk,Russian Federation,1998 Halifax Drive
22,675292816413.0,27,,37359.0,Antofagasta,49,Antofagasta,Chile,1718 Valencia Street
80,262076994845.0,343,,23616.0,Moscow (City),50,Moscow,Russian Federation,46 Pjatigorsk Lane
15,69493378813.0,247,,52535.0,Cear,51,Juazeiro do Norte,Brazil,686 Garland Manor
80,705800322606.0,367,,69367.0,Tatarstan,52,Niznekamsk,Russian Federation,909 Garland Manor
82,876295323994.0,237,,74428.0,Mekka,53,Jedda,Saudi Arabia,725 Isesaki Place
89,307703950263.0,379,,80168.0,Khartum,54,Omdurman,Sudan,115 Hidalgo Parkway
103,171822533480.0,171,,48150.0,California,55,Fontana,United States,1135 Izumisano Parkway
87,680428310138.0,1,,4166.0,Galicia,56,A Corua (La Corua),Spain,939 Probolinggo Loop
50,697760867968.0,355,,38594.0,Chiba,57,Nagareyama,Japan,17 Kabul Boulevard
50,920811325222.0,227,,48980.0,Yamaguchi,58,Iwakuni,Japan,1964 Allappuzha (Alleppey) Street
80,499352017190.0,49,,57807.0,Moskova,59,Balaiha,Russian Federation,1697 Kowloon and New Kowloon Loop
36,347487831378.0,397,,39072.0,Tahiti,60,Papeete,French Polynesia,1668 Saint Louis Place
55,889318963672.0,560,,45428.0,Vaduz,61,Vaduz,Liechtenstein,943 Tokat Street
59,212869228936.0,282,,69226.0,Sarawak,62,Kuching,Malaysia,1114 Liepaja Street
44,800024380485.0,350,,94352.0,Karnataka,63,Mysore,India,1213 Ranchi Parkway
44,250767749542.0,231,,55561.0,Rajasthan,64,Jaipur,India,81 Hodeida Way
91,1395251317.0,56,,83980.0,Basel-Stadt,65,Basel,Switzerland,915 Ponce Place
103,914090181665.0,441,,85505.0,Missouri,66,Saint Louis,United States,1717 Guadalajara Lane
103,491001136577.0,306,,67055.0,Nebraska,67,Lincoln,United States,1214 Hanoi Way
23,333489324603.0,139,,70385.0,Sichuan,68,Daxian,China,1966 Amroha Avenue
35,409983924481.0,105,,71110.0,Cayenne,69,Cayenne,French Guiana,698 Otsu Street
90,663449333709.0,321,,96109.0,Skne ln,70,Malm,Sweden,1150 Kimchon Manor
23,947233365992.0,579,,5135.0,Hunan,71,Xiangtan,China,1586 Guaruj Place
44,990214419142.0,475,,48960.0,Madhya Pradesh,72,Shivapuri,India,57 Arlington Manor
2,107137400143.0,63,,59025.0,Bchar,73,Bchar,Algeria,1031 Daugavpils Parkway
82,407733804223.0,13,,6856.0,Mekka,74,al-Hawiya,Saudi Arabia,1124 Buenaventura Drive
