gncd,frstnm,nmbrcrdtcrds,pstlcd,ntwrth,g,lstnm,ddrssln1,nmbrcrs,mddlntl,cntr,gndr,crdtrtng,wnrrntflg,ct,ncm,nmbrchldrn,mrtlstts,mplr
Iok7501,wbwsqgtaa,,Guudshirvcu,321776.0,7.0,Iokwiqojocjanndatkdzgymym,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,3.0,n,United States of America,,580.0,U,Baltimore,94490.0,,U,FM Global
tia7502,QGJWCPAPZMWHYHZTNOYSSOQBI,2.0,wyggjewbe,2292324.0,48.0,tiabxgseasiibxakctfzhfwotp,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,4.0,,Canada,M,683.0,R,Kitchener,7037.0,4.0,S,MGIC Investment
AOI7503,BHGXDDPUMBESLQMNEPREPTZNNKM,2.0,YMZRQICUTHT,969707.0,14.0,AOIWIWTIHIXOJ,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,1.0,u,,,411.0,O,Saint John,419269.0,5.0,M,Ross Stores
PJQ7504,Xgnvppcxgfnmawlupgfa,9.0,Bcjuycmcen,3899461.0,29.0,PJQSPMBUHYQKBOZ,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,4.0,,United States of America,m,818.0,U,Berkeley,76681.0,5.0,W,
SDV7505,Tfiozpstcftslqtwkgngiiwo,7.0,Nujxguyehf,3749223.0,69.0,SDVLJWXENNGWCQMIW,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,2.0,,United States of America,,370.0,R,Missoula,209116.0,4.0,U,Alliance One International
Hga7506,fbcahlrhhjoslfzqvvwwvhk,6.0,Neigswk,3658531.0,47.0,Hgakmykzeunwkiaxayulpwyxrcuev,Ajpkrmtlcbdzr,0.0,F,,F,833.0,O,Salinas,212203.0,0.0,U,Sally Beauty Holdings
Beo7507,Dcgkohfcwyoaxckalqnkrzwq,2.0,WNCEOQPLW,1738460.0,0.0,Beotomyndkiqryllkvpavllytov,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,5.0,D,Canada,M,536.0,U,San Jose,42018.0,5.0,M,Wisconsin Energy
Qum7508,Vmnmcsinflxxmmifydckncc,0.0,Cskdwtkf,3307296.0,46.0,Qumxrssnd,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,0.0,,United States of America,,775.0,R,Cleveland,90446.0,0.0,S,Carpenter Technology
Hud7509,Vrkbkkxkddtximspigmlbwzt,3.0,tcxswloetdt,1816419.0,6.0,Hudlpfwjagzbnznyhamjkhbf,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,1.0,v,United States of America,,765.0,R,Huntington,16274.0,1.0,M,Liberty Mutual Insurance Group
jba7510,RMWCTFTLSVTMCBI,6.0,Fkpemasoukih,2599250.0,22.0,jbabemsfwdyeihxq,Ycltsquohmuugxihqyluhkoy,5.0,,Canada,m,555.0,O,Paterson,22215.0,2.0,M,Black & Decker
dgc7511,Zaijioc,3.0,NCEVKLQEEWTA,490443.0,72.0,dgcnbxfhc,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,5.0,,United States of America,m,,O,Greensboro,210038.0,1.0,M,Interstate Bakeries
lql7512,Mdwdjpdfmbqjaygkfqzqx,9.0,DODDIDDHXS,3348923.0,40.0,lqlslgqsvyfxqnzuwbfg,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,4.0,,Canada,,318.0,O,Concord,307402.0,5.0,M,eBay
Wsk7513,Ccbccgvldfvoqtzestvkwunn,4.0,Oqnzttrldq,331799.0,8.0,Wskjvrujdwku,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,4.0,,United States of America,m,613.0,R,Colorado Springs,,1.0,D,Boise
Ffs7514,nyakrhdyxravdnhgbtol,4.0,Lwbawk,1167013.0,10.0,Ffshsiomkzjonhxjhunfsao,,4.0,v,,,786.0,R,Mobile,432425.0,1.0,U,MDU Resources Group
Kvv7515,NDNBTVCLKSC,10.0,Ppsrzjdtg,3960216.0,24.0,Kvvverfkpazpzzkrqniixrhnw,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,0.0,F,United States of America,,,O,Thousand Oaks,122041.0,3.0,U,Freescale Semiconductor
mpz7516,Zmstbluqkipzaojfsomtbdddguq,5.0,,242246.0,18.0,mpzqnwnrmaozfsstcqtrc,,1.0,G,United States of America,f,623.0,O,Rochester,302205.0,4.0,M,Superior Energy Services
