AgencyID,MiddleInitial,AddressLine1,MaritalStatus,NetWorth,LastName,FirstName,Employer,Age,NumberChildren,PostalCode,Gender,Income,AddressLine2,Country,City,State,Phone
PEL0,,21847 olympia street,W,1058868.0,PELLAND,Netti,Brink's,20.0,3.0,T6b 1i1,f,368776.0,,United States of America,Fairbanks,MA,1-712-522-6088
LED1,,245 congress court,U,1988185.0,LEDUC,TRUDY,,3.0,1.0,77281,F,177967.0,APT. 624,United States of America,Quebec,PA,1-626-426-4298
lat2,,6517 frailing west,S,3673128.0,latif,ireland,,,1.0,91355,,321772.0,,United States of America,Henderson,Alberta,1-524-787-8784
RUD3,,11449 blalock park,W,2005895.0,RUDDICK,Misti,Air Products & Chemicals,77.0,1.0,36615,,25449.0,,Canada,Salem,AR,1-741-997-1688
JAY4,M,18354 dodd court,M,624736.0,JAYAMANNE,sarena,Oshkosh,21.0,3.0,t6a 1i3,f,166567.0,Apt. 619,Canada,Toledo,OR,1-002-194-1991
tod5,Z,14117 roxboro street,M,3064615.0,todo,Paulette,,77.0,4.0,A2b 1v3,M,43631.0,,United States of America,Corpus Christi,VA,1-441-371-7651
Kan6,R,24697 FLORENCE WEST,,3489129.0,Kanno,AMALITA,VeraSun Energy,23.0,0.0,49513,m,466230.0,,Canada,Salt Lake City,OH,1-957-940-5980
Din7,Z,6488 applewood drive,M,3430744.0,Dinkel,Ernesto,IDT,9.0,2.0,M5d 1v6,,420243.0,,United States of America,Brownsville,Prince Edward Island,1-768-633-4096
Thi8,,17404 gale court,U,1743614.0,Thibodeaux,Toby,Adams Resources & Energy,63.0,,V6c 1q1,,141862.0,,United States of America,Escondido,NV,1-107-689-2155
May9,,15913 alexis street,M,216299.0,Mayo,evangelia,MGIC Investment,32.0,2.0,99716,,402011.0,,United States of America,Los Angeles,Ontario,1-173-594-6096
mah10,U,18313 5th lane,M,1528641.0,mahendra,umakanth,Iasis Healthcare,96.0,2.0,A2b 1w1,,79928.0,,Canada,West Covina,TX,1-561-520-0611
Siz11,,13653 collier avenue,M,3752907.0,Sizto,terrie,AMR,46.0,0.0,M5F 1W1,,109496.0,,United States of America,San Buenaventura,NE,1-730-406-9727
cra12,,15306 pike park,U,582378.0,crawley,Mary-pat,Embarq,6.0,4.0,95118,,267901.0,,United States of America,Lexington,AR,
dac13,,1540 crestmere north,U,3458824.0,dacal,Catherin,Advanced Micro Devices,39.0,5.0,H2f 1v7,m,487273.0,,United States of America,Hay River,MI,1-207-867-4589
HIV14,W,10790 bonita crescent,M,469408.0,HIVELY,annissa,Cenveo,73.0,4.0,19217,,34013.0,,United States of America,Toronto,MA,1-478-629-9641
Pes15,,24679 AIRPORT CRESCENT,S,1504480.0,Peschke,Amour,Kelly Services,26.0,2.0,21228,,473462.0,Apt. 290,United States of America,Denver,TN,1-026-208-8595
